0.920 0.966 0.096
0.912 0.957 0.099
0.798 0.895 0.198
0.773 0.862 0.198
0.585 0.736 0.472
0.613 0.640 0.313
0.490 0.657 0.664
0.555 0.565 0.373
0.480 0.663 0.711
0.523 0.561 0.401
