0.250 0.314 1.414
0.250 0.314 1.414
0.250 0.314 1.414
0.250 0.314 1.414
0.250 0.314 1.414
0.250 0.314 1.414
0.250 0.314 1.414
0.250 0.314 1.414
0.250 0.314 1.414
0.250 0.314 1.414
0.250 0.314 1.414
0.250 0.314 1.414
0.250 0.314 1.414
0.464 0.522 0.539
0.464 0.522 0.539
0.464 0.522 0.539
0.464 0.522 0.539
0.464 0.522 0.539
0.464 0.522 0.539
0.464 0.522 0.539
0.463 0.520 0.538
0.460 0.520 0.537
0.459 0.520 0.537
0.460 0.520 0.538
0.462 0.520 0.537
0.489 0.519 0.434
0.414 0.528 0.812
0.414 0.528 0.812
0.414 0.528 0.812
0.411 0.528 0.807
0.395 0.528 0.817
0.395 0.528 0.817
0.390 0.511 0.818
0.366 0.505 0.842
0.364 0.488 0.842
0.363 0.488 0.842
0.410 0.514 0.803
0.412 0.515 0.803
0.433 0.513 0.761
0.337 0.449 0.708
0.344 0.472 0.713
0.367 0.515 0.707
0.432 0.579 0.661
0.346 0.572 0.883
0.354 0.563 0.876
0.398 0.596 0.859
0.408 0.577 0.851
0.407 0.577 0.851
0.405 0.577 0.851
0.454 0.559 0.816
0.370 0.548 1.364
0.433 0.513 0.761
-0.012 0.481 3.796
0.499 0.621 0.471
0.488 0.652 0.510
0.492 0.681 0.491
0.463 0.591 0.511
0.405 0.606 0.859
0.398 0.596 0.856
0.411 0.606 0.853
0.409 0.606 0.853
0.408 0.606 0.853
0.463 0.600 0.812
0.370 0.548 1.364
0.433 0.513 0.761
0.158 0.540 2.037
0.416 0.483 0.576
0.478 0.611 0.499
0.497 0.609 0.476
0.462 0.577 0.506
0.406 0.573 0.851
0.395 0.595 0.858
0.411 0.606 0.853
0.409 0.606 0.853
0.408 0.606 0.853
0.463 0.600 0.812
0.370 0.548 1.364
0.433 0.513 0.761
0.128 0.458 1.924
0.409 0.450 0.596
0.478 0.563 0.542
0.475 0.566 0.535
0.471 0.571 0.489
0.405 0.568 0.854
0.395 0.595 0.858
0.411 0.606 0.853
0.409 0.606 0.853
0.408 0.606 0.853
0.463 0.600 0.812
0.370 0.548 1.364
0.433 0.513 0.761
-0.080 0.390 2.344
0.375 0.406 0.595
0.467 0.561 0.551
0.453 0.566 0.546
0.470 0.559 0.486
0.405 0.568 0.854
0.395 0.595 0.858
0.411 0.606 0.853
0.409 0.606 0.853
0.408 0.606 0.853
0.463 0.600 0.812
0.370 0.548 1.364
0.433 0.513 0.761
