,3,4,6,7,10,11,13,14
sto_diff,4.314323112831122,2.6613185611104484,3.9415811275904105,1.1121622210359874,1.6432367475931215,2.1726442036289555,1.4736071633249423,1.5263145466030608
Storage_Inflow_interaction,0.20202045093423027,0.1617253897048041,0.08057033493282262,0.10174249407820568,0.15783568818879168,0.10141746130079565,0.07010759618628448,0.22009417417352317
Release_pre,0.5524651373152452,0.6027185746164037,0.5452606558603392,0.6102130831473858,0.7869291683407411,0.8719288076266514,0.6639245855457574,0.715260586618129
Release_roll7,0.5031172286473939,0.35083720749641323,0.42686699471142475,0.3424929872029381,0.16806066565943212,0.01965311760763777,0.24323767038945476,0.2148556820839964
Net Inflow,0.015108273097380942,-0.10306371384470037,-0.022130977536759744,-0.06079332412598326,-0.19418453624399512,-0.17588484662688475,-0.06007663273066477,-0.20951289009336893
Inflow_roll7,-0.2851560743831887,-0.09508640083550635,-0.12224844620825603,-0.03120990684554492,0.021617578326274645,0.046831470370306105,0.04307816316566093,-0.03947201735860695
Jan,-0.07040406308775046,0.021576879974182672,-0.012518898318997884,0.05709183289454334,0.06502394722938615,0.04870645695158743,0.051559139272076226,0.08730530740956066
Feb,-0.15174425242975176,-0.055318935379778944,-0.09114796761916555,-0.06547407238003355,0.03876723070672172,0.10921968908813129,-0.059782918973441124,0.051245647789119
Mar,-0.35867007661524597,-0.1270442176827622,-0.18414637255963662,-0.12405832041671871,0.01669948593156878,-0.0049176754507294085,-0.19055400249049192,-0.21343462329801177
Apr,-0.034824096861235665,-0.2370497259947788,-0.2092083487323091,-0.16181588458518803,-0.22529202477936972,-0.23158182485828283,-0.21261012092355536,-0.20770392248371117
May,0.02969331897123162,-0.19480691490669866,-0.10464333248178459,-0.10213343045976053,-0.16433661872264116,-0.18289448342667236,-0.1156943959230361,-0.15384180391216784
Jun,0.009731511386980474,-0.05890225630627899,-0.0046532738406285246,0.021097157955664247,-0.25396908516727756,-0.02936901503556319,0.12121392983758428,0.003113204523414903
Jul,0.05421128535345432,0.04765090765485147,0.028059307039128623,0.052121478321659254,-0.18102177935223296,-0.003451581971561035,0.05850934092385751,0.15078313089660433
Aug,0.14918509753528775,0.1435203187870564,0.11819262729911362,0.10822512954542862,-0.05085277697553586,-0.15782011292550324,0.004260500561943825,-0.1490916362732091
Sep,0.10914263110395184,0.11782279456483913,0.06652649599700577,0.028151388728316462,0.14766949063600665,0.11518630300379518,-0.014082131841549383,-0.019749193239571028
Oct,0.13945098203435768,0.20446241969640333,0.1224873322785136,0.05255579217881845,0.15775177892765857,-0.034795388242965686,0.08357753651679811,-0.08257713665459043
Nov,0.09157896646946173,0.19754476658193987,0.03970638190985554,0.09620549816788682,0.17361594252054968,-0.05437627764272468,0.018979033523364386,0.07344365695878441
Dec,-0.0050865291211785735,0.18832078967939125,0.022699610851002916,0.07887822331631966,0.2395412526144518,0.07648342230458782,0.09091517305780172,0.07244691072983578
const,-0.019268368214630738,-0.14816300324949694,-0.013033484380706728,0.030997903058331833,-0.16706456491582228,0.18577400281545306,-0.03936614093016855,0.2030228922870294
