,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
15-Jan,1560,,,,348,352,715,403,1080,597,946,366,80,110,1220,1210,1870,1460,845,580,1680,1320,623,529,856,1811,56,1016,1125,175,727,56,175,738,873,1426,1441,1459,908,1228,628,694,125,556,804,1285,1022,656,349,682,228,227,454,213,962,235,240,620,204
16-Jan,1540,,,,416,152,534,914,1160,137,1270,387,164,363,1070,1660,1680,1100,1200,1540,2750,838,944,852,837,1786,56,507,412,175,661,56,56,313,1782,249,776,2389,730,1239,1615,248,125,689,704,1311,1701,547,642,1023,228,297,653,209,1738,266,240,149,236
17-Jan,1390,,,,383,747,360,134,1600,826,1040,56,160,56,900,608,1310,926,2260,2900,1900,256,752,611,2407,1844,56,276,234,276,590,56,56,270,1674,260,1440,2987,238,1209,498,125,125,1064,697,1305,220,1611,292,883,228,285,479,200,1906,236,240,193,236
18-Jan,1750,,,,324,56,59,217,1700,969,1060,1030,161,134,950,444,1430,225,2020,1260,2900,974,884,840,1307,2188,136,322,234,262,649,56,56,270,703,1367,1453,3000,249,1251,336,125,242,787,784,968,219,2028,991,772,311,271,1339,213,1890,322,254,195,236
19-Jan,2080,,,,130,265,56,487,1630,881,222,58,408,1050,990,106,1360,48,1830,1300,2650,1210,812,1170,56,2123,56,293,249,259,115,56,56,293,574,1451,2760,1987,796,1023,1112,267,202,125,125,793,758,1954,1463,727,224,223,1650,211,1920,1262,239,179,1005
20-Jan,2160,,,,62,138,334,453,1420,1070,56,46,1470,57,710,427,1410,1000,862,900,2300,626,44,1270,133,1834,56,945,821,245,115,56,56,175,1125,1397,2760,2430,2290,799,1181,839,272,294,125,1030,1221,1934,1518,474,230,226,1944,212,1729,1608,240,451,1309
21-Jan,417,,,,59,914,820,393,644,1100,56,42,2620,57,840,46,1720,928,404,1520,2050,666,1390,1080,56,819,56,2648,792,209,56,56,56,1462,643,1402,2118,3000,2331,800,1199,747,685,125,125,913,1533,1918,599,632,231,227,1859,211,779,1535,235,610,524
22-Jan,1370,,,,57,54,780,249,1400,49,55,349,1930,56,850,526,1480,682,428,700,1950,1030,1250,1700,56,290,5,849,607,293,56,56,56,1322,244,1489,315,3000,2185,751,1209,784,125,125,125,1006,1851,948,537,734,231,291,1754,400,991,1994,813,581,236
23-Jan,2070,,,,59,1470,52,170,856,980,55,43,1540,107,56,917,1520,622,475,56,1850,414,1420,1700,56,351,5,293,678,408,56,56,56,1342,189,287,179,3000,2184,705,1193,199,125,125,140,1785,2193,1508,1906,601,206,218,2399,209,1478,2461,886,610,235
24-Jan,1390,,,,112,2290,637,1100,1860,55,933,42,505,55,780,998,1600,414,185,460,1800,1210,1350,550,56,1390,11,274,703,15,56,56,56,719,276,257,136,3000,2278,800,346,125,125,125,301,2017,639,2441,652,545,227,225,1550,486,1827,2696,789,622,236
25-Jan,686,,,,2040,761,768,262,1940,447,1240,42,58,54,980,900,1210,1160,48,1220,1910,1460,1430,100,249,1430,56,381,175,10,56,56,56,216,180,1275,173,2743,2495,228,298,985,381,125,125,271,703,1901,602,628,229,227,1271,842,1829,2738,239,610,1105
26-Jan,233,,,,2920,64,270,858,2050,1170,967,42,54,407,800,960,1470,44,266,410,1740,619,1030,1200,601,1701,56,293,127,43,553,56,1319,175,168,1334,120,2760,2123,179,784,211,1243,156,213,302,225,371,1083,555,229,331,2366,822,1883,2713,239,518,1406
27-Jan,1760,,,,2000,645,636,1060,1430,1270,507,41,52,127,700,1040,1290,778,320,550,2580,50,247,550,385,1308,149,293,1852,1422,504,56,398,148,179,1331,120,2760,1838,1081,739,171,629,125,125,1713,1490,515,1046,403,230,225,2673,579,1877,2792,357,481,1424
28-Jan,1480,,,,2090,1210,1110,689,2150,448,54,47,51,54,890,60,1040,44,800,1800,2880,160,1550,600,249,1269,56,293,2508,816,115,56,412,724,120,1293,120,2120,1595,1186,656,125,484,125,890,1232,938,537,427,372,230,226,2704,813,1031,2915,1198,493,933
29-Jan,924,,,,2860,456,457,944,2340,174,1170,47,50,54,730,620,1260,98,825,2200,2830,680,1590,500,286,192,56,322,634,217,252,56,1202,120,120,1288,120,2760,1645,2017,527,306,199,155,2483,262,647,394,479,547,227,225,2668,211,1057,2813,738,499,236
30-Jan,144,,,,2490,108,724,1970,2410,540,1170,46,51,54,56,670,910,205,637,410,2700,242,1550,650,56,133,56,287,648,56,405,56,1179,143,443,333,179,2760,2031,1708,990,125,125,125,1480,1234,288,444,543,615,228,230,2619,214,1511,957,725,492,237
31-Jan,245,,,,1190,66,368,1350,2650,1050,874,139,51,334,920,340,1120,44,489,980,2080,439,1270,100,56,597,56,323,234,56,412,56,1148,1392,502,298,365,2156,2032,1695,954,125,442,187,1904,249,255,557,520,726,227,232,2600,414,1655,2109,239,477,237
1-Feb,1200,,,,869,1020,62,2250,1720,59,610,53,665,724,680,370,1310,803,1620,1400,2120,904,1410,150,173,968,56,175,297,56,412,56,1242,819,120,483,1448,2119,2083,358,1033,125,365,125,1135,281,227,646,644,871,227,231,2619,462,1652,2943,236,468,617
2-Feb,229,,,,960,1040,59,2800,2620,515,154,54,502,495,520,410,523,1240,2710,740,1630,515,1150,1200,334,853,56,56,175,56,368,56,1251,783,120,512,1440,2138,2154,287,1150,229,468,658,663,284,225,786,224,231,227,231,2108,973,1648,2981,235,483,736
3-Feb,1790,,,,428,642,534,2210,2880,1660,515,372,2890,56,400,1300,773,1530,1660,215,1050,550,56,1200,323,928,56,56,203,56,412,56,1102,185,382,489,1423,2126,2101,548,222,182,457,125,700,273,231,649,224,232,227,231,1599,979,1730,2943,238,494,749
4-Feb,1520,,,,73,621,613,1490,2110,843,415,49,2690,56,400,1300,1130,1450,452,344,580,444,500,1200,293,1036,56,341,234,56,285,56,398,380,419,512,1429,776,2213,809,1210,168,347,231,879,228,307,853,223,488,236,231,1514,899,666,2988,239,477,514
5-Feb,536,,,,852,694,1150,1560,2950,56,1020,48,57,57,410,1510,1070,1250,45,502,740,1620,660,1100,234,155,32,56,262,56,263,56,1224,185,424,564,598,765,2760,1371,1396,172,187,1447,904,283,1018,561,536,925,246,231,1503,343,610,2985,237,481,1448
6-Feb,346,,,,453,62,1140,1290,2140,746,736,49,61,56,56,1270,1280,1110,44,1270,1550,540,1050,1150,258,224,32,56,1424,115,56,56,1106,175,465,132,228,1459,2760,632,1441,125,125,635,1061,219,225,378,1437,1010,247,231,1467,332,679,2870,428,492,1413
7-Feb,1640,,,,406,1140,1920,44,1990,1700,2380,48,55,53,160,1520,1340,1060,696,1560,2200,210,750,45,56,730,32,56,660,56,56,56,1187,180,477,126,694,1508,2144,276,1050,125,384,125,2277,278,732,940,1461,475,243,228,1466,940,798,2964,846,489,1406
8-Feb,1680,,,,70,559,1820,43,1430,775,1700,47,53,456,470,1160,1330,1450,137,1020,1850,180,950,45,258,1170,32,988,245,56,56,56,1171,1428,228,1363,586,1439,777,130,997,187,506,854,757,282,446,357,1360,980,244,228,728,954,700,2964,239,491,1400
9-Feb,228,,,,134,238,373,41,1830,350,920,46,435,56,410,1300,1470,1240,429,464,1350,620,500,1000,270,792,32,258,234,270,56,56,589,203,120,1621,357,1449,668,119,1459,125,494,752,125,219,399,355,937,820,242,229,1263,1008,671,2855,240,553,1400
10-Feb,594,,,,72,46,1720,39,337,53,704,46,415,117,61,1730,1030,1500,433,333,890,1600,550,550,329,1057,32,258,710,233,317,56,56,169,238,1536,299,1071,663,323,1371,125,309,125,955,220,589,569,939,473,326,257,1407,967,716,2839,909,558,1396
11-Feb,1220,,,,78,1780,808,38,236,54,771,294,53,283,59,896,1310,1300,66,695,1300,49,1150,1300,250,893,32,319,1613,115,260,56,56,383,287,860,340,1025,663,453,1395,125,371,125,125,281,331,546,588,220,229,227,643,706,325,2879,825,535,1523
12-Feb,742,,,,212,872,1970,334,515,276,1110,314,52,57,56,1240,1490,1390,21,865,990,49,1050,1700,313,610,32,293,2203,120,420,56,1096,388,298,925,251,1072,2124,286,1880,125,187,125,1713,404,322,554,593,220,225,229,660,209,338,2852,241,538,1559
13-Feb,610,,,,70,704,915,685,49,653,515,61,52,433,1260,1110,1150,1260,283,225,1650,49,1750,1800,56,496,149,293,1715,115,293,56,1063,341,333,932,1179,1555,2428,551,1922,168,187,538,2457,652,285,323,1124,219,225,226,950,213,1130,2859,241,561,1666
14-Feb,204,,,,67,665,1040,386,48,647,739,423,51,96,533,1220,1400,1180,60,634,1700,49,450,45,56,786,56,274,1598,56,234,297,1210,431,316,932,1176,1283,1210,406,1013,231,125,125,1798,680,282,697,980,284,226,227,897,220,1360,2856,241,702,1494
15-Feb,734,,,,293,2010,636,613,269,58,880,1450,51,60,58,749,1520,1240,43,1660,1850,49,300,45,217,1073,56,270,234,115,293,56,1212,1158,305,1020,1262,1305,1220,217,1013,125,125,187,833,288,220,749,321,348,226,230,893,235,1289,2837,221,857,1570
16-Feb,220,,,,64,1340,630,214,46,465,616,43,51,56,1630,724,1530,1090,151,1210,2000,49,1150,250,56,910,156,293,234,56,234,56,1140,1243,336,1040,1192,120,2101,120,1214,125,142,125,125,288,279,476,228,331,226,231,922,236,531,2950,242,552,1582
17-Feb,1490,,,,63,119,1150,52,527,1160,708,214,367,56,66,1010,1660,1020,278,1530,1800,360,1400,300,288,980,56,263,228,175,244,56,1722,120,345,906,831,514,2088,429,1575,125,187,187,125,1125,289,1036,228,289,222,295,484,237,536,2923,241,572,1536
18-Feb,1350,,,,60,54,268,50,49,60,1130,46,126,185,501,544,1870,1260,49,201,930,380,800,45,263,1158,56,333,56,127,175,56,1930,120,466,1600,745,849,1435,371,1673,187,187,248,1862,1432,234,849,923,289,224,227,794,278,439,2963,241,1458,1534
19-Feb,1470,,,,1010,52,128,49,168,125,1170,204,710,80,1100,882,1800,924,48,561,650,610,850,45,353,56,56,300,56,175,175,56,1879,120,130,1434,383,1282,2112,156,1612,187,125,125,760,1420,236,228,933,572,228,223,582,235,394,1212,243,2878,1534
20-Feb,986,,,,548,52,130,48,448,58,440,49,1010,67,436,909,993,932,392,605,1300,430,56,45,56,56,56,334,56,180,175,56,1892,239,145,623,394,1480,1097,168,1607,153,187,187,125,1387,297,228,1469,599,228,230,540,235,1011,1396,242,1381,1544
21-Feb,950,,,,834,1960,640,47,497,1370,283,50,316,68,57,1010,1220,812,95,1450,1550,49,56,45,56,1202,56,246,56,175,115,56,1875,1112,168,491,1193,1460,1064,168,743,153,125,125,125,1478,291,1006,738,223,225,231,322,1102,882,1695,243,194,1541
22-Feb,1260,,,,156,1620,81,1000,54,440,518,48,52,205,56,2510,1270,147,661,367,1450,49,56,45,263,756,56,284,56,175,203,56,1849,1217,204,556,1217,1460,981,120,743,146,187,125,125,286,272,693,227,223,226,231,501,1038,673,2744,371,193,1370
23-Feb,1210,,,,72,125,300,240,51,1360,108,46,50,143,58,543,1520,560,690,514,1150,49,56,426,353,595,56,56,56,185,115,376,1827,1149,148,346,805,1457,733,179,2015,125,125,223,125,320,231,762,716,224,228,287,383,707,360,2786,354,204,1026
24-Feb,1260,,,,1850,59,52,42,46,1010,59,72,48,52,57,135,1180,1780,45,794,1500,49,56,352,308,1225,56,56,172,648,534,340,1911,1147,161,334,752,1429,166,179,2064,125,151,125,125,1360,302,668,226,225,262,226,422,602,468,2782,906,198,751
25-Feb,1200,,,,2910,56,54,1930,46,912,59,48,603,52,1600,43,1770,1840,43,52,520,49,650,435,797,621,56,293,203,56,405,56,1833,1171,120,681,700,692,166,130,2041,187,287,125,125,2013,231,667,287,222,227,228,534,615,420,2762,1426,192,1515
26-Feb,1000,,,,2830,556,1240,337,60,313,608,47,521,51,1450,750,1260,1630,43,106,640,150,1550,315,1087,56,56,226,56,56,187,56,2032,1145,125,669,412,643,379,298,2053,125,125,174,125,1872,238,301,344,484,226,229,475,357,420,2118,1382,194,1577
27-Feb,1600,,,,1200,1190,63,49,46,629,54,47,52,50,2270,1420,1210,1390,126,564,880,49,272,44,234,144,56,287,56,56,234,56,1842,1173,228,186,168,730,368,120,1462,125,125,125,791,2069,293,223,1341,495,228,228,1305,371,972,1514,1338,198,1574
28-Feb,814,,,,2750,205,846,48,122,54,770,47,51,50,3000,1450,1270,1280,45,506,1220,49,52,43,56,554,56,240,56,56,234,56,1801,1101,228,130,1132,800,573,130,288,125,125,125,832,974,295,1247,231,435,303,227,1429,1128,741,1539,1420,216,1570
29-Feb,,,,,,,694,,,,98,,,,2980,,,,44,,,,366,,,,56,,,,313,,,,130,,,,615,,,,125,,,,230,,,,226,,,,581,,,,2012
1-Mar,153,,,,1620,272,653,46,160,107,60,47,47,51,1750,598,1090,1860,44,543,1180,49,1490,43,258,451,56,56,56,56,334,115,1821,1209,168,906,1785,682,1062,113,287,182,248,174,685,1031,230,2076,234,469,225,232,1412,1435,809,1692,976,213,1351
2-Mar,111,,,,580,302,64,43,443,54,58,46,46,50,918,54,710,1060,43,725,1220,49,2170,246,276,505,56,56,175,56,368,56,1873,1106,155,191,1134,1653,228,120,678,187,125,125,125,1120,232,1684,872,489,227,262,264,1774,631,807,1037,607,1442
3-Mar,404,,,,78,330,57,42,47,54,58,75,48,464,869,48,56,1830,43,199,1300,49,2140,313,353,442,56,56,203,127,293,56,802,1156,168,432,1783,1614,288,228,519,125,212,138,125,876,855,1021,236,221,227,229,263,1801,652,745,1329,700,1379
4-Mar,270,,,,75,54,117,1430,159,53,57,269,48,152,849,47,1190,2380,43,581,887,49,1020,40,233,519,56,293,1072,151,352,56,945,1338,120,648,1622,669,498,199,107,714,1017,125,955,956,231,812,236,219,227,229,377,1943,1330,670,1352,738,1363
5-Mar,434,,,,1080,56,1680,1310,1850,53,119,49,263,60,839,45,1400,2130,43,288,1160,160,724,39,327,56,56,531,996,361,293,56,1092,1107,179,942,1440,669,120,300,249,677,185,206,740,911,230,485,234,426,259,230,495,1482,617,296,1447,706,1426
6-Mar,405,,,,634,386,370,1090,558,92,56,531,498,58,777,43,1320,1490,42,87,540,1800,710,38,56,56,56,571,999,175,308,198,1092,1075,168,947,780,1289,168,549,326,125,125,187,688,986,284,479,1634,475,270,228,700,1591,697,219,1120,730,1347
7-Mar,1750,,,,850,55,51,188,736,56,56,138,85,57,833,47,1170,1140,42,363,650,2100,292,38,56,378,56,607,982,56,305,412,914,1228,120,947,1732,1272,130,654,215,125,1539,286,231,865,320,913,784,486,226,226,684,1957,594,202,1054,711,1839
8-Mar,823,,,,1830,54,49,105,678,55,54,48,47,56,1060,46,1070,1070,1580,517,520,1840,55,38,180,514,56,298,175,56,427,394,1569,1120,120,1187,1722,179,1013,145,171,125,125,210,171,291,322,1781,611,450,227,216,693,2038,484,212,240,678,1049
9-Mar,58,,,,438,51,48,53,265,54,53,47,53,66,868,68,189,1320,720,212,450,1680,245,39,56,1103,92,56,175,56,293,56,1008,1119,179,1148,1429,1679,1587,179,215,605,125,146,125,222,231,1876,539,528,216,225,668,1992,403,238,410,711,1833
10-Mar,1180,,,,929,50,804,50,64,54,53,766,62,56,59,55,52,957,791,124,60,1150,177,39,56,465,56,56,471,853,382,56,310,1138,168,824,1440,1732,395,562,391,125,673,125,532,921,480,1163,723,534,227,226,662,1983,620,235,748,722,1979
11-Mar,1130,,,,640,50,67,327,55,54,53,672,246,193,56,61,893,858,122,55,60,1190,834,39,56,470,56,293,441,1015,270,56,175,1158,179,657,1398,228,375,757,349,125,125,125,1556,1068,583,952,233,479,228,226,1018,1999,1233,771,696,1383,1347
12-Mar,1000,,,,1760,176,56,488,51,54,49,487,777,55,56,247,1270,722,554,138,60,1240,1600,38,56,56,56,293,471,999,352,56,881,1232,120,734,1441,228,168,622,498,361,125,135,2019,1023,469,225,802,472,278,224,1338,1608,666,1180,693,729,1373
13-Mar,1570,,,,2030,222,200,154,50,53,258,59,2060,54,55,198,1870,1080,50,174,60,1190,1440,39,56,56,56,234,175,1287,388,56,270,1123,120,419,1399,962,137,468,439,120,217,1016,1772,1036,231,288,928,479,292,227,859,1469,671,615,773,695,1340
14-Mar,1110,,,,2770,236,54,400,50,53,713,58,842,54,439,62,1700,55,49,151,60,838,746,37,56,446,56,293,56,541,400,56,1158,1227,120,406,1388,881,130,650,305,125,125,125,187,919,230,546,808,474,225,226,1031,1855,621,684,431,665,1865
15-Mar,130,,,,2240,288,54,679,49,53,52,58,825,53,57,48,788,539,438,100,60,652,167,38,185,503,56,256,56,56,465,56,280,1166,155,323,666,988,168,599,305,187,125,125,125,222,234,791,238,411,226,226,1185,1917,609,552,239,728,1324
16-Mar,226,,,,1150,56,52,57,49,656,359,57,2180,57,360,463,934,1110,852,239,770,632,48,115,376,1015,56,56,56,47,589,56,162,1125,130,380,631,930,120,662,422,153,125,125,125,221,229,1760,1041,938,227,226,1426,1795,482,498,239,707,1408
17-Mar,1740,,,,269,56,130,55,49,1610,51,57,984,56,1380,158,2230,1850,1800,1420,300,141,47,166,470,270,56,56,56,158,441,56,185,394,145,130,542,524,130,603,422,153,125,125,246,592,954,2054,466,541,247,227,1537,1782,503,1510,1093,673,1804
18-Mar,890,,,,192,55,52,289,48,830,72,56,95,56,75,50,2470,2000,398,1140,180,48,295,359,1026,198,56,131,56,97,412,56,1393,540,217,251,596,336,346,586,191,125,125,125,125,601,226,1092,412,539,236,227,1535,1647,1356,665,236,660,1346
19-Mar,858,,,,1240,91,698,1970,48,252,71,58,1690,53,61,48,74,2090,455,1840,40,476,206,405,796,56,56,150,56,156,393,56,2427,597,130,180,409,249,477,630,202,125,125,187,162,648,312,329,449,544,243,227,1525,1070,633,555,235,678,341
20-Mar,1990,,,,360,985,49,2890,47,55,50,57,739,51,56,50,60,1390,156,190,520,163,341,128,796,56,196,120,1381,170,469,56,2592,597,120,228,370,217,1086,620,194,125,125,125,125,520,285,341,485,502,227,227,831,1238,595,605,387,574,347
21-Mar,1590,,,,578,1260,668,1090,47,54,229,56,1260,50,53,289,1330,1510,105,634,50,414,1150,49,1825,1601,60,116,1248,157,481,56,2535,604,179,120,508,346,1074,626,205,125,217,125,187,683,285,848,328,508,227,227,1252,1605,630,480,436,370,632
22-Mar,1320,,,,1560,550,192,858,46,54,90,56,545,53,52,105,1130,1360,1170,1690,260,171,1060,48,922,1547,36,120,1177,109,530,56,1242,872,120,248,506,130,1083,130,250,248,125,175,402,219,287,841,225,1354,227,227,1300,1518,656,627,454,722,676
23-Mar,1200,,,,1250,60,60,81,45,110,52,55,682,52,382,1060,640,1190,647,1590,60,337,75,203,663,1542,36,98,56,187,521,56,897,253,130,592,472,249,544,168,1685,125,125,158,125,223,1166,820,226,536,227,227,1933,1564,605,558,498,680,650
24-Mar,2430,,,,100,57,56,430,191,55,51,99,671,52,1540,574,876,1130,214,975,60,1260,125,166,742,1699,36,115,56,157,531,56,555,263,168,546,418,287,120,586,1664,125,125,125,125,1885,1486,1608,227,351,272,225,1864,1212,637,1591,378,672,550
25-Mar,768,,,,75,56,56,56,207,54,51,1380,51,660,1170,673,1180,999,53,183,60,1880,159,45,263,1469,36,210,115,1263,590,56,56,238,179,2075,522,207,228,1242,1030,125,125,125,216,1761,905,1667,225,351,273,227,1912,660,1354,651,507,671,636
26-Mar,70,,,,832,54,440,129,250,54,50,1760,50,205,83,591,657,1890,51,24,60,2730,169,44,312,974,36,56,56,152,590,56,979,197,137,2153,179,228,556,698,1432,125,125,248,125,810,352,266,223,428,257,228,1851,363,715,629,501,720,243
27-Mar,156,,,,770,304,60,48,782,204,49,771,49,52,1650,900,87,1930,49,22,320,1840,499,46,401,954,124,996,56,787,498,56,1149,836,137,2041,130,267,614,709,1260,248,187,130,227,1033,233,267,476,391,223,227,1120,398,578,639,386,687,478
28-Mar,68,,,,491,231,59,140,1990,162,219,51,48,51,507,1010,171,2620,48,21,480,1760,541,44,56,1661,41,187,56,115,612,56,640,730,120,2177,215,276,561,715,900,125,125,125,125,1096,235,177,352,398,392,227,1046,1148,497,631,488,687,468
29-Mar,68,,,,420,232,183,217,61,54,48,48,46,51,764,2100,56,2760,188,20,60,1690,321,44,1135,1125,24,151,56,127,708,56,600,603,148,1853,217,405,130,454,950,125,125,187,202,410,238,125,220,328,304,228,1287,1170,232,636,468,732,416
30-Mar,66,,,,1020,56,1890,657,204,53,47,47,228,51,544,1520,55,1280,63,300,60,1920,47,46,262,1133,24,84,56,511,649,56,676,1283,642,681,442,298,120,346,1637,125,125,125,125,831,367,125,613,260,223,227,1299,1035,258,632,492,703,479
31-Mar,66,,,,1910,55,428,336,160,51,47,138,47,52,60,949,87,1520,397,26,60,1690,1450,44,1182,1178,24,56,56,2101,697,56,56,2844,674,1229,1400,346,179,768,2004,125,125,187,125,2041,1575,125,539,286,606,228,1284,1046,253,1593,498,403,233
1-Apr,67,,,,1880,52,55,53,162,207,177,49,322,67,470,52,1050,1580,460,96,60,1590,1320,43,1053,1165,24,130,98,1539,672,56,54,3000,780,1566,2094,298,145,704,2032,125,125,120,125,2045,782,125,222,276,510,224,1379,812,238,616,526,143,240
2-Apr,66,,,,1530,52,441,52,1150,56,48,48,1830,492,208,1550,1620,1800,228,55,60,1980,1440,42,120,376,24,115,56,510,671,54,563,3000,731,2143,2106,295,120,788,2000,125,120,187,125,249,222,473,215,530,602,227,1391,439,281,665,506,182,273
3-Apr,66,,,,1380,52,342,834,52,1150,1120,48,504,57,538,1860,1790,2520,49,55,60,1900,1480,40,56,376,24,56,92,1781,651,56,786,3000,823,2774,2049,287,120,705,1770,125,133,125,125,322,287,1467,730,595,480,227,522,419,357,612,458,188,240
4-Apr,61,,,,1050,1370,520,60,1560,1140,1130,48,42,55,1560,1670,1150,1950,48,1070,60,1760,1630,41,56,1690,24,56,56,484,679,56,688,3000,406,2523,1855,336,120,788,667,125,174,125,158,221,213,1716,350,629,225,227,366,1161,357,714,438,188,235
5-Apr,58,,,,2130,2000,57,57,790,708,1860,47,41,54,864,1780,3000,1970,366,278,390,2720,1600,41,1357,1503,24,56,134,449,709,56,722,3000,145,2633,1863,300,120,178,667,371,167,125,125,223,453,1546,221,581,225,227,208,1242,1464,690,235,187,235
6-Apr,57,,,,1790,1440,52,53,52,1470,829,47,326,1890,745,1370,3010,1480,46,437,870,2850,1480,41,1979,987,24,56,115,498,744,56,767,3000,161,2661,1946,406,235,117,770,493,125,187,125,279,223,2105,223,478,226,483,211,1111,1117,642,236,195,235
7-Apr,367,,,,91,446,56,52,108,1570,243,51,338,961,1590,665,3030,1880,203,414,650,1940,1150,40,1364,1658,24,56,115,456,507,56,56,1909,120,2259,1988,287,256,336,784,665,125,125,120,287,224,1134,348,264,229,226,213,1126,1110,1496,236,215,236
8-Apr,310,,,,1480,59,1030,1260,67,59,338,51,200,56,1610,53,3040,1800,161,54,60,2070,927,42,938,1883,24,56,115,456,465,56,56,1917,120,2159,2112,346,120,419,801,698,125,125,158,281,225,970,219,410,228,226,212,1253,1142,673,238,212,234
9-Apr,58,,,,1170,236,139,1840,57,56,82,50,41,53,1130,1790,3050,1460,392,55,60,1880,1100,44,56,1927,24,113,115,589,590,56,340,1257,155,2104,2107,336,154,550,746,721,169,233,125,221,225,797,223,477,228,227,212,783,1357,667,237,1288,234
