,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
22-Jan,1370,,,,57,54,780,249,1400,49,55,349,1930,56,850,526,1428,682,428,700,1950,1030,1250,1700,56,290,5,849,607,293,56,56,56,1322,244,1489,315,3000,2185,751,1209,784,125,125,125,1006,1851,948,537,734,231,291,1530,250,991,1403,813,60,236
23-Jan,2070,,,,59,1470,52,170,856,980,55,43,1540,107,56,917,1286,622,475,56,1850,414,1420,1700,56,351,5,293,678,408,56,56,56,1342,189,287,179,3000,2184,705,1193,199,125,125,140,1785,2193,1508,1906,601,185,218,1352,60,1478,1047,886,60,235
24-Jan,1390,,,,112,2290,637,1100,1860,55,933,42,505,55,780,998,1144,414,185,460,1800,1210,1350,550,56,1390,11,274,703,15,56,56,56,719,276,257,136,3000,2278,800,346,125,125,125,301,2017,639,1639,652,545,227,225,664,340,1827,1368,789,60,236
25-Jan,686,,,,2040,761,768,262,1940,447,1240,42,58,54,980,900,475,1160,48,1220,1910,1460,1430,100,249,1430,56,381,175,10,56,56,56,216,180,1275,173,2743,2495,228,298,985,381,125,125,271,703,1227,602,628,229,227,1124,693,1829,1402,239,60,537
26-Jan,233,,,,2920,64,270,858,2050,1170,967,42,54,407,800,960,46,44,266,410,1740,619,1030,1200,601,864,56,293,127,43,553,56,1319,175,168,1334,120,2760,2123,179,784,211,1243,156,213,302,225,103,1083,555,229,331,1471,675,1883,1443,239,60,233
27-Jan,1760,,,,2000,645,636,1060,1430,1270,507,41,52,127,700,1040,42,778,320,550,2580,50,247,550,385,579,149,293,1852,1422,504,56,398,148,179,1331,120,2760,1838,1081,739,171,629,125,125,1713,1490,60,1046,403,230,225,1392,427,1877,1436,357,60,475
28-Jan,1480,,,,2090,1210,1110,689,2150,448,54,47,51,54,890,60,147,44,800,1800,2880,160,1550,600,249,465,56,293,2508,816,115,56,412,724,120,1293,120,2120,1595,1186,656,125,484,125,890,1232,938,60,427,372,230,226,1429,663,1031,1787,1198,60,507
29-Jan,924,,,,2860,456,457,944,2340,174,1170,47,50,54,730,620,971,98,825,2200,2830,680,1590,500,286,192,56,322,634,217,252,56,1202,120,120,1288,120,2760,1645,2017,527,306,199,155,2483,262,647,86,479,547,227,225,1415,60,1057,1710,738,60,236
30-Jan,144,,,,2490,108,724,1970,2410,540,1170,46,51,54,56,670,910,205,637,410,2700,242,1550,650,56,133,56,287,648,56,405,56,1179,143,443,333,179,2760,2031,1708,990,125,125,125,1480,1234,288,184,543,615,228,230,1420,60,1511,615,725,60,237
31-Jan,245,,,,1190,66,368,1350,2650,1050,874,139,51,334,920,340,1120,44,489,980,2080,439,1270,100,56,597,56,323,234,56,412,56,1148,1392,502,298,365,2156,2032,1695,954,125,442,187,1904,249,255,557,520,726,227,232,1318,258,1655,1476,239,60,237
1-Feb,1200,,,,869,1020,62,2250,1720,59,610,53,665,724,680,370,1310,803,1620,1400,2120,904,1410,150,173,968,56,175,297,56,412,56,1242,819,120,483,1448,2119,2083,358,1033,125,365,125,1135,281,227,646,644,871,227,231,1314,308,1652,1803,236,60,432
2-Feb,229,,,,960,1040,59,2800,2620,515,154,54,502,495,520,410,523,1240,2710,740,1630,515,1150,1200,334,753,56,56,175,56,368,56,1251,783,120,512,1440,2138,2154,287,1150,229,468,658,663,284,225,786,224,231,227,231,1330,823,1648,1875,235,60,508
3-Feb,1790,,,,428,642,534,2210,2880,1660,515,372,2890,56,400,1300,773,1530,1660,215,1050,550,56,1200,323,872,56,56,203,56,412,56,1102,185,382,489,1423,2126,2101,548,222,182,457,125,700,273,231,649,224,232,227,231,1441,824,1730,1841,238,60,515
4-Feb,1520,,,,73,621,613,1490,2110,843,415,49,2690,56,400,1300,1130,1450,452,344,580,444,500,1200,293,882,56,341,234,56,285,56,398,180,419,512,1429,776,2213,809,1210,168,347,231,879,228,307,853,223,488,236,231,1362,748,666,1878,239,60,235
5-Feb,536,,,,852,694,1150,1560,2950,56,1020,48,57,57,410,1510,1070,1250,45,502,740,1620,660,1100,234,155,32,56,262,56,263,56,1224,185,424,476,598,765,2760,1371,1396,172,187,1447,904,283,1018,561,536,925,246,231,1349,190,610,1876,237,60,230
6-Feb,346,,,,453,62,1140,1290,2140,746,736,49,61,56,56,1270,1280,1110,44,1270,1550,540,1050,1150,258,224,32,56,1424,115,56,56,1106,175,465,0,228,1459,2760,632,1441,125,125,635,1061,219,225,378,1437,1010,247,231,1307,178,679,1780,428,60,230
7-Feb,1640,,,,406,1140,1920,44,1990,1700,2380,48,55,53,160,1520,1340,1060,696,1560,2200,210,750,45,56,730,32,56,660,56,56,56,1187,180,477,0,694,1508,2144,276,1050,125,384,125,2277,278,732,940,1461,475,243,228,1306,787,798,1875,846,60,230
8-Feb,1680,,,,70,559,1820,43,1430,775,1700,47,53,456,470,1160,1330,1450,137,1020,1850,180,923,45,258,830,32,988,245,56,56,56,1171,1428,228,1363,586,1439,777,130,997,187,506,854,757,282,446,357,1360,980,244,228,574,798,700,1856,239,60,230
9-Feb,228,,,,134,238,373,41,1830,350,920,46,435,56,410,1300,1470,1240,429,464,1350,620,500,1000,270,792,32,258,234,270,56,56,589,203,120,1621,357,1449,668,119,1459,125,494,752,125,219,399,355,937,820,242,193,1107,853,671,1765,240,60,230
10-Feb,594,,,,72,46,1720,39,337,53,704,46,415,117,61,1730,1030,1500,433,333,890,1600,550,550,329,880,32,258,710,233,317,56,56,169,238,1536,299,1071,663,323,1371,125,309,125,955,220,589,569,939,473,224,168,1250,811,716,1774,909,60,230
11-Feb,1220,,,,78,1780,808,38,236,54,771,294,53,283,59,896,1310,1300,66,695,1300,49,1150,1300,250,893,32,319,1613,115,260,56,56,383,287,860,340,1025,663,453,1395,125,371,125,125,281,331,546,588,220,229,227,487,561,325,1861,825,60,1105
12-Feb,742,,,,212,872,1970,334,515,276,1110,314,52,57,56,1240,1490,1390,21,865,990,49,1050,1700,313,610,32,293,2203,120,420,56,1096,388,298,925,251,1072,2124,286,1880,125,187,125,1713,404,322,554,593,220,225,229,501,60,338,1859,241,60,1559
13-Feb,610,,,,70,704,915,685,49,653,515,61,52,433,1260,1110,1150,1260,283,225,1650,49,1750,1800,56,496,149,293,1715,115,293,56,1063,341,333,932,1179,1555,2428,551,1922,168,187,538,2457,652,285,323,1124,219,225,226,791,60,1130,1863,241,60,1666
14-Feb,204,,,,67,665,1040,386,48,647,739,423,51,96,533,1220,1400,1180,60,634,1700,49,450,45,56,755,56,274,1598,56,234,297,1210,431,316,932,1176,1283,1210,406,1013,231,125,125,1798,680,282,697,980,284,226,227,743,65,1360,1864,241,60,1494
15-Feb,734,,,,293,2010,636,613,269,58,880,1450,51,60,58,749,1520,1240,43,1660,1850,49,300,45,217,990,56,270,234,115,293,56,1212,1158,305,1020,1262,1305,1220,217,1013,125,125,187,833,288,220,749,321,348,226,230,733,151,1289,1862,221,60,1570
16-Feb,220,,,,64,1340,630,214,46,465,616,43,51,56,1630,724,1530,1090,151,1210,2000,49,1150,250,56,910,156,293,234,56,234,56,1140,1243,336,1040,1192,120,2101,120,1214,125,142,125,125,288,279,476,228,331,226,231,765,236,531,1879,242,60,1582
17-Feb,1490,,,,63,119,1150,52,527,1160,708,214,367,56,66,1010,1660,1020,278,1530,1800,360,1400,300,288,980,56,263,228,175,244,56,1722,120,345,906,831,514,2088,429,1575,125,187,187,125,1125,289,1036,228,289,222,295,330,237,536,1874,241,60,1536
18-Feb,1350,,,,60,54,268,50,49,60,1130,46,126,185,501,544,1870,1260,49,201,930,380,800,45,263,1158,56,333,56,127,175,56,1930,120,466,1600,745,849,1435,371,1673,187,187,248,1862,1432,234,849,923,289,224,227,633,278,439,1883,241,60,1534
19-Feb,1470,,,,1010,52,128,49,168,125,1170,204,710,80,1100,882,1800,924,48,561,650,610,850,45,353,56,56,300,56,175,175,56,1879,120,130,1434,383,1282,2112,156,1612,187,125,125,760,1420,236,228,933,572,228,223,426,235,394,918,243,60,1534
20-Feb,986,,,,548,52,130,48,448,58,440,49,1010,67,436,909,993,932,392,605,1300,430,56,45,56,56,56,334,56,180,175,56,1892,239,145,623,394,1480,1097,168,1607,153,187,187,125,1387,297,228,1469,599,228,230,386,235,1011,693,242,60,1544
21-Feb,950,,,,834,1960,640,47,497,1370,283,50,316,68,57,1010,1220,812,95,1450,1550,49,56,45,56,1202,56,246,56,175,115,56,1875,1112,168,491,1193,1460,1064,168,743,153,125,125,125,1478,291,1006,738,223,225,231,162,1102,882,645,243,60,1541
22-Feb,1260,,,,156,1620,81,1000,54,440,518,48,52,205,56,2510,1270,147,661,367,1450,49,56,45,263,756,56,284,56,175,203,56,1849,1217,204,556,1217,1460,981,120,743,146,187,125,125,286,272,693,227,223,226,231,347,1038,673,1734,371,60,1370
23-Feb,1210,,,,72,125,300,240,51,1360,108,46,50,143,58,543,1520,560,690,514,1150,49,56,426,353,595,56,56,56,185,115,376,1827,1149,148,346,805,1457,733,179,2015,125,125,223,125,320,231,762,716,224,228,287,230,707,360,1749,354,60,1026
24-Feb,1260,,,,1850,59,52,42,46,1010,59,72,48,52,57,135,1180,1780,45,794,1500,49,56,352,308,1225,56,56,172,648,534,340,1911,1147,161,334,752,1429,166,179,2064,125,151,125,125,1360,302,668,226,225,262,226,265,602,468,1738,906,60,751
25-Feb,1200,,,,2910,56,54,1930,46,912,59,48,603,52,1600,43,1770,1840,43,52,520,49,650,435,797,621,56,293,203,56,405,56,1833,1171,120,681,700,692,166,130,2041,187,287,125,125,2013,231,667,287,222,227,228,383,615,420,1745,1426,60,1515
26-Feb,1000,,,,2830,556,1240,337,60,313,608,47,521,51,1450,750,1260,1630,43,106,640,150,1550,315,1087,56,56,226,56,56,187,56,2032,1145,125,669,412,643,379,298,2053,125,125,174,125,1872,193,301,344,484,226,229,328,357,420,1642,1382,60,1577
27-Feb,1600,,,,1200,1190,63,49,46,629,54,47,52,50,2270,1420,1210,1390,126,564,880,49,272,44,234,144,56,287,56,56,234,56,1842,1173,228,186,168,730,368,120,1462,125,125,125,791,2069,293,223,1341,495,228,228,1160,371,972,1514,1338,60,1574
28-Feb,814,,,,2750,205,846,48,122,54,770,47,51,50,3000,1450,1270,1280,45,506,1220,49,52,43,56,554,56,240,56,56,234,56,1801,1101,228,130,1132,800,573,130,288,125,125,125,832,974,295,1247,231,435,303,227,1269,1128,741,1539,1420,60,1570
29-Feb,,,,,,,694,,,,98,,,,2980,,,,44,,,,366,,,,56,,,,313,,,,130,,,,615,,,,125,,,,230,,,,226,,,,581,,,,2012
1-Mar,153,,,,1620,272,653,46,160,107,60,47,47,51,1750,598,1090,1860,44,543,1180,49,1490,43,258,451,56,56,56,56,334,115,1821,1209,168,906,1785,682,1062,113,287,182,248,174,685,1031,230,2076,234,469,225,232,1256,1435,809,1692,976,60,1351
2-Mar,111,,,,580,302,64,43,443,54,58,46,46,50,918,54,710,1060,43,725,1220,49,2170,246,276,505,56,56,175,56,368,56,1873,1106,155,191,1134,1653,228,120,678,187,125,125,125,1120,232,1684,872,489,227,262,109,1774,631,807,1037,60,1442
3-Mar,404,,,,78,330,57,42,47,54,58,75,48,464,869,48,56,1830,43,199,1300,49,2140,313,353,442,56,56,203,127,293,56,802,1156,168,432,1783,1614,288,228,519,125,212,138,125,876,855,1021,236,221,227,229,111,1801,652,745,1329,60,1379
4-Mar,270,,,,75,54,117,1430,159,53,57,269,48,152,849,47,1190,2380,43,581,887,49,1020,40,233,519,56,293,1072,151,352,56,945,1338,120,648,1622,669,498,199,107,714,1017,125,955,956,231,812,236,219,227,229,222,1943,1330,670,1352,60,1363
5-Mar,434,,,,1080,56,1680,1310,1850,53,119,49,263,60,839,45,1400,2130,43,288,1160,160,724,39,327,56,56,531,996,361,293,56,1092,1107,179,942,1440,669,120,300,249,677,185,206,740,911,230,485,234,426,259,230,345,1482,617,103,1447,60,1426
6-Mar,405,,,,634,386,370,1090,558,92,56,531,498,58,777,43,1320,1490,42,87,540,1800,710,38,56,56,56,571,999,175,308,198,1092,1075,168,947,780,1289,168,549,326,125,125,187,688,986,284,479,1634,475,270,228,554,1591,697,60,1120,60,1347
7-Mar,1750,,,,850,55,51,188,736,56,56,138,85,57,833,47,1170,1140,42,363,650,2100,292,38,56,378,56,607,982,56,305,412,914,1228,120,947,1732,1272,130,654,215,125,1539,286,231,865,320,913,784,486,226,226,526,1957,594,60,1054,60,1839
8-Mar,823,,,,1830,54,49,105,678,55,54,48,47,56,1060,46,1070,1070,1580,517,520,1840,55,38,180,514,56,298,175,56,427,394,1569,1120,120,1187,1722,179,1013,145,171,125,125,210,125,291,252,1781,611,450,227,216,537,2038,484,60,240,58,1049
9-Mar,58,,,,438,51,48,53,265,54,53,47,53,66,868,68,189,1320,720,212,450,1680,245,39,56,1103,92,56,175,56,293,56,1008,1119,179,1148,1429,1679,1587,179,215,605,125,146,125,222,231,1876,539,528,216,225,514,1992,377,60,410,60,1833
10-Mar,1180,,,,929,50,804,50,64,54,53,766,62,56,59,55,52,957,791,124,60,1150,177,39,56,465,56,56,471,853,382,56,310,1138,168,824,1440,1732,395,562,391,125,673,125,532,921,480,1163,723,534,227,226,507,1983,592,58,748,60,1979
11-Mar,1130,,,,640,50,67,327,55,54,53,672,246,193,56,61,893,858,122,55,60,1190,834,39,56,470,56,293,441,1015,270,56,175,1158,179,657,1398,228,375,757,349,125,125,125,1556,1068,583,952,233,479,228,226,859,1999,1233,63,696,60,1347
12-Mar,1000,,,,1760,176,56,488,51,54,49,487,777,55,56,247,1270,722,554,138,60,1240,1600,38,56,56,56,293,471,999,352,56,881,1232,120,734,1441,228,168,622,498,361,125,135,2019,1023,469,225,802,472,278,224,1184,1608,666,60,693,60,1373
13-Mar,1570,,,,2030,222,200,154,50,53,258,59,2060,54,55,198,1870,1080,50,174,60,1190,1440,39,56,56,56,234,175,1287,388,56,270,1123,120,419,1399,962,137,468,439,120,217,1016,1772,1036,231,288,928,479,292,227,703,1469,671,383,773,60,1340
14-Mar,1110,,,,2770,236,54,400,50,53,713,58,842,54,439,62,1700,55,49,151,60,838,746,37,56,446,56,293,56,541,400,56,1158,1227,120,406,1388,881,130,650,305,125,125,125,187,919,230,546,808,474,225,226,880,1855,621,582,431,60,1865
15-Mar,130,,,,2240,288,54,679,49,53,52,58,825,53,57,48,788,539,438,100,60,652,167,38,185,503,56,256,56,56,465,56,280,1166,155,323,666,988,168,599,305,187,125,125,125,222,234,791,238,411,226,226,1039,1917,609,409,239,60,1324
16-Mar,226,,,,1150,56,52,57,49,656,359,57,2180,57,360,463,934,1110,852,239,770,632,48,115,376,1015,56,56,56,47,589,56,162,1125,130,380,631,930,120,662,422,153,125,125,125,221,229,1760,1041,938,227,226,1273,1795,472,353,239,60,1408
17-Mar,1740,,,,269,56,130,55,49,1610,51,57,984,56,1380,158,2230,1850,1800,1420,300,141,47,166,470,270,56,56,56,158,441,56,1853,394,145,130,542,524,130,603,422,153,125,125,246,592,954,2054,466,541,247,227,1386,1782,447,1356,1093,60,1804
18-Mar,890,,,,192,55,52,289,48,830,72,56,95,56,75,50,2470,2000,398,1140,118,48,295,359,1026,198,56,131,56,97,412,56,1393,540,217,251,596,336,346,586,191,125,125,125,125,601,226,1092,412,539,236,227,1384,1647,1356,522,236,60,1346
19-Mar,858,,,,1240,91,698,1970,48,252,71,58,1690,53,61,48,74,2090,455,1840,40,476,206,405,796,56,56,150,56,156,393,56,2427,597,130,180,409,249,477,630,202,125,125,187,162,648,312,329,449,544,243,227,1372,1070,633,417,235,60,341
20-Mar,1990,,,,360,985,49,2890,47,55,50,57,739,51,56,50,60,1390,156,190,520,163,341,128,796,56,196,120,1381,170,469,56,2535,597,120,228,370,217,1086,620,194,125,125,125,125,520,285,341,485,502,227,227,678,1238,595,557,387,60,347
21-Mar,1590,,,,578,1260,668,1090,47,54,229,56,1260,50,53,289,1330,1510,105,634,50,414,1150,49,1825,1601,60,116,1248,157,481,56,2535,604,179,120,508,346,1074,626,205,125,217,125,187,683,285,848,328,508,227,227,1100,1605,630,480,436,60,632
22-Mar,1320,,,,1560,550,192,858,46,54,90,56,545,53,52,105,1130,1360,1170,843,160,171,1060,48,922,1547,36,120,1177,109,530,56,1242,872,120,248,506,130,1083,130,250,248,125,175,402,219,287,841,225,1354,227,227,1143,1518,656,627,454,60,676
