,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
5-Feb,294,145,22,36,242,96,278,56,1194,142,441,374,661,770,2749,1444,1411,179,100,1504,934,250,1019,588,520,984,174,233,1546,343,639,2987,236,504,1397
6-Feb,268,144,22,46,1454,105,45,56,1076,155,429,132,143,1482,2765,595,1452,128,141,551,931,294,286,329,1415,988,246,254,1472,334,698,2820,414,488,1404
7-Feb,36,860,32,36,660,26,34,56,1207,162,422,126,745,1451,2121,186,1025,94,413,141,2448,263,720,1089,1457,368,248,194,1460,943,695,3015,851,489,1404
8-Feb,258,1030,32,1038,235,36,33,56,1181,1560,153,1565,631,1455,805,100,986,158,515,862,763,249,386,244,1349,1032,238,251,754,974,808,2932,244,508,1399
9-Feb,270,912,32,268,214,280,28,56,709,187,147,1594,305,1450,695,142,1422,133,512,774,128,243,406,264,920,800,238,132,1252,1003,684,2842,238,529,1399
10-Feb,269,1007,22,268,660,273,348,56,56,158,318,1598,238,1043,660,374,1359,140,336,136,949,254,516,655,933,424,313,249,1427,901,682,2836,927,519,1388
11-Feb,260,1023,32,269,1593,85,281,56,46,367,418,881,408,1061,607,378,1443,146,399,134,133,245,458,570,601,235,235,251,644,744,348,2834,830,541,1574
12-Feb,293,450,22,303,2303,150,418,56,946,378,225,950,194,1048,2161,394,1884,182,165,137,1663,358,202,544,566,214,238,254,691,210,344,2849,224,539,1594
13-Feb,56,486,119,283,1645,95,272,56,1213,385,320,942,1215,1598,2422,548,1930,123,159,481,2498,677,318,283,1128,212,245,225,923,210,1116,2855,231,587,1542
14-Feb,56,976,96,324,1618,96,262,447,1140,376,301,942,1176,1253,1212,393,982,146,155,159,1816,764,253,747,989,386,237,249,916,230,1298,2855,245,607,1602
15-Feb,217,983,36,280,224,85,267,26,1182,1148,328,962,1227,1307,1242,127,976,144,144,202,773,288,315,732,377,310,243,251,868,223,1305,2827,212,769,1597
16-Feb,56,1040,176,283,214,156,268,26,1150,1215,321,988,1200,98,2103,163,1208,146,143,168,146,301,313,484,224,377,179,244,912,263,548,3019,248,731,1531
17-Feb,308,900,36,253,248,145,265,36,1692,138,367,993,773,485,2117,405,1636,146,157,187,149,1137,257,1022,232,277,231,230,490,244,536,2926,240,567,1520
18-Feb,273,1018,36,263,56,157,160,36,1950,180,394,1590,796,837,1424,416,1646,166,152,181,1806,1381,233,901,880,277,269,257,808,235,417,2984,247,1375,1537
19-Feb,333,26,56,300,56,145,158,36,1889,164,131,1442,386,1299,2111,139,1615,176,175,150,765,1437,244,244,949,587,230,233,496,245,393,1105,248,2864,1535
20-Feb,46,46,56,294,56,160,159,46,1882,185,149,533,415,1506,1080,143,1596,160,177,161,109,1398,238,210,1496,580,179,238,620,245,1050,1475,244,1452,1536
21-Feb,56,1282,56,286,36,155,150,86,1845,1146,133,507,1221,1492,1098,161,720,156,149,157,126,1474,319,1045,713,219,225,237,322,1006,886,1666,260,153,1561
22-Feb,293,706,56,274,46,155,178,76,1869,1166,156,632,1169,1457,1045,132,775,142,158,161,136,336,269,664,224,230,243,224,453,1063,627,2781,357,216,1405
23-Feb,333,705,216,46,36,215,159,426,1877,1128,248,273,766,1444,588,163,2041,138,140,160,140,298,247,682,710,232,283,230,441,784,388,2773,352,230,1011
24-Feb,298,1165,36,36,192,628,497,380,1871,1196,125,292,774,1430,155,263,2069,139,150,150,138,1443,263,745,238,224,230,239,427,616,427,2773,914,162,738
25-Feb,937,691,76,313,183,46,408,26,1863,1131,139,765,736,624,168,130,2053,154,182,164,142,1881,312,719,291,238,216,246,455,605,438,2730,1389,204,1561
26-Feb,967,5.99999999999999,56,226,46,36,233,36,1932,1187,183,666,428,626,415,196,2018,140,146,101,128,1886,255,241,285,467,245,237,434,372,443,2169,1374,185,1566
27-Feb,264,114,56,297,106,56,219,36,1882,1128,175,143,143,757,381,143,1517,133,150,151,842,2052,254,235,1343,473,227,243,1419,364,945,1536,1384,331,1563
28-Feb,26,524,46,270,36,76,197,36,1841,1149,155,119,1175,776,497,163,259,152,141,156,748,971,246,1224,216,424,242,236,1417,1099,703,1533,1357,210,1561
29-Feb,0,0,46,0,0,0,306,0,0,0,136,0,0,0,657,0,0,0,134,0,0,0,250,0,0,0,243,0,0,0,602,0,0,0,1937
1-Mar,278,441,46,36,166,76,337,145,1821,1145,156,951,1718,755,1123,134,246,190,167,159,747,935,264,2142,236,489,245,237,1393,1464,685,1583,1020,146,1395
2-Mar,276,515,46,36,155,56,304,36,1873,1173,254,128,1117,1648,204,148,646,137,141,146,105,1207,255,1630,843,473,243,261,288,1776,728,808,987,607,1384
3-Mar,343,402,46,36,173,147,352,46,772,1207,145,430,1826,1639,212,194,507,123,224,135,146,909,807,955,313,208,221,231,238,1798,627,790,1371,787,1396
4-Mar,263,569,36,283,1032,181,337,36,995,1183,126,678,1698,651,525,196,113,717,1088,145,905,935,270,819,221,224,245,236,377,1876,1368,538,1368,672,1397
5-Mar,277,16,46,631,1006,271,346,46,1032,1174,143,952,1412,617,155,339,234,643,150,170,804,914,248,484,222,453,250,229,485,1558,617,224,1422,728,1390
6-Mar,46,46,36,601,999,145,321,268,1042,1130,151,988,724,1273,132,575,347,163,134,161,675,925,270,417,1647,473,240,207,716,1562,648,211,1098,700,1398
7-Mar,56,478,36,557,1042,26,352,402,994,1192,138,931,1735,1335,142,641,160,156,1531,219,143,945,153,1101,791,483,244,197,699,1898,631,204,1099,663,1859
8-Mar,250,454,36,318,125,46,316,374,1529,1151,138,1193,1736,99,1081,133,176,153,133,210,178,235,548,1755,610,488,209,211,656,2112,474,238,230,683,997
9-Mar,36,1093,82,36,145,146,326,36,1078,1133,151,1198,1427,1820,1499,132,259,491,135,144,142,194,228,1886,553,461,229,243,679,1995,376,238,418,756,1844
