,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
10-Jun,966,2745,0,737,146,1155,758,372,1139,369,2689,1371,1134,491,1607,1577,819,728,392,144,130,1168,800,1398,724,120,739,528,478,818,275,1195,475,353,0
11-Jun,26,1377,0,490,155,1378,748,36,291,571,2742,1383,677,121,1560,1850,1200,716,130,414,397,1174,1202,765,561,853,785,664,499,650,892,1217,542,376,0
12-Jun,126,1115,0,499,145,1458,699,418,144,738,2861,618,677,871,1587,1824,1015,395,443,411,125,1225,886,1083,636,813,652,584,701,291,672,1574,489,697,0
13-Jun,141,1791,0,243,264,580,760,66,1485,730,2868,610,1085,883,1578,1779,1163,250,438,447,621,1214,351,504,1056,733,1015,760,191,843,665,1572,693,1273,0
14-Jun,1101,1768,0,254,95,455,740,76,1479,698,2848,589,1040,1045,1605,674,1038,1262,323,419,391,885,549,828,1111,737,903,236,484,659,632,1489,629,121,0
15-Jun,1352,1730,0,264,86,1157,754,66,1513,694,2837,458,1023,724,678,680,1794,1254,1147,449,364,881,413,486,972,822,874,486,522,662,615,885,232,452,0
16-Jun,1199,1731,0,253,266,1157,754,76,718,409,2800,475,639,751,694,615,1759,1233,562,408,152,1278,568,1345,704,670,449,609,498,655,674,559,554,381,0
17-Jun,1401,1401,0,361,273,1163,736,86,733,643,2788,420,729,507,1841,566,1705,1215,426,145,391,1165,744,622,773,173,624,578,465,661,468,663,695,391,0
18-Jun,1441,710,0,286,257,1147,612,66,1131,742,2797,663,712,127,1069,583,1375,1229,125,405,400,1383,684,655,225,640,653,686,556,620,628,906,770,396,0
19-Jun,453,510,0,290,284,1155,656,36,1142,900,2758,778,710,1286,1208,622,1649,401,394,395,557,1719,771,284,717,661,535,1286,661,319,596,888,660,382,0
20-Jun,230,1171,434,273,876,443,646,78,1169,948,583,712,1183,1264,1106,647,403,232,442,459,248,1530,300,462,499,693,623,1511,208,482,580,909,475,599,0
21-Jun,1322,1234,0,280,261,384,649,26,1158,931,636,819,1178,1261,1417,645,121,825,682,471,699,835,530,698,575,646,833,1529,558,542,671,1104,736,196,0
22-Jun,1511,1646,0,244,335,1099,869,696,1136,433,1719,859,1163,1275,1347,603,1663,765,385,458,511,829,558,477,595,644,238,1450,514,542,919,988,309,404,0
23-Jun,1328,1618,0,266,1217,1008,701,1409,46,382,1180,775,1532,1288,1364,653,1564,783,939,407,832,1051,621,674,476,623,569,1456,469,540,823,594,440,395,0
24-Jun,1500,1678,374,585,474,937,680,1388,36,415,934,841,1250,677,1365,597,1563,594,395,135,833,1205,1232,799,718,181,442,1357,474,483,426,833,635,391,0
25-Jun,1574,967,0,1319,376,1039,612,1376,1261,1132,1067,821,867,694,1078,594,1607,556,129,408,375,1023,1073,706,1180,663,701,1585,453,660,733,654,530,366,0
26-Jun,511,517,0,1450,391,1180,616,1308,721,561,1039,437,846,1287,654,607,1598,588,735,420,1570,1156,1327,428,509,638,553,1513,657,268,953,716,495,345,0
27-Jun,253,1545,0,1385,1120,374,584,2004,1291,859,602,458,996,1278,1024,684,326,588,442,411,810,1220,1101,814,1057,660,540,737,240,661,895,939,537,604,0
28-Jun,1334,1484,0,725,273,380,610,1662,1280,820,598,746,1245,1273,1027,676,155,521,337,405,449,503,637,802,745,650,712,323,489,548,915,966,623,182,0
29-Jun,1397,1581,0,135,254,1169,632,1647,1274,433,990,717,1211,1284,483,673,1701,411,455,411,468,205,712,566,556,640,243,607,570,492,872,683,235,456,0
30-Jun,1188,1456,0,155,496,1396,595,1705,277,423,979,709,1243,1271,714,672,1442,431,456,415,156,1466,723,580,1143,676,531,570,467,482,759,675,652,424,0
1-Jul,740,1760,0,544,396,1275,630,909,45,1592,1790,710,810,740,1396,541,982,601,446,156,1307,1013,654,713,1003,176,656,546,486,568,229,535,591,431,0
2-Jul,1203,667,0,332,333,924,661,865,1284,1405,1338,684,600,713,1003,671,1013,415,128,461,1155,1417,642,766,741,630,577,521,501,769,949,959,511,494,0
3-Jul,636,669,0,553,469,664,619,1400,719,1612,614,705,457,1320,1007,975,415,447,429,423,688,1213,940,170,887,687,530,544,671,279,792,1283,603,300,0
4-Jul,246,869,0,281,329,391,618,873,637,1058,612,726,456,1270,901,1011,431,473,412,415,806,1380,878,579,829,643,529,765,185,492,834,1614,473,532,0
5-Jul,683,1552,0,365,375,369,680,2646,1066,691,615,717,443,1105,550,993,126,953,1473,758,402,1520,1367,706,496,663,716,234,454,486,762,2633,805,373,0
6-Jul,1630,1727,0,245,419,1418,638,2615,491,1588,1371,703,962,1125,496,1038,1487,1038,858,423,344,1656,1134,577,816,712,242,571,453,479,843,3103,244,334,0
7-Jul,1730,1764,0,223,834,1153,639,2695,493,1623,1344,887,966,1109,150,998,2051,373,1264,733,479,1583,1108,482,384,987,531,540,501,562,780,3099,471,457,0
8-Jul,1819,1634,0,528,609,1366,637,2770,489,1476,1403,921,940,1585,965,915,1455,779,408,735,523,1428,1102,522,821,480,536,553,444,483,356,3249,533,387,0
9-Jul,1842,1206,0,600,572,1365,668,2759,1119,912,1329,895,951,1651,953,1048,1437,862,749,866,685,1457,887,716,866,1135,553,573,499,700,837,3343,531,316,0
10-Jul,912,883,0,592,601,1326,645,2230,891,911,1355,807,935,1876,542,1013,1428,531,1493,1067,422,1161,714,328,946,743,715,459,792,237,595,3085,596,318,0
11-Jul,737,1718,0,563,612,595,586,1902,1061,916,1166,807,918,1891,974,1034,632,479,1290,1026,437,1566,236,561,523,609,694,762,197,490,632,2701,518,641,0
12-Jul,1802,1693,0,1463,362,555,636,2068,619,1105,1144,885,1238,1824,663,959,678,495,1153,1021,549,1709,726,642,354,714,716,274,438,548,490,3287,798,204,0
13-Jul,1800,1981,0,263,372,1405,649,2011,460,363,1917,891,1218,1850,518,976,1436,427,732,1018,419,1565,861,493,1335,661,418,537,442,525,594,3312,253,418,0
14-Jul,124,2107,292,273,586,1434,638,1890,575,375,1898,920,917,1907,177,1162,1605,422,740,405,139,1575,863,584,780,629,724,592,465,544,711,3307,468,392,0
15-Jul,1772,1942,283,1284,601,1398,629,889,589,999,1202,896,507,1602,1112,1119,1579,408,388,131,482,1613,470,578,1336,188,756,479,507,483,283,3302,572,587,0
16-Jul,1897,1687,236,570,644,1371,647,920,606,978,1918,881,521,1664,1169,1451,1546,591,131,1025,802,1497,794,759,207,671,731,531,419,659,453,3289,584,562,0
17-Jul,980,1355,123,563,632,1397,635,1795,581,1012,1955,1160,163,1671,916,1517,1578,538,584,1046,739,1289,762,246,665,568,993,558,728,299,660,3127,532,420,0
18-Jul,665,1948,178,556,613,556,645,1834,766,1014,427,1164,928,1657,1194,1068,1008,615,755,1052,800,1425,235,524,1077,640,1022,755,263,474,563,3312,594,651,0
19-Jul,1856,1525,144,1776,388,1159,451,1663,845,1007,435,818,980,1659,1175,1019,1001,991,382,1074,775,1039,499,528,897,509,917,243,442,499,510,3290,742,195,0
20-Jul,1832,1927,172,1408,372,1369,367,1621,926,505,1391,1044,991,1660,513,993,1569,1001,399,1026,485,1135,523,529,792,546,203,554,508,475,542,3312,239,648,0
21-Jul,1627,1385,256,1463,611,1430,392,1588,879,395,1376,1075,934,1585,491,1459,1536,991,437,395,89,1395,528,568,573,771,518,547,477,474,768,3315,515,751,0
22-Jul,1162,2070,125,1776,615,1388,452,909,593,1376,1388,1099,939,902,1882,1461,1535,980,438,277,881,1128,445,511,669,150,539,542,484,484,227,3315,615,538,0
23-Jul,1227,1863,145,1786,604,1423,471,694,351,1398,1363,1106,607,868,1858,1421,1481,911,130,1043,692,929,533,748,254,461,521,540,453,666,577,3330,556,446,0
24-Jul,446,1208,601,1807,1117,1387,451,1720,841,1041,1386,705,490,1341,1854,1467,1311,698,421,1046,400,824,932,284,867,467,553,545,661,279,570,3317,473,536,0
25-Jul,382,1999,610,574,1087,1276,521,1861,602,785,429,671,843,1284,1821,1537,710,696,447,1062,469,844,237,629,840,474,616,709,231,484,517,3320,515,676,0
26-Jul,1083,1910,762,565,486,814,486,1839,1097,804,431,974,825,1322,1866,1233,661,1335,737,1053,528,855,848,538,924,410,740,604,412,543,600,2346,738,196,0
27-Jul,1197,2124,26,273,383,1101,521,1816,1046,389,1421,970,843,1442,528,1022,1732,1364,822,1091,423,827,504,563,1032,425,232,924,521,479,402,908,219,630,0
28-Jul,1184,2112,165,263,591,1132,526,1814,1182,393,1416,951,797,1411,503,1511,1832,1334,1147,467,141,1119,530,535,857,662,524,760,467,515,831,856,619,470,0
29-Jul,1122,2148,175,868,632,1159,471,983,380,1013,1412,948,730,821,611,1252,1911,1299,1374,88,398,1113,502,503,672,291,522,769,497,482,300,1158,555,564,0
30-Jul,1139,1833,665,847,658,1518,485,977,1160,369,1433,942,411,813,628,1237,1881,1334,112,149,307,1055,607,700,207,528,524,822,466,810,637,1202,583,431,0
31-Jul,245,1177,590,1125,627,1487,478,1862,1175,444,1419,928,198,1700,640,1320,1897,861,1874,1491,516,917,760,335,803,628,526,529,672,232,542,1400,552,377,0
1-Aug,375,2141,649,1084,629,773,452,1819,1165,769,421,923,544,1663,662,1366,449,882,1932,516,399,960,237,781,811,737,571,707,241,876,530,1423,545,736,0
2-Aug,1744,2213,599,1087,402,829,451,1593,1163,1052,425,1817,552,1277,683,727,185,1099,1402,933,1081,570,674,712,745,769,788,256,458,482,577,1294,735,151,0
3-Aug,1995,2204,609,278,410,1144,471,1568,1154,726,971,1583,573,1251,669,663,1117,1001,1277,1328,837,863,631,716,803,935,236,485,440,541,529,1188,294,919,0
4-Aug,1984,2098,248,258,645,1126,461,1649,358,746,912,1599,567,1278,131,1236,1076,1093,1501,411,853,1032,516,612,870,769,531,546,451,565,674,950,457,896,0
5-Aug,1835,2184,137,862,600,768,471,448,36,863,985,1615,570,844,729,1292,1087,1093,1442,346,1123,966,644,679,614,380,511,571,461,617,286,1039,504,487,0
6-Aug,1845,1856,965,800,621,779,392,499,1288,889,926,1634,520,864,762,1306,1114,1169,1019,1112,714,1138,492,686,258,677,565,586,489,655,727,1023,395,559,0
7-Aug,-3,1354,1004,1681,915,903,423,1158,946,1456,1015,752,514,899,734,1300,1055,679,2139,1131,619,1018,821,223,1152,645,510,531,705,231,1043,1047,537,777,0
8-Aug,16,2215,1014,1709,930,765,412,445,837,1431,451,511,922,930,748,1005,259,678,1944,1066,546,1043,253,1048,1090,602,527,793,196,1136,1139,1080,450,646,0
9-Aug,1419,2198,1054,1708,620,778,412,614,959,1450,709,1065,661,1189,765,567,305,723,876,1136,410,894,1019,706,1022,658,708,222,619,1186,809,788,644,538,0
10-Aug,1289,2268,1023,1174,372,729,422,75,853,591,1418,1048,663,1047,708,611,1514,701,1391,1229,536,934,477,547,1037,730,231,781,466,1185,692,803,195,1565,0
11-Aug,1291,2281,304,1222,763,788,481,1149,371,380,951,1101,665,937,552,774,1081,798,907,597,628,1114,559,532,1071,611,512,821,472,1132,722,426,755,1813,0
12-Aug,1432,1633,155,998,739,766,471,759,36,876,982,1100,1030,503,1308,1070,1119,797,747,546,787,1095,467,831,751,180,551,768,491,1268,275,1163,632,1716,0
13-Aug,1310,142,1013,999,735,1033,471,765,1366,994,1002,1067,564,513,1220,1074,1239,727,833,335,786,1114,604,663,248,620,542,752,458,697,907,1246,515,1361,0
14-Aug,470,140,1009,1479,763,1044,471,1622,943,815,1004,385,138,694,1308,1011,1218,642,1476,1343,812,976,831,288,1014,672,580,772,665,275,995,1217,387,1333,0
15-Aug,16,1911,1100,1496,741,597,462,1613,781,829,433,289,930,686,1295,1111,475,623,1508,1977,433,1273,243,825,982,612,508,750,211,1206,1013,1479,514,1115,0
16-Aug,1293,1950,967,986,622,650,472,1592,1197,830,409,441,926,693,1019,642,528,761,1409,2016,652,967,653,767,887,793,684,560,724,1122,852,1520,686,1088,0
17-Aug,1263,2341,991,283,619,728,481,1640,1145,625,934,555,1487,686,581,982,1089,750,1320,2000,370,871,823,751,874,658,237,1349,749,1127,730,1599,129,1113,0
18-Aug,1285,1941,273,253,776,738,451,1628,559,376,422,368,2445,693,549,1268,951,744,819,1003,135,1413,1462,822,734,650,523,1221,793,1121,724,1643,1236,874,0
19-Aug,1156,1940,148,1000,766,511,481,773,539,938,483,365,2426,522,1523,1347,1067,793,737,1022,863,1463,1513,638,645,678,526,1173,532,1170,251,1246,974,651,0
20-Aug,1215,1919,991,1034,748,550,471,739,1427,854,484,501,2443,506,1581,874,1069,778,869,973,823,1295,1207,820,366,594,699,1176,423,715,1147,1089,844,653,0
21-Aug,396,740,1730,995,710,1333,461,1653,1409,834,427,384,2434,724,1557,841,1031,393,1922,1966,420,1398,852,336,1300,497,571,522,651,375,1212,994,957,525,0
22-Aug,16,1962,1728,989,721,0,402,1652,797,904,490,524,2437,710,1523,577,1268,337,1435,1484,738,1232,242,725,1086,506,509,762,238,1035,1231,995,941,709,0
23-Aug,905,2303,1769,1000,640,0,342,1629,1422,926,495,433,2309,958,1619,515,671,400,930,1456,668,904,1079,570,1073,548,734,232,896,929,1231,1097,674,257,0
24-Aug,937,2323,1786,639,600,1191,345,1625,458,370,671,416,2432,987,567,303,1506,720,854,1119,639,867,1032,677,851,635,236,1206,511,1151,1236,850,327,1006,0
25-Aug,961,2241,1463,633,736,741,352,1646,1385,446,740,1482,2366,975,556,859,897,955,1298,1467,139,1299,937,561,877,633,690,1198,587,1143,688,239,1167,964,0
26-Aug,1017,2105,987,1315,728,729,332,1171,1433,938,738,1445,2343,825,1353,885,875,918,486,1206,474,1376,1016,902,650,684,491,1213,509,918,251,864,1153,1052,0
27-Aug,949,798,1758,1240,768,750,352,1202,1377,927,682,1426,1425,846,1361,1441,1030,902,129,1468,492,1241,1122,722,279,699,524,1161,573,636,1253,899,1118,931,0
28-Aug,66,125,1792,1227,704,629,332,1676,1431,902,756,711,1352,929,1364,1653,966,752,962,1668,562,1297,1096,340,1063,685,837,1157,698,229,1311,759,1267,1031,0
29-Aug,75,2026,1944,1238,650,616,283,1417,846,916,442,616,1364,900,1352,1527,817,387,909,1551,523,1236,244,744,1096,652,848,1062,216,481,1323,741,1151,990,0
30-Aug,969,1351,1867,1231,421,597,205,1614,1072,893,437,628,1387,935,1343,1128,686,859,834,1900,533,858,1388,514,870,739,988,391,1085,481,1323,720,802,809,0
31-Aug,984,1449,1903,1234,473,623,214,1598,1024,462,760,689,1292,962,614,276,745,842,891,2075,538,491,1762,700,883,777,232,1172,1230,465,1259,842,321,840,0
1-Sep,115,1145,972,1237,473,613,214,1657,1091,404,671,658,1230,973,577,398,1015,872,683,459,148,833,1446,713,1001,634,576,1158,1142,589,989,609,575,910,0
2-Sep,981,989,483,205,411,629,210,1188,1092,410,752,591,1178,777,557,1091,1012,920,385,130,517,1230,612,643,666,152,587,1147,962,493,210,974,225,877,0
3-Sep,875,253,440,601,431,628,0,582,742,386,711,593,631,814,1158,749,573,907,123,463,509,938,470,794,313,385,897,1118,1112,778,513,990,502,855,0
4-Sep,645,165,1096,595,392,746,0,582,1025,880,690,363,637,757,1154,739,917,720,686,597,468,791,947,534,783,183,787,1115,687,294,752,1536,513,853,0
5-Sep,469,148,937,626,390,590,0,1106,1368,459,424,190,638,768,109,754,695,701,771,928,527,1134,838,552,384,164,726,1107,209,386,755,1531,758,939,0
6-Sep,720,1717,1118,812,326,629,276,1106,1173,470,442,420,854,794,1003,393,691,646,459,1014,477,601,686,256,984,272,681,971,424,245,703,1493,584,896,0
7-Sep,1196,1752,1085,342,322,649,145,1030,1182,392,438,432,828,798,953,404,642,967,456,2014,472,440,254,654,273,273,441,675,249,300,703,1178,385,696,0
8-Sep,1196,1680,293,535,382,802,206,1052,1211,281,712,444,828,772,868,973,647,1060,143,1006,214,1044,230,434,289,431,934,219,200,250,746,246,833,245,0
9-Sep,1157,1672,270,907,382,246,156,708,704,284,693,425,1383,760,1371,889,690,1004,147,708,304,925,2087,325,807,221,870,213,202,251,80,186,791,361,0
10-Sep,963,754,995,858,635,462,186,618,1197,349,717,437,746,743,1410,906,710,428,489,2014,193,928,1877,598,837,214,840,239,207,495,155,336,865,361,0
11-Sep,600,774,1853,842,105,274,145,1041,969,272,679,461,758,878,1191,893,701,425,1680,1505,156,656,1442,201,263,228,836,240,469,245,182,310,915,450,0
12-Sep,56,2408,1496,888,108,284,305,1028,618,298,414,149,1219,958,1144,970,688,416,867,846,159,612,1462,532,214,184,831,525,159,360,168,246,949,532,0
13-Sep,617,2213,1498,392,86,283,288,732,430,830,470,139,1233,873,1230,402,425,707,782,967,149,667,2347,638,822,178,596,239,283,665,155,999,500,250,0
14-Sep,1322,2261,1449,95,98,449,372,710,0,1122,730,133,1243,737,281,391,1538,716,690,762,537,839,3279,605,1824,175,239,239,137,296,346,1222,370,231,0
15-Sep,1757,2292,1242,76,98,576,343,703,0,1141,1364,178,1210,686,362,917,1740,554,588,118,229,1050,3259,612,770,463,741,425,255,300,630,283,796,241,0
16-Sep,1641,2339,1031,267,86,451,285,382,0,1139,1394,154,1204,146,1030,876,1644,744,130,128,151,1013,3196,649,735,160,919,356,242,407,324,231,779,255,0
17-Sep,1699,1545,1199,901,95,575,292,380,520,1160,1385,126,401,153,1062,868,1385,342,133,717,151,996,1189,497,906,187,1015,411,136,418,241,335,585,254,0
18-Sep,180,766,1012,1271,95,559,274,964,384,815,1394,413,390,932,1088,296,1403,631,136,1310,721,1019,2169,426,815,149,1047,421,530,244,326,344,241,241,0
19-Sep,56,2160,971,1272,85,511,85,939,791,247,450,165,975,679,1070,143,1018,654,133,689,155,1771,3122,639,219,148,1045,519,207,420,412,1135,240,477,0
20-Sep,581,2095,1012,0,442,501,135,951,1512,277,455,109,1033,688,1024,147,1008,730,494,813,835,230,3125,607,305,120,585,247,198,423,396,1619,585,252,0
21-Sep,674,2197,986,0,442,444,95,954,1511,271,737,139,978,640,146,148,1274,693,335,2038,557,234,3123,819,197,228,235,419,258,405,392,1233,244,252,0
22-Sep,682,2198,264,0,482,503,105,26,46,278,1419,118,986,671,163,148,1287,684,113,1252,162,1341,3135,782,208,356,1125,424,128,477,590,280,411,254,0
23-Sep,608,1010,151,708,453,484,105,382,36,266,700,396,959,355,1167,989,150,686,155,742,147,638,3201,781,562,183,1272,434,242,474,238,285,647,226,0
24-Sep,591,842,127,274,483,511,105,271,26,268,745,136,490,383,1222,915,156,659,118,1897,212,153,3117,452,216,648,1253,433,233,410,481,198,211,196,0
25-Sep,232,487,154,267,441,581,86,1430,36,266,709,381,522,558,1107,992,144,338,128,1529,349,125,1584,256,261,631,686,412,501,272,696,215,243,307,0
26-Sep,16,1065,172,807,467,520,106,959,36,262,461,146,976,554,1218,761,148,322,710,231,128,125,2574,1746,227,399,1216,544,198,306,619,1214,243,531,0
27-Sep,668,1057,201,0,441,452,95,968,26,234,417,395,951,539,1213,407,954,666,99,205,142,125,1754,1178,218,596,587,197,206,254,648,1511,591,251,0
28-Sep,616,1031,165,0,431,531,99,928,544,243,711,383,941,530,367,409,1060,681,154,139,534,641,1830,766,212,327,274,1173,161,297,613,1243,243,231,0
29-Sep,588,1134,146,0,404,451,128,1554,36,234,711,402,934,525,521,995,140,684,150,134,153,2048,1885,273,220,551,1142,1171,260,298,500,280,245,213,0
30-Sep,621,1118,161,765,423,413,99,1470,36,1439,719,397,968,399,1218,1006,138,44,121,135,144,1862,1865,275,567,168,769,1065,214,282,94,223,243,322,0
1-Oct,356,636,560,1212,449,441,109,926,36,900,674,361,441,286,1270,1009,164,373,122,139,1458,201,1115,709,226,165,743,858,226,526,179,264,244,1341,0
2-Oct,175,247,464,283,451,451,109,1576,46,88,678,145,441,201,1573,817,139,384,974,1018,894,274,995,396,221,226,742,647,505,278,189,191,221,1518,0
3-Oct,56,1010,332,309,471,464,161,1570,156,38,470,148,503,392,1233,461,151,348,645,1576,1518,238,977,853,223,184,634,516,186,291,183,853,247,1092,0
4-Oct,156,1122,501,0,461,456,172,1512,36,270,472,962,227,166,1254,429,152,813,1261,336,1484,241,1202,1426,250,154,573,245,191,276,192,1068,591,420,0
5-Oct,222,1095,516,0,451,491,175,1520,26,147,940,969,294,134,129,408,138,826,608,133,408,243,992,1788,217,158,221,739,256,289,380,1716,243,1042,0
6-Oct,126,1060,188,112,451,441,155,1439,46,143,999,965,518,369,123,1621,161,705,130,141,132,359,1033,1656,275,446,703,717,226,291,509,1537,236,888,0
7-Oct,187,1094,157,1536,476,607,165,1408,36,242,821,964,851,787,1426,1202,207,1323,153,140,136,1775,1641,310,569,168,1181,600,205,292,282,1533,251,1006,0
8-Oct,397,195,540,173,446,564,36,1433,165,137,788,906,448,962,1372,1853,420,568,228,144,242,1822,404,538,222,166,1124,249,156,467,450,1543,226,890,0
9-Oct,86,109,549,275,460,461,106,1426,822,144,813,144,276,1858,1393,658,153,318,1284,149,154,1892,436,290,224,161,1003,175,559,236,728,1559,229,889,0
10-Oct,26,1784,556,280,438,412,106,1455,105,135,459,140,494,1858,1334,651,149,350,967,151,808,1342,248,692,237,166,904,598,168,354,768,1548,223,711,0
11-Oct,175,2770,544,283,434,459,89,933,99,127,466,795,516,1688,1415,277,151,631,109,153,937,1150,604,969,228,191,871,218,202,352,709,1574,639,396,0
12-Oct,146,2780,503,252,444,464,105,917,97,129,789,780,537,1750,140,274,175,1345,123,157,327,188,245,809,261,169,869,208,266,354,938,1615,293,936,0
13-Oct,173,2730,157,156,412,476,95,972,106,150,771,755,529,1634,125,663,146,971,125,161,148,1890,251,1080,499,430,868,213,182,374,611,1625,192,1008,0
14-Oct,123,2760,146,293,396,375,95,947,107,134,807,762,513,619,877,670,143,599,169,158,154,1704,1922,219,488,176,845,277,239,357,259,1644,237,1024,0
15-Oct,362,282,142,279,402,472,96,793,1727,216,756,450,454,642,1386,1009,138,566,158,164,106,1836,2314,409,227,273,847,234,203,461,971,1648,219,939,0
16-Oct,136,245,177,1479,383,451,85,1158,2014,223,1080,140,473,1491,1399,1019,151,339,1369,150,187,1658,1818,336,228,268,871,234,503,285,995,1661,1014,1015,0
17-Oct,26,1913,167,312,377,428,155,1146,2057,256,124,149,1045,1453,1351,996,144,340,1111,153,724,1697,313,219,284,276,773,275,220,395,999,1647,821,875,0
18-Oct,301,1916,165,625,390,487,164,1171,2032,212,141,591,1069,1462,1346,327,146,468,116,144,180,240,1688,235,352,370,703,230,162,336,1002,1663,1799,463,0
19-Oct,256,2670,287,228,383,449,125,1229,1999,208,424,605,1041,1462,144,334,496,485,744,145,147,248,2186,659,295,434,541,233,210,360,922,1640,1785,843,0
20-Oct,247,2800,303,155,429,464,166,1114,797,208,853,631,1032,1456,229,1161,479,468,146,140,150,1342,1698,404,277,575,595,226,223,385,598,1533,1770,835,0
21-Oct,607,2820,292,1164,410,466,165,1160,87,569,808,591,1023,876,831,1055,479,407,145,143,469,1784,1744,290,609,291,540,216,234,214,246,1552,1694,841,0
22-Oct,1221,2867,168,194,388,469,165,1217,1632,639,854,605,462,442,751,1028,966,499,150,135,400,1701,327,607,325,498,652,243,190,472,551,1673,1530,821,0
23-Oct,218,2014,185,214,462,522,165,1189,1199,658,1163,129,444,1472,846,1563,625,357,222,702,708,1673,460,246,429,296,588,819,450,236,759,1664,1451,831,0
24-Oct,56,3023,147,236,407,489,363,1174,1854,626,283,144,1060,1463,845,1282,146,397,149,506,851,242,248,439,454,333,551,1497,192,339,843,1673,1567,907,0
25-Oct,126,2868,189,157,326,543,307,1103,1400,620,260,607,1049,1464,867,333,157,407,125,626,583,246,1820,597,310,353,526,1492,263,353,848,1680,1468,313,0
26-Oct,177,2693,165,149,200,564,165,1148,1414,385,874,631,1067,1470,130,317,557,417,156,702,150,262,1635,175,842,351,229,636,184,412,1083,1672,1359,236,0
27-Oct,140,2059,175,165,312,551,165,1163,403,376,896,626,1051,1453,131,1013,559,430,190,562,159,1925,1507,307,753,555,491,236,243,410,511,1682,584,480,0
28-Oct,157,2031,149,204,315,572,105,1004,38,608,837,1087,1026,624,559,1008,568,388,144,334,672,1947,1588,344,726,327,414,221,209,416,322,1649,105,496,0
29-Oct,115,882,155,250,327,669,167,931,1262,624,822,605,444,632,702,1087,538,396,145,365,864,1320,271,462,580,357,473,581,189,470,587,1668,149,619,0
30-Oct,56,2023,162,105,332,550,167,1213,786,629,852,146,445,870,604,972,523,164,714,580,99,1920,446,234,429,867,493,1522,488,299,771,1649,139,496,0
31-Oct,58,2648,263,106,207,478,165,654,771,617,443,148,763,889,674,1039,143,155,657,152,513,1921,252,234,204,856,498,1526,221,413,801,935,140,481,0
1-Nov,1239,2745,293,85,332,464,155,650,899,615,429,583,745,878,747,165,149,194,114,1499,185,255,211,332,162,955,245,1594,166,386,755,263,144,377,0
2-Nov,1870,2870,193,115,335,449,165,739,997,211,704,552,752,830,124,168,248,400,124,135,253,236,311,229,147,843,255,564,270,412,758,253,216,735,0
3-Nov,1437,2690,155,115,345,455,155,0,283,216,706,569,724,860,150,1100,147,185,142,167,261,827,286,236,163,810,488,246,197,422,499,254,133,790,0
4-Nov,1315,2710,165,185,335,451,175,0,270,754,730,554,777,619,800,2112,86,189,141,184,1290,1191,573,201,250,961,500,241,198,391,250,249,150,848,0
5-Nov,1501,2716,157,229,313,462,165,0,1618,1149,713,590,469,573,746,843,140,195,136,1327,1799,324,1259,249,249,793,400,558,266,240,1234,240,202,759,0
6-Nov,719,1985,1281,186,343,491,165,589,1271,1187,762,150,468,875,754,951,132,148,622,785,228,240,190,284,274,956,369,1551,161,246,1395,249,179,830,0
7-Nov,16,2005,1324,193,331,722,145,618,2032,132,805,140,911,891,736,1480,137,155,135,648,504,541,300,268,341,857,309,1548,229,351,1385,218,122,256,0
8-Nov,1441,2028,1693,165,343,718,36,605,1916,548,812,459,934,887,775,166,143,216,908,773,253,1496,1736,1087,447,890,222,1544,218,436,1386,261,196,254,0
9-Nov,1469,1249,1362,105,323,707,46,659,1996,743,755,385,922,855,135,162,257,277,126,135,255,1388,931,988,348,961,237,533,209,524,1225,238,190,810,0
10-Nov,1424,2154,165,105,800,704,36,676,116,148,824,371,923,894,146,406,294,331,128,676,255,1347,489,228,243,893,395,278,247,777,918,239,194,1116,0
11-Nov,1389,2142,165,1146,797,707,66,36,150,751,794,403,908,623,321,416,274,348,117,155,288,1746,357,257,197,910,402,251,170,837,453,250,179,1240,0
12-Nov,1450,2145,541,1134,798,738,66,36,927,748,787,392,465,619,313,533,304,341,122,633,260,254,259,238,277,1048,225,903,214,212,1131,229,155,1186,0
13-Nov,1508,204,599,1126,1472,574,46,638,965,150,874,132,441,930,972,547,269,153,124,565,1260,807,257,219,666,1043,232,2711,194,233,1192,230,165,1178,0
14-Nov,671,1991,539,1096,1479,571,92,1419,935,163,449,130,1191,943,972,640,145,146,119,1617,740,1742,251,243,626,1047,245,2718,236,759,1166,249,178,1186,0
15-Nov,1438,2106,304,0,847,585,106,1471,472,147,452,368,1143,919,1155,155,146,332,108,124,888,244,739,233,1027,1046,249,2711,214,846,1207,251,133,1205,0
16-Nov,1457,2030,570,0,738,709,108,1467,960,324,823,314,972,998,359,180,219,743,115,146,343,251,464,251,491,665,227,1885,196,840,1222,226,163,1270,0
17-Nov,1614,2549,259,0,1070,679,102,1877,130,330,860,525,576,933,449,537,216,908,238,163,286,259,454,249,978,788,378,1496,199,878,906,250,138,1214,0
18-Nov,1488,2248,325,934,1055,407,105,1224,940,303,859,529,575,630,951,565,214,493,141,161,660,250,474,234,769,683,346,1411,220,1009,421,247,76,915,0
19-Nov,375,244,373,974,1037,273,46,689,952,321,823,335,594,466,992,533,228,206,141,158,849,303,514,228,754,585,363,1505,196,230,1060,235,60,257,0
