,const,storage_pre,release_pre,inflow,storage_roll7,release_roll7,inflow_roll7,storage_x_inflow
ROR,0.0011227873172102443,0.13317978517469875,0.22358200692198005,0.8198166103649189,-0.079976594186431,-0.03767470214684465,0.12222192795090336,-0.13789355196657516
LRT,-0.00150351731017208,0.2090497431429914,0.5896661376855707,-0.022087625012684242,-0.18595744058154828,0.27634950945195014,0.0636425877754343,0.01476710071140029
HRT,-9.1487246586636e-05,0.5777786256304864,0.7805687547260103,-0.031476667946274794,-0.5616368356671444,0.17979352426444528,0.008350940740337265,0.01593505736681511
