,const,storage_pre,release_pre,inflow,storage_roll7,release_roll7,inflow_roll7,storage_x_inflow
ROR,0.0011227873172115974,0.13317978517469165,0.22358200692200692,0.81981661036491,-0.07997659418643188,-0.03767470214681623,0.12222192795086073,-0.13789355196656272
LRT,-0.001503517310182367,0.20904974314300073,0.5896661376855712,-0.022087625012676027,-0.18595744058155583,0.276349509451951,0.06364258777542853,0.014767100711394695
HRT,-9.14872465789928e-05,0.5777786256299464,0.7805687547260236,-0.03147666794629789,-0.5616368356666328,0.17979352426441508,0.00835094074036924,0.015935057366830208
