DATE,AF,CHSTOR,IN,QD
1990-04-22,103068.016,410.883,265.244,58.09
1990-04-23,103425.367,357.352,237.902,57.737
1990-04-24,103808.141,382.773,252.273,59.291
1990-04-25,104247.133,438.992,279.955,58.63
1990-04-26,104521.5,274.367,196.301,57.974
1990-04-27,104822.633,301.133,210.316,58.495
1990-04-28,105070.234,247.602,183.417,58.585
1990-04-29,105318.578,248.344,183.702,58.495
1990-04-30,105456.383,137.805,128.488,59.011
1990-05-01,105622.57,166.188,143.702,59.916
1990-05-02,105622.57,0.0,81.947,81.947
1990-05-03,105622.57,0.0,179.643,179.643
1990-05-04,105540.156,-82.414,138.566,180.117
1990-05-05,105456.383,-83.773,137.881,180.117
1990-05-06,105373.969,-82.414,138.566,180.117
1990-05-07,105400.992,27.023,191.851,178.226
1990-05-08,105567.172,166.18,231.934,148.151
1990-05-09,105650.938,83.766,154.495,112.263
1990-05-10,105815.773,164.836,205.23,122.125
1990-05-11,105844.141,28.367,220.785,206.483
1990-05-12,105622.57,-221.57,243.211,354.919
1990-05-13,105345.602,-276.969,216.509,356.148
1990-05-14,104960.484,-385.117,160.226,354.389
1990-05-15,104330.109,-630.375,109.736,427.55
1990-05-16,103315.617,-1014.492,101.666,613.139
1990-05-17,102111.984,-1203.633,87.83,694.662
1990-05-18,100862.734,-1249.25,124.83,754.66
1990-05-19,99398.32,-1464.414,104.759,843.068
1990-05-20,97945.617,-1452.703,105.851,838.256
1990-05-21,96523.344,-1422.273,121.37,838.433
1990-05-22,94898.672,-1624.672,98.244,917.35
1990-05-23,93178.25,-1720.422,236.64,1104.02
1990-05-24,91622.5,-1555.75,328.741,1113.099
1990-05-25,90317.0,-1305.5,348.581,1006.771
1990-05-26,88856.508,-1460.492,322.312,1058.644
1990-05-27,87175.242,-1681.266,254.423,1102.062
1990-05-28,85453.641,-1721.602,313.135,1181.11
1990-05-29,84046.688,-1406.953,470.606,1179.945
1990-05-30,83361.383,-685.305,479.553,825.06
1990-05-31,83083.203,-278.18,523.14,663.389
1990-06-01,82829.758,-253.445,552.978,680.757
1990-06-02,81918.586,-911.172,434.843,894.226
1990-06-03,80384.102,-1534.484,345.782,1119.418
1990-06-04,78783.25,-1600.852,408.61,1215.707
1990-06-05,78436.273,-346.977,601.561,776.495
1990-06-06,79358.289,922.016,757.486,292.637
1990-06-07,80434.227,1075.938,766.618,224.166
1990-06-08,81841.93,1407.703,884.704,174.987
1990-06-09,83335.414,1493.484,863.029,110.064
1990-06-10,85121.273,1785.859,950.745,50.374
1990-06-11,88055.0,2933.727,1526.048,46.96
1990-06-12,90629.352,2574.352,1345.306,47.403
1990-06-13,92465.938,1836.586,973.79,47.844
1990-06-14,93389.492,923.555,648.607,182.982
1990-06-15,93468.062,78.57,749.052,709.439
1990-06-16,92941.242,-526.82,588.204,853.809
1990-06-17,92201.875,-739.367,479.764,852.528
1990-06-18,91622.5,-579.375,515.172,807.273
1990-06-19,91465.688,-156.812,512.436,591.496
1990-06-20,91779.383,313.695,669.471,511.316
1990-06-21,92888.43,1109.047,1071.402,512.257
1990-06-22,94792.008,1903.578,1026.138,66.417
1990-06-23,96870.656,2078.648,1071.621,23.635
1990-06-24,99182.914,2312.258,1198.312,32.548
1990-06-25,101785.75,2602.836,1346.498,34.235
1990-06-26,104850.742,3064.992,1579.745,34.477
1990-06-27,107420.852,2570.109,1330.304,34.54
1990-06-28,110014.664,2593.812,1342.927,35.213
1990-06-29,112546.18,2531.516,1312.291,35.984
1990-06-30,114416.406,1870.227,981.502,38.595
1990-07-01,116523.539,2107.133,1102.031,39.684
1990-07-02,118735.031,2211.492,1154.692,39.73
1990-07-03,121194.453,2459.422,1280.372,40.413
1990-07-04,123350.836,2156.383,1131.337,44.16
1990-07-05,125459.211,2108.375,1109.312,46.338
1990-07-06,127219.414,1760.203,935.28,47.844
1990-07-07,128988.203,1768.789,939.609,47.844
1990-07-08,130763.328,1775.125,942.804,47.844
