#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1648314307 730404660 533850526 558879772 67947608 84017769 63685609 302681 2183338 92725.08 93571.76 2044.27 3174.83
1648314317 730404660 533850526 558879772 67947608 84017805 63685660 302681 2183338 92724.30 93571.14 2045.05 3175.98
1648314327 730404660 533850526 558879772 67947608 84017840 63685711 302681 2183338 92724.54 93571.47 2044.84 3176.14
1648314337 730404660 533850526 558879772 67947608 84017874 63685763 302681 2183338 92724.12 93570.34 2045.22 3176.71
1648314347 730404660 533850526 558879772 67947608 84017908 63685815 302681 2183338 92724.48 93568.38 2044.43 3177.14
1648314358 730404660 533850526 558879772 67947608 84017942 63685865 302681 2183338 92723.97 93569.00 2044.88 3178.54
1648314368 730404660 533850526 558879772 67947608 84018311 63686301 302681 2183338 92345.77 93140.63 2423.59 3605.47
1648314378 730404660 533850526 558879772 67947608 84018470 63686518 302681 2183338 92286.34 93054.53 2483.00 3692.55
1648314388 730405435 533851000 558879772 67947608 84018654 63686754 302681 2183338 92183.36 92922.94 2585.54 3824.03
1648314398 730405435 533851000 558879772 67947608 84018754 63686841 302681 2183338 92156.33 92888.37 2612.09 3858.60
1648314408 730405435 533851000 558879772 67947608 84018911 63687042 302681 2183338 91995.64 92645.44 2772.88 4100.89
1648314419 730408042 533852220 558879772 67947608 84020064 63688143 302681 2183338 90417.76 90870.35 4383.71 5889.74
1648314429 730411137 533854272 558879772 67947608 84020963 63689320 302681 2183338 89470.49 89491.92 5297.91 7254.55
1648314439 730414333 533856060 558879772 67947608 84021190 63689503 302681 2183338 89298.77 89289.67 5515.63 7503.40
1648314449 730418433 533858798 558879772 67947608 84023089 63691169 302681 2183338 88758.73 88956.98 6010.18 7756.76
1648314460 730421034 533860820 558879772 67947608 84023384 63691360 302681 2183338 88802.20 89051.34 5965.74 7695.13
1648314470 730422391 533861774 558879772 67947608 84023528 63691428 302681 2183338 88765.76 89015.35 6003.09 7732.15
1648314480 730423041 533862206 558879772 67947608 84023617 63691516 302681 2183338 88646.98 89016.06 6124.79 7730.40
1648314494 730423237 533862338 558879772 67947608 84025619 63693062 302681 2183338 86810.30 87542.77 7959.20 9204.20
1648314509 730423604 533862580 558879772 67947608 84026166 63694004 302681 2183338 86327.66 86706.82 8440.20 10040.30
1648314527 730423604 533862580 558879772 67947608 84027028 63694502 302681 2183338 85581.12 86328.70 9188.32 10417.90
1648314543 730424749 533862712 558879772 67947608 84027473 63694921 302681 2183338 85241.05 86022.10 9527.80 10723.44
1648314560 730424952 533862770 558879772 67947608 84027712 63695360 302681 2183338 85023.60 85731.02 9746.03 11016.53
