#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1648314310 3182175294 2565770850 981964933 73365432 302960833 231783906 447291 3835950 91431.53 94261.84 3352.50 2470.11
1648314320 3182175294 2565770850 981964933 73365432 302960879 231783944 447291 3835950 91430.28 94263.29 3354.32 2468.03
1648314330 3182175294 2565770850 981964933 73365432 302960930 231783977 447291 3835950 91429.77 94262.84 3354.85 2468.06
1648314340 3182175294 2565770850 981964933 73365432 302960981 231784012 447291 3835950 91429.69 94263.45 3354.80 2468.00
1648314350 3182175294 2565770850 981964933 73365432 302961015 231784063 447291 3835950 91430.89 94262.27 3353.60 2468.71
1648314361 3182175294 2565770850 981964933 73365432 302961050 231784114 447291 3835950 91430.56 94262.69 3354.43 2468.26
1648314371 3182175294 2565770850 981964933 73365432 302961417 231784560 447291 3835950 91060.67 93808.41 3723.88 2922.93
1648314381 3182176077 2565771316 981964933 73365432 302961626 231784809 447291 3835950 90965.87 93697.25 3818.62 3033.21
1648314391 3182176077 2565771316 981964933 73365432 302961830 231784966 447291 3835950 90855.50 93623.75 3928.99 3107.22
1648314401 3182176077 2565771316 981964933 73365432 302961938 231785060 447291 3835950 90799.64 93612.42 3984.48 3118.91
1648314411 3182177228 2565771680 981964933 73365432 302962483 231785537 447291 3835950 90314.59 93180.08 4470.00 3550.75
1648314422 3182180238 2565773822 981964933 73365432 302964041 231787161 447291 3835950 88291.39 90673.50 6493.19 6058.53
1648314432 3182183906 2565775676 981964933 73365432 302964313 231787513 447291 3835950 88092.36 90163.27 6692.14 6567.56
1648314442 3182185860 2565776826 981964933 73365432 302966230 231788782 447291 3835950 87824.78 89838.39 6946.06 6847.46
1648314452 3182190089 2565779812 981964933 73365432 302966807 231789450 447291 3835950 87401.55 89659.93 7347.33 7070.00
1648314462 3182192680 2565781730 981964933 73365432 302967094 231789677 447291 3835950 87410.86 89774.54 7373.64 6956.88
1648314473 3182193970 2565782602 981964933 73365432 302967166 231789789 447291 3835950 87416.94 89765.18 7368.70 6965.65
1648314483 3182194740 2565783138 981964933 73365432 302967292 231790785 447291 3835950 87402.64 88795.95 7381.89 7937.83
1648314495 3182196313 2565783494 981964933 73365432 302968675 231791863 447291 3835950 86091.78 87856.08 8692.71 8875.90
1648314508 3182196525 2565783574 981964933 73365432 302969142 231792559 447291 3835950 85661.22 87275.84 9123.92 9454.98
1648314525 3182196813 2565783658 981964933 73365432 302970668 231793075 447291 3835950 84340.14 86797.29 10445.46 9934.04
1648314541 3182197036 2565783700 981964933 73365432 302971164 231793377 447291 3835950 83992.89 86520.61 10792.23 10210.21
1648314558 3182197036 2565783700 981964933 73365432 302971594 231793601 447291 3835950 83693.16 86317.03 11091.38 10414.04
1648314572 3182200531 2565784076 981964933 73365432 302972265 231793986 447291 3835950 83245.59 86030.38 11539.50 10702.23
1648314584 3182203350 2565784380 981964933 73365432 302972740 231794477 447291 3835950 82941.44 85670.01 11834.99 11067.42
1648314598 3182205664 2565784824 981964933 73365432 302972872 231794661 447291 3835950 82904.34 85609.20 11880.84 11121.62
1648314613 3182206090 2565784938 981964933 73365432 302972956 231794750 447291 3835950 82892.94 85605.31 11891.55 11126.57
1648314627 3182207345 2565785176 981964933 73365432 302973073 231794927 447291 3835950 82861.34 85529.12 11922.77 11201.71
1648314642 3182208576 2565785382 981964933 73365432 302973179 231795017 447291 3835950 82835.38 85539.91 11949.77 11190.92
1648314657 3182208750 2565785424 981964933 73365432 302973299 231795131 447291 3835950 82788.17 85500.64 11996.32 11231.29
1648314672 3182210041 2565785586 981964933 73365432 302973370 231795311 447291 3835950 82779.52 85436.91 12012.42 11294.03
1648314687 3182210838 2565785716 981964933 73365432 302973622 231795535 447291 3835950 82661.20 85424.29 12123.29 11306.14
1648314699 3182211054 2565785748 981964933 73365432 302973744 231795770 447291 3835950 82654.75 85336.98 12129.75 11394.94
1648314709 3182211724 2565785840 981964933 73365432 302973809 231795931 447291 3835950 82620.80 85369.26 12163.70 11361.57
1648314720 3182212787 2565786000 981964933 73365432 302973866 231796100 447291 3835950 82625.57 85381.67 12158.93 11349.66
1648314730 3182213416 2565786082 981964933 73365432 302973899 231796235 447291 3835950 82610.72 85380.80 12173.77 11349.99
1648314740 3182214201 2565786214 981964933 73365432 302973930 231796404 447291 3835950 82605.73 85373.77 12178.77 11356.57
1648314751 3182214821 2565786302 981964933 73365432 302973940 231796531 447291 3835950 82630.27 85393.83 12154.23 11337.57
1648314761 3182214955 2565786328 981964933 73365432 302973962 231796654 447291 3835950 82628.30 85415.08 12156.19 11315.25
1648314771 3182215132 2565786362 981964933 73365432 302974014 231796821 447291 3835950 82656.45 85427.88 12128.05 11304.08
1648314782 3182215468 2565786470 981964933 73365432 302974037 231796945 447291 3835950 82647.75 85469.07 12136.74 11262.26
1648314792 3182215680 2565786504 981964933 73365432 302974054 231797086 447291 3835950 82696.03 85510.41 12088.46 11221.55
1648314802 3182216021 2565786586 981964933 73365432 302974060 231797220 447291 3835950 82723.57 85532.21 12060.93 11197.63
1648314812 3182216021 2565786586 981964933 73365432 302974074 231797350 447291 3835950 82759.13 85557.14 12025.36 11174.30
1648314823 3182216139 2565786606 981964933 73365432 302974224 231797595 447291 3835950 82944.86 87154.35 11840.75 9576.48
1648314833 3182216350 2565786670 981964933 73365432 302974362 231797673 447291 3835950 84605.27 87179.43 10178.73 9551.55
1648314843 3182216944 2565786994 981964933 73365432 302974427 231797773 447291 3835950 86006.07 87193.40 8778.42 9537.55
1648314853 3182217164 2565787146 981964933 73365432 302974554 231797885 447291 3835950 86181.49 87219.27 8603.00 9510.56
1648314863 3182218117 2565787626 981964933 73365432 302974592 231798118 447291 3835950 86779.59 89730.40 8005.51 7002.04
1648314874 3182218518 2565787728 981964933 73365432 302974608 231798211 447291 3835950 86775.25 89736.75 8009.24 6995.84
1648314884 3182218787 2565787880 981964933 73365432 302974774 231798301 447291 3835950 88419.95 89733.70 6364.05 6997.24
1648314894 3182218890 2565787920 981964933 73365432 302974817 231798363 447291 3835950 88418.52 89740.36 6367.15 6989.98
1648314904 3182219119 2565788060 981964933 73365432 302974903 231798380 447291 3835950 88420.04 89740.25 6364.52 6990.68
1648314914 3182219632 2565788290 981964933 73365432 302974989 231798530 447291 3835950 88418.40 91544.92 6366.65 5185.90
1648314924 3182219701 2565788314 981964933 73365432 302975073 231798546 447291 3835950 88420.00 91544.48 6366.09 5186.95
1648314935 3182219944 2565788462 981964933 73365432 302975158 231798564 447291 3835950 88421.29 91545.79 6363.77 5184.54
1648314945 3182220110 2565788564 981964933 73365432 302975241 231798582 447291 3835950 88421.30 91545.83 6363.27 5185.00
1648314955 3182220168 2565788586 981964933 73365432 302975327 231798597 447291 3835950 88424.39 91541.16 6360.15 5189.66
1648314965 3182220200 2565788618 981964933 73365432 302975411 231798615 447291 3835950 88425.19 91540.64 6359.84 5189.70
1648314975 3182220253 2565788656 981964933 73365432 302975496 231798630 447291 3835950 88421.83 91541.14 6361.69 5189.68
1648314985 3182220263 2565788666 981964933 73365432 302975567 231798656 447291 3835950 91244.75 94101.43 3540.39 2629.89
1648314996 3182220263 2565788666 981964933 73365432 302975620 231798696 447291 3835950 91245.87 94100.49 3538.13 2629.44
