#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1648314347 3257703668 2679936118 1525302286 150650831 319405432 256419266 746113 5898747 91270.38 94649.12 3498.99 2098.96
1648314358 3257703668 2679936118 1525302286 150650831 319405465 256419316 746113 5898747 91269.70 94647.14 3499.71 2098.46
1648314368 3257703668 2679936118 1525302286 150650831 319405890 256419696 746113 5898747 90892.57 94226.54 3875.89 2520.42
1648314378 3257703668 2679936118 1525302286 150650831 319406125 256419875 746113 5898747 90787.81 94117.95 3980.05 2629.18
1648314388 3257704483 2679936594 1525302286 150650831 319406331 256420062 746113 5898747 90677.16 94025.23 4092.24 2721.84
1648314399 3257704483 2679936594 1525302286 150650831 319406422 256420152 746113 5898747 90640.19 93999.38 4129.16 2746.71
1648314409 3257704483 2679936594 1525302286 150650831 319406658 256420386 746113 5898747 90422.95 93802.54 4345.47 2944.45
1648314419 3257707054 2679937764 1525302286 150650831 319408264 256421551 746113 5898747 88328.05 92212.71 6447.46 4538.67
1648314429 3257710328 2679939958 1525302286 150650831 319409075 256422223 746113 5898747 87151.40 91360.57 7617.45 5385.52
1648314439 3257713348 2679941626 1525302286 150650831 319409894 256423271 746113 5898747 86764.80 91126.48 8006.65 5614.10
1648314450 3257717761 2679944540 1525302286 150650831 319410993 256424401 746113 5898747 86454.30 90834.84 8275.45 5909.42
1648314460 3257720990 2679946946 1525302286 150650831 319411332 256424529 746113 5898747 86526.15 90894.59 8242.70 5850.96
1648314471 3257722467 2679947996 1525302286 150650831 319411406 256424651 746113 5898747 86531.78 90885.95 8237.09 5860.51
1648314481 3257723457 2679948716 1525302286 150650831 319411518 256424691 746113 5898747 86505.27 90830.11 8263.58 5916.46
1648314494 3257723563 2679948784 1525302286 150650831 319412771 256426250 746113 5898747 85239.29 89404.27 9529.64 7342.20
1648314508 3257723874 2679948972 1525302286 150650831 319413228 256427183 746113 5898747 84862.05 88545.48 9906.80 8201.55
1648314526 3257723874 2679948972 1525302286 150650831 319414623 256427837 746113 5898747 83590.90 88033.59 11178.61 8713.37
1648314544 3257724548 2679949014 1525302286 150650831 319415019 256428367 746113 5898747 83295.18 87632.55 11474.27 9114.41
1648314561 3257725211 2679949140 1525302286 150650831 319415448 256428607 746113 5898747 83005.38 87422.66 11764.10 9323.80
1648314578 3257726235 2679949226 1525302286 150650831 319416063 256428899 746113 5898747 82580.46 87175.54 12189.93 9570.43
1648314590 3257729883 2679949624 1525302286 150650831 319416582 256429452 746113 5898747 82220.46 86785.43 12548.95 9961.54
1648314603 3257733478 2679950152 1525302286 150650831 319416973 256429646 746113 5898747 82018.60 86708.45 12750.25 10038.46
1648314618 3257734371 2679950368 1525302286 150650831 319417056 256429753 746113 5898747 81959.09 86698.44 12810.32 10049.13
1648314633 3257734775 2679950496 1525302286 150650831 319417213 256429870 746113 5898747 81889.59 86688.20 12878.83 10058.26
1648314648 3257736610 2679950754 1525302286 150650831 319417294 256429930 746113 5898747 81888.12 86683.38 12881.33 10064.18
1648314663 3257736768 2679950782 1525302286 150650831 319417408 256430078 746113 5898747 81860.12 86665.23 12909.38 10081.23
1648314678 3257737961 2679950930 1525302286 150650831 319417545 256430186 746113 5898747 81809.49 86625.35 12960.00 10105.48
1648314693 3257739142 2679951076 1525302286 150650831 319417726 256430403 746113 5898747 81748.61 86581.27 13019.75 10168.13
1648314708 3257739770 2679951138 1525302286 150650831 319417885 256430607 746113 5898747 81714.83 86499.56 13054.02 10246.96
1648314723 3257739770 2679951138 1525302286 150650831 319417987 256430700 746113 5898747 81719.75 86498.81 13049.10 10247.71
1648314737 3257741048 2679951304 1525302286 150650831 319418028 256430802 746113 5898747 81697.44 86518.55 13071.41 10227.50
