#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1648314323 2048379743 1385154372 281085570 36384558 93167753 71861870 208392 1098359 91112.54 94784.98 3656.43 1961.99
1648314333 2048379743 1385154372 281085570 36384558 93167802 71861904 208392 1098359 91112.58 94784.82 3656.28 1962.29
1648314343 2048379743 1385154372 281085570 36384558 93167836 71861955 208392 1098359 91113.29 94783.88 3655.59 1962.68
1648314353 2048379743 1385154372 281085570 36384558 93167872 71862004 208392 1098359 91112.53 94784.70 3655.70 1962.18
1648314363 2048379743 1385154372 281085570 36384558 93167923 71862040 208392 1098359 91113.92 94783.52 3655.43 1963.09
1648314373 2048379743 1385154372 281085570 36384558 93168485 71862477 208392 1098359 90613.82 94375.77 4155.67 2371.20
1648314384 2048380533 1385154844 281085570 36384558 93168695 71862660 208392 1098359 90501.42 94282.08 4267.55 2463.89
1648314394 2048380533 1385154844 281085570 36384558 93168856 71862778 208392 1098359 90431.62 94225.34 4337.80 2520.80
1648314404 2048380533 1385154844 281085570 36384558 93168958 71862879 208392 1098359 90388.39 94191.95 4380.95 2554.15
1648314414 2048381682 1385155214 281085570 36384558 93169531 71863355 208392 1098359 89850.05 93755.51 4919.92 2990.99
1648314424 2048384526 1385157294 281085570 36384558 93171477 71864797 208392 1098359 87006.34 91616.96 7762.02 5129.02
1648314434 2048387964 1385158964 281085570 36384558 93171621 71864972 208392 1098359 86879.94 91520.79 7889.64 5227.23
1648314445 2048391123 1385160970 281085570 36384558 93173516 71866309 208392 1098359 86288.02 91084.30 8481.93 5662.17
1648314455 2048394944 1385163690 281085570 36384558 93173802 71866478 208392 1098359 86457.23 90981.14 8312.27 5777.33
1648314465 2048397712 1385165694 281085570 36384558 93173966 71866541 208392 1098359 86448.36 91030.35 8321.15 5716.12
1648314475 2048398485 1385166234 281085570 36384558 93174072 71866609 208392 1098359 86352.91 91038.16 8415.94 5707.81
1648314486 2048399318 1385166800 281085570 36384558 93174112 71866716 208392 1098359 86272.35 90999.09 8496.57 5747.97
1648314501 2048399379 1385166840 281085570 36384558 93176045 71868235 208392 1098359 84492.01 89554.52 10277.40 7191.45
1648314519 2048399556 1385166954 281085570 36384558 93177125 71869127 208392 1098359 83539.78 88691.61 11230.21 8054.93
1648314538 2048399556 1385166954 281085570 36384558 93177601 71869628 208392 1098359 83164.77 88312.04 11603.59 8435.54
1648314557 2048399556 1385166954 281085570 36384558 93177976 71870061 208392 1098359 82872.73 87970.02 11899.04 8777.45
1648314575 2048399556 1385166954 281085570 36384558 93178289 71870385 208392 1098359 82640.40 87739.38 12129.04 9007.18
1648314591 2048402207 1385167102 281085570 36384558 93178982 71871091 208392 1098359 82131.84 87227.70 12638.97 9519.00
1648314605 2048408216 1385167966 281085570 36384558 93179506 71871550 208392 1098359 81834.88 86915.34 12933.45 9830.95
1648314620 2048409372 1385168276 281085570 36384558 93179552 71871656 208392 1098359 81826.41 86894.54 12942.44 9852.51
1648314635 2048410287 1385168488 281085570 36384558 93179656 71871820 208392 1098359 81847.11 86803.03 12921.84 9943.44
1648314650 2048411602 1385168692 281085570 36384558 93179795 71871901 208392 1098359 81792.70 86789.21 12976.16 9957.88
1648314666 2048412306 1385168824 281085570 36384558 93179855 71871983 208392 1098359 81793.03 86786.23 12976.91 9960.24
1648314681 2048412339 1385168832 281085570 36384558 93180004 71872032 208392 1098359 81753.15 86770.24 13015.70 9981.68
1648314696 2048414436 1385169170 281085570 36384558 93180248 71872120 208392 1098359 81649.23 86743.97 13120.77 10002.49
1648314711 2048414567 1385169192 281085570 36384558 93180440 71872327 208392 1098359 81631.61 86597.82 13137.78 10148.65
1648314726 2048414681 1385169206 281085570 36384558 93180639 71872442 208392 1098359 81586.66 86589.77 13182.84 10156.70
1648314741 2048414891 1385169232 281085570 36384558 93180786 71872516 208392 1098359 81581.69 86582.73 13187.70 10163.73
1648314756 2048417589 1385169652 281085570 36384558 93180869 71872605 208392 1098359 81581.44 86580.19 13187.98 10166.27
1648314772 2048417875 1385169692 281085570 36384558 93181046 71872662 208392 1098359 81572.18 86574.58 13197.12 10171.88
1648314784 2048417989 1385169710 281085570 36384558 93181171 71872815 208392 1098359 81572.49 86583.45 13196.36 10163.51
1648314794 2048418009 1385169716 281085570 36384558 93181200 71872934 208392 1098359 81582.03 86597.02 13186.70 10149.36
1648314804 2048418124 1385169740 281085570 36384558 93181293 71873127 208392 1098359 81570.52 86649.61 13198.34 10097.46
1648314814 2048420520 1385170136 281085570 36384558 93181362 71873272 208392 1098359 81527.39 86673.88 13241.47 10073.17
1648314825 2048420540 1385170144 281085570 36384558 93181372 71873400 208392 1098359 81537.30 86686.99 13231.56 10060.49
1648314835 2048420559 1385170150 281085570 36384558 93181384 71873543 208392 1098359 81618.31 86730.98 13150.55 10015.64
1648314845 2048420578 1385170156 281085570 36384558 93181405 71873673 208392 1098359 81653.90 86742.77 13114.95 10003.81
1648314855 2048420598 1385170162 281085570 36384558 93181416 71873799 208392 1098359 81666.06 86766.15 13102.80 9979.94
1648314866 2048420601 1385170162 281085570 36384558 93181422 71874051 208392 1098359 81666.09 88419.71 13102.76 8327.27
1648314876 2048420956 1385170274 281085570 36384558 93181513 71874185 208392 1098359 81840.69 88443.32 12928.16 8304.12
1648314886 2048420956 1385170274 281085570 36384558 93181574 71874416 208392 1098359 83309.49 88610.09 11459.37 8136.88
1648314896 2048421587 1385170622 281085570 36384558 93181715 71874559 208392 1098359 84580.17 90524.04 10188.69 6223.06
1648314907 2048422279 1385170992 281085570 36384558 93181721 71874793 208392 1098359 84577.85 90666.35 10191.00 6079.68
1648314917 2048422871 1385171286 281085570 36384558 93181873 71874910 208392 1098359 84740.94 92176.01 10027.42 4571.49
1648314927 2048423384 1385171504 281085570 36384558 93182041 71875001 208392 1098359 87903.89 92176.37 6864.47 4569.19
