#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1648314312 2253223359 1982881866 2383621744 93387757 305003508 204045861 446803 9311227 90962.54 94712.79 3806.36 2033.21
1648314322 2253223359 1982881866 2383621744 93387757 305003546 204045907 446803 9311227 90963.18 94712.87 3805.33 2034.12
1648314333 2253223359 1982881866 2383621744 93387757 305003597 204045940 446803 9311227 90961.39 94713.36 3808.07 2033.11
1648314343 2253223359 1982881866 2383621744 93387757 305003648 204045974 446803 9311227 90962.05 94714.23 3806.31 2032.82
1648314353 2253223359 1982881866 2383621744 93387757 305003682 204046027 446803 9311227 90961.46 94713.73 3807.89 2033.87
1648314363 2253223359 1982881866 2383621744 93387757 305003717 204046077 446803 9311227 90962.01 94712.48 3807.35 2034.11
1648314373 2253223359 1982881866 2383621744 93387757 305004226 204046545 446803 9311227 90541.60 94249.25 4227.75 2496.85
1648314384 2253224138 1982882330 2383621744 93387757 305004390 204046762 446803 9311227 90456.14 94133.73 4312.75 2612.73
1648314394 2253224138 1982882330 2383621744 93387757 305004537 204046900 446803 9311227 90400.36 94056.87 4369.03 2689.70
1648314404 2253224138 1982882330 2383621744 93387757 305004620 204047014 446803 9311227 90366.36 94009.95 4403.08 2736.62
1648314414 2253225282 1982882696 2383621744 93387757 305005128 204047570 446803 9311227 89911.35 93504.41 4857.14 3241.56
1648314424 2253228178 1982884826 2383621744 93387757 305006653 204049419 446803 9311227 87758.19 90706.16 7010.68 6040.31
1648314434 2253231617 1982886522 2383621744 93387757 305006827 204049568 446803 9311227 87659.96 90569.14 7107.93 6177.32
1648314445 2253234594 1982888340 2383621744 93387757 305008258 204051585 446803 9311227 87225.93 89986.76 7543.42 6759.71
1648314455 2253239118 1982891636 2383621744 93387757 305008958 204051940 446803 9311227 87130.00 89969.05 7604.79 6777.48
