#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1648314339 2392055488 1818891586 2272287560 94806998 389168667 241471495 510700 8876273 92250.72 93515.46 2518.13 3231.65
1648314350 2392055488 1818891586 2272287560 94806998 389168699 241471545 510700 8876273 92251.42 93515.81 2517.43 3230.76
1648314360 2392055488 1818891586 2272287560 94806998 389168732 241471598 510700 8876273 92251.52 93514.66 2517.38 3231.95
1648314370 2392055488 1818891586 2272287560 94806998 389169206 241471975 510700 8876273 91780.42 93151.12 2987.94 3595.93
1648314380 2392055488 1818891586 2272287560 94806998 389169448 241472169 510700 8876273 91682.37 93060.61 3086.58 3686.39
1648314390 2392056309 1818892072 2272287560 94806998 389169652 241472318 510700 8876273 91572.95 92976.14 3197.04 3770.91
1648314401 2392056309 1818892072 2272287560 94806998 389169756 241472406 510700 8876273 91533.18 92941.97 3235.18 3804.13
1648314411 2392056309 1818892072 2272287560 94806998 389170161 241472754 510700 8876273 91256.12 92722.04 3512.30 4024.98
1648314421 2392058907 1818893278 2272287560 94806998 389171440 241473705 510700 8876273 89302.16 91284.09 5466.69 5465.27
1648314431 2392062634 1818895746 2272287560 94806998 389172335 241474424 510700 8876273 88065.45 90341.43 6704.01 6405.59
1648314441 2392065341 1818897248 2272287560 94806998 389173023 241475002 510700 8876273 87648.84 90085.88 7022.89 6704.15
1648314451 2392070129 1818900510 2272287560 94806998 389174330 241475834 510700 8876273 87313.17 89868.23 7456.77 6892.24
1648314462 2392073066 1818902768 2272287560 94806998 389174799 241476145 510700 8876273 87566.29 89720.14 7204.17 7026.32
1648314472 2392074554 1818903856 2272287560 94806998 389174903 241476254 510700 8876273 87561.13 89750.41 7207.72 6996.18
1648314483 2392075336 1818904380 2272287560 94806998 389174961 241476373 510700 8876273 87489.60 89665.28 7279.86 7082.38
1648314494 2392076059 1818904854 2272287560 94806998 389175803 241477651 510700 8876273 86647.36 88560.82 8122.77 8187.79
1648314507 2392076234 1818904964 2272287560 94806998 389176264 241478323 510700 8876273 86275.45 87998.11 8493.40 8756.66
1648314525 2392076234 1818904964 2272287560 94806998 389177710 241479370 510700 8876273 84915.32 87094.38 9853.65 9652.12
1648314543 2392076234 1818904964 2272287560 94806998 389178169 241479727 510700 8876273 84565.95 86814.82 10202.41 9931.73
1648314561 2392076234 1818904964 2272287560 94806998 389178567 241480110 510700 8876273 84253.81 86511.07 10516.16 10235.95
1648314579 2392076234 1818904964 2272287560 94806998 389178864 241480415 510700 8876273 84032.21 86294.46 10736.74 10454.14
1648314592 2392079892 1818905226 2272287560 94806998 389179510 241481101 510700 8876273 83559.70 85815.34 11210.22 10931.13
1648314605 2392084975 1818906048 2272287560 94806998 389180141 241481427 510700 8876273 83133.87 85596.66 11635.57 11149.81
1648314620 2392086076 1818906346 2272287560 94806998 389180216 241481475 510700 8876273 83127.75 85594.16 11641.73 11152.30
1648314635 2392086865 1818906522 2272287560 94806998 389180380 241481615 510700 8876273 83142.66 85519.04 11625.87 11227.43
1648314650 2392087642 1818906658 2272287560 94806998 389180516 241481748 510700 8876273 83170.69 85464.02 11598.16 11282.57
1648314665 2392088699 1818906804 2272287560 94806998 389180572 241481826 510700 8876273 83161.52 85463.27 11607.33 11285.36
1648314680 2392088829 1818906820 2272287560 94806998 389180727 241481994 510700 8876273 83104.85 85438.57 11664.52 11307.41
1648314695 2392091130 1818907110 2272287560 94806998 389180869 241482153 510700 8876273 83106.21 85384.09 11662.66 11362.38
1648314710 2392091149 1818907114 2272287560 94806998 389181105 241482345 510700 8876273 83043.49 85342.98 11725.34 11402.73
1648314725 2392091256 1818907122 2272287560 94806998 389181181 241482494 510700 8876273 83029.60 85321.93 11739.78 11424.57
