#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1648314304 3008520879 2420014824 2188916961 186805183 562402053 483159040 876679 8550066 91277.74 94866.97 3507.25 1863.99
1648314315 3008520879 2420014824 2188916961 186805183 562402086 483159090 876679 8550066 91277.78 94865.64 3506.81 1865.33
1648314325 3008520879 2420014824 2188916961 186805183 562402123 483159141 876679 8550066 91278.76 94866.45 3505.86 1864.96
1648314335 3008520879 2420014824 2188916961 186805183 562402164 483159184 876679 8550066 91279.43 94864.87 3504.57 1866.05
1648314345 3008520879 2420014824 2188916961 186805183 562402200 483159234 876679 8550066 91279.53 94864.98 3505.56 1865.84
1648314355 3008520879 2420014824 2188916961 186805183 562402251 483159269 876679 8550066 91279.52 94866.08 3505.02 1864.87
1648314365 3008520879 2420014824 2188916961 186805183 562402307 483159333 876679 8550066 91273.82 94864.15 3511.29 1866.71
1648314375 3008520879 2420014824 2188916961 186805183 562402807 483159833 876679 8550066 90848.16 94376.07 3936.34 2354.38
1648314386 3008521650 2420015288 2188916961 186805183 562403045 483160000 876679 8550066 90721.84 94290.98 4062.66 2438.98
1648314396 3008521650 2420015288 2188916961 186805183 562403172 483160122 876679 8550066 90656.88 94249.25 4128.21 2481.08
1648314406 3008521650 2420015288 2188916961 186805183 562403307 483160224 876679 8550066 90587.73 94200.46 4197.36 2530.36
1648314416 3008522812 2420015662 2188916961 186805183 562404273 483160934 876679 8550066 89721.71 93545.44 5063.39 3186.46
1648314426 3008527285 2420018560 2188916961 186805183 562405879 483162174 876679 8550066 87174.66 91617.20 7609.35 5114.81
1648314436 3008530169 2420020202 2188916961 186805183 562406019 483162345 876679 8550066 87080.82 91571.67 7703.68 5159.71
1648314447 3008532423 2420021540 2188916961 186805183 562407781 483163796 876679 8550066 86546.94 91135.95 8236.67 5594.34
1648314457 3008535093 2420023456 2188916961 186805183 562408149 483164087 876679 8550066 86680.47 91164.63 8104.59 5566.19
1648314467 3008537313 2420025068 2188916961 186805183 562408314 483164145 876679 8550066 86507.83 91125.91 8275.27 5604.91
1648314478 3008538523 2420025984 2188916961 186805183 562408459 483164182 876679 8550066 86518.67 91109.34 8265.83 5621.48
1648314489 3008538986 2420026304 2188916961 186805183 562408714 483165660 876679 8550066 86473.27 89584.61 8311.75 7146.88
1648314501 3008539252 2420026498 2188916961 186805183 562409573 483166018 876679 8550066 85676.80 89285.92 9108.91 7445.50
1648314515 3008540503 2420026690 2188916961 186805183 562410864 483167645 876679 8550066 84469.45 87849.30 10315.71 8881.53
1648314532 3008540747 2420026750 2188916961 186805183 562411512 483168022 876679 8550066 84001.32 87516.84 10783.79 9213.98
1648314549 3008540959 2420026788 2188916961 186805183 562412020 483168272 876679 8550066 83626.15 87294.41 11158.90 9436.41
1648314565 3008543055 2420026978 2188916961 186805183 562412651 483168617 876679 8550066 83238.30 87014.43 11545.70 9718.59
1648314579 3008543801 2420027158 2188916961 186805183 562412949 483168894 876679 8550066 83008.08 86827.78 11777.04 9903.63
1648314593 3008548320 2420027602 2188916961 186805183 562413578 483169489 876679 8550066 82550.90 86479.42 12233.59 10250.94
1648314608 3008550101 2420028034 2188916961 186805183 562413643 483169584 876679 8550066 82539.38 86468.11 12246.23 10262.71
1648314623 3008551026 2420028228 2188916961 186805183 562413751 483169716 876679 8550066 82510.26 86430.11 12273.84 10300.77
1648314637 3008551129 2420028254 2188916961 186805183 562413827 483169832 876679 8550066 82483.59 86395.86 12301.07 10336.63
