#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1648314312 2777696607 2105748986 476612672 55638128 242612356 223124677 324092 1862674 92300.46 93405.37 2467.90 3340.68
1648314322 2777696607 2105748986 476612672 55638128 242612391 223124727 324092 1862674 92301.58 93405.41 2467.88 3341.18
1648314332 2777696607 2105748986 476612672 55638128 242612422 223124778 324092 1862674 92300.23 93404.63 2468.62 3341.50
1648314342 2777696607 2105748986 476612672 55638128 242612456 223124831 324092 1862674 92300.37 93404.99 2467.99 3341.60
1648314352 2777696607 2105748986 476612672 55638128 242612492 223124880 324092 1862674 92301.51 93405.22 2467.97 3341.24
1648314363 2777696607 2105748986 476612672 55638128 242612544 223124915 324092 1862674 92300.46 93406.08 2468.43 3340.00
1648314373 2777696607 2105748986 476612672 55638128 242613037 223125386 324092 1862674 91869.59 92937.64 2899.27 3808.46
1648314383 2777697396 2105749454 476612672 55638128 242613193 223125599 324092 1862674 91793.17 92829.95 2975.20 3916.14
1648314393 2777697396 2105749454 476612672 55638128 242613323 223125774 324092 1862674 91731.12 92743.98 3036.75 4002.13
1648314403 2777697396 2105749454 476612672 55638128 242613405 223125888 324092 1862674 91699.04 92702.23 3069.82 4045.32
1648314414 2777698579 2105749834 476612672 55638128 242613930 223126405 324092 1862674 91237.54 92199.16 3531.47 4547.80
1648314424 2777701556 2105752068 476612672 55638128 242615427 223128238 324092 1862674 89100.24 89446.68 5673.27 7299.79
1648314434 2777704959 2105753738 476612672 55638128 242615602 223128405 324092 1862674 88987.94 89278.18 5780.98 7468.89
1648314444 2777707722 2105755394 476612672 55638128 242617192 223130134 324092 1862674 88558.37 88780.69 6211.57 7979.90
1648314454 2777712459 2105758812 476612672 55638128 242617721 223130828 324092 1862674 88488.52 88783.58 6280.34 7969.66
1648314465 2777713983 2105759970 476612672 55638128 242617868 223131562 324092 1862674 88603.50 88712.20 6165.91 8034.26
