#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1648314328 2858437416 2307382064 1841339310 221856003 262696931 219246227 984761 7192475 92380.33 93552.85 2388.55 3194.16
1648314338 2858437416 2307382064 1841339310 221856003 262696966 219246276 984761 7192475 92380.93 93552.86 2388.42 3194.25
1648314348 2858437416 2307382064 1841339310 221856003 262697000 219246327 984761 7192475 92381.73 93552.58 2387.61 3193.51
1648314358 2858437416 2307382064 1841339310 221856003 262697036 219246377 984761 7192475 92381.58 93553.24 2387.42 3193.34
1648314369 2858437416 2307382064 1841339310 221856003 262697475 219246701 984761 7192475 91943.59 93195.79 2825.78 3550.79
1648314379 2858437416 2307382064 1841339310 221856003 262697712 219246909 984761 7192475 91825.73 93094.77 2943.18 3652.80
1648314389 2858438210 2307382526 1841339310 221856003 262697909 219247084 984761 7192475 91712.45 93004.35 3055.95 3741.62
1648314399 2858438210 2307382526 1841339310 221856003 262698017 219247155 984761 7192475 91680.04 92981.07 3089.95 3766.01
1648314409 2858438210 2307382526 1841339310 221856003 262698343 219247391 984761 7192475 91429.00 92805.25 3339.85 3941.82
1648314419 2858440848 2307383748 1841339310 221856003 262699749 219248407 984761 7192475 89511.15 91372.65 5257.21 5375.05
1648314430 2858444685 2307386208 1841339310 221856003 262700683 219249170 984761 7192475 88175.69 90381.66 6592.67 6365.34
1648314440 2858447259 2307387678 1841339310 221856003 262701435 219249742 984761 7192475 87793.60 90145.55 6938.68 6649.22
1648314450 2858451819 2307390754 1841339310 221856003 262702945 219250805 984761 7192475 87517.83 89860.05 7251.58 6886.41
1648314461 2858454802 2307393028 1841339310 221856003 262703502 219251118 984761 7192475 87554.68 89904.71 7214.17 6842.89
1648314471 2858456201 2307394012 1841339310 221856003 262703609 219251241 984761 7192475 87567.65 89915.30 7201.28 6831.17
1648314481 2858457223 2307394656 1841339310 221856003 262703724 219251326 984761 7192475 87511.79 89837.95 7257.06 6909.03
1648314493 2858458574 2307394934 1841339310 221856003 262705506 219252801 984761 7192475 85760.66 88513.50 9011.42 8233.50
1648314506 2858459195 2307395232 1841339310 221856003 262706212 219253886 984761 7192475 85190.30 87427.48 9582.71 9319.48
