#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1648314357 2463132356 1969313916 853002050 1355227363 308626857 249874792 5457370 3325172 92168.41 93405.32 2616.64 3326.09
1648314367 2463132356 1969313916 853002050 1355227363 308627302 249875186 5457370 3325172 91777.46 92989.43 3007.61 3741.53
1648314378 2463132356 1969313916 853002050 1355227363 308627462 249875402 5457370 3325172 91716.66 92913.18 3068.48 3818.13
1648314388 2463133145 1969314386 853002050 1355227363 308627659 249875634 5457370 3325172 91616.32 92775.12 3168.20 3956.85
1648314398 2463133145 1969314386 853002050 1355227363 308627749 249875729 5457370 3325172 91589.88 92738.21 3194.12 3993.20
1648314408 2463133145 1969314386 853002050 1355227363 308627859 249875900 5457370 3325172 91520.08 92609.38 3263.92 4121.95
1648314418 2463134355 1969314772 853002050 1355227363 308628591 249876758 5457370 3325172 90792.24 91558.10 3992.86 5172.23
1648314428 2463138901 1969317686 853002050 1355227363 308629845 249878301 5457370 3325172 88986.41 89277.61 5799.12 7452.72
1648314439 2463142155 1969319486 853002050 1355227363 308630016 249878443 5457370 3325172 88943.32 89219.20 5841.23 7511.14
1648314449 2463145752 1969321848 853002050 1355227363 308631312 249880526 5457370 3325172 88479.37 88592.72 6316.24 8138.11
1648314460 2463149193 1969324260 853002050 1355227363 308631661 249880946 5457370 3325172 88485.39 88664.69 6299.11 8085.29
1648314470 2463151114 1969325622 853002050 1355227363 308631718 249881051 5457370 3325172 88499.89 88608.81 6283.71 8122.01
1648314480 2463152125 1969326336 853002050 1355227363 308631850 249881131 5457370 3325172 88424.66 88637.03 6361.02 8093.80
1648314491 2463152539 1969326606 853002050 1355227363 308632973 249881158 5457370 3325172 87412.27 88629.07 7372.22 8101.91
1648314501 2463154177 1969327058 853002050 1355227363 308633269 249881276 5457370 3325172 87211.02 88548.73 7573.47 8182.17
1648314513 2463154634 1969327228 853002050 1355227363 308634737 249881433 5457370 3325172 85839.34 88413.34 8947.23 8317.49
1648314530 2463154771 1969327264 853002050 1355227363 308635560 249883725 5457370 3325172 85119.84 86235.24 9664.65 10496.72
