#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1648314352 2515338803 1967603570 898983216 44030315 150162378 73452273 255386 3511862 91437.89 94353.76 3347.14 2376.57
1648314363 2515338803 1967603570 898983216 44030315 150162426 73452311 255386 3511862 91436.60 94354.82 3347.90 2376.59
1648314373 2515338803 1967603570 898983216 44030315 150162999 73452731 255386 3511862 90939.00 93956.07 3845.57 2774.38
1648314383 2515339586 1967604034 898983216 44030315 150163188 73452909 255386 3511862 90840.00 93874.63 3945.03 2856.79
1648314393 2515339586 1967604034 898983216 44030315 150163362 73453042 255386 3511862 90753.25 93813.09 4030.88 2918.26
1648314403 2515339586 1967604034 898983216 44030315 150163465 73453138 255386 3511862 90710.54 93777.61 4073.95 2952.80
1648314413 2515340763 1967604404 898983216 44030315 150164049 73453611 255386 3511862 90167.04 93354.93 4618.02 3376.04
1648314424 2515343702 1967606588 898983216 44030315 150165920 73455035 255386 3511862 87408.52 91271.76 7377.79 5458.12
1648314434 2515347143 1967608252 898983216 44030315 150166122 73455227 255386 3511862 87192.15 91144.16 7591.85 5587.26
1648314444 2515350141 1967610102 898983216 44030315 150167532 73457048 255386 3511862 86766.65 90694.14 8049.58 6036.68
1648314454 2515354203 1967612970 898983216 44030315 150167993 73457400 255386 3511862 86489.70 90726.46 8294.80 6005.03
1648314465 2515355817 1967614210 898983216 44030315 150168219 73457581 255386 3511862 86610.90 90721.61 8173.60 6010.41
1648314475 2515356805 1967614902 898983216 44030315 150168256 73457718 255386 3511862 86781.08 90503.25 8003.54 6227.57
1648314485 2515357602 1967615484 898983216 44030315 150168367 73459663 255386 3511862 86771.95 88618.15 8012.55 8114.26
1648314497 2515358092 1967615818 898983216 44030315 150168389 73460561 255386 3511862 86756.64 87872.38 8027.86 8857.95
1648314509 2515359237 1967616042 898983216 44030315 150168395 73461192 255386 3511862 86749.61 87417.41 8035.44 9313.92
1648314525 2515359857 1967616296 898983216 44030315 150170403 73462004 255386 3511862 84803.37 86685.16 9982.68 10046.75
1648314540 2515362107 1967616528 898983216 44030315 150171254 73462503 255386 3511862 84171.83 86298.59 10613.21 10432.23
1648314555 2515362754 1967616702 898983216 44030315 150171784 73462549 255386 3511862 83789.02 86259.12 10996.56 10471.70
1648314570 2515363320 1967616818 898983216 44030315 150172377 73462631 255386 3511862 83357.53 86192.65 11427.46 10538.69
1648314584 2515363932 1967616844 898983216 44030315 150173131 73462719 255386 3511862 82811.64 86122.59 11973.96 10608.24
1648314598 2515368928 1967617476 898983216 44030315 150173667 73462918 255386 3511862 82543.52 86008.90 12241.06 10721.93
1648314612 2515369850 1967617670 898983216 44030315 150173787 73462987 255386 3511862 82513.61 86004.20 12271.54 10726.62
1648314627 2515370706 1967617832 898983216 44030315 150173963 73463154 255386 3511862 82437.02 85918.37 12355.30 10812.45
1648314642 2515372301 1967618096 898983216 44030315 150174064 73463219 255386 3511862 82416.47 85913.44 12368.02 10818.35
1648314657 2515372515 1967618124 898983216 44030315 150174091 73463384 255386 3511862 82416.43 85884.80 12367.91 10846.46
1648314672 2515373050 1967618210 898983216 44030315 150174119 73463530 255386 3511862 82415.20 85880.64 12369.29 10851.00
1648314687 2515374108 1967618390 898983216 44030315 150174209 73463685 255386 3511862 82347.58 85878.20 12436.91 10852.21
1648314702 2515374862 1967618514 898983216 44030315 150174360 73463843 255386 3511862 82262.77 85851.65 12521.73 10878.84
1648314717 2515374965 1967618532 898983216 44030315 150174486 73464084 255386 3511862 82276.39 85768.44 12508.11 10963.54
1648314731 2515375875 1967618654 898983216 44030315 150174548 73464214 255386 3511862 82273.00 85758.00 12511.50 10972.90
1648314744 2515377767 1967618942 898983216 44030315 150174626 73464421 255386 3511862 82264.17 85734.70 12520.32 10996.76
1648314754 2515378737 1967619104 898983216 44030315 150174658 73464544 255386 3511862 82260.45 85746.11 12524.04 10984.21
1648314765 2515378737 1967619104 898983216 44030315 150174689 73464689 255386 3511862 82257.69 85740.31 12526.80 10990.52
1648314775 2515378840 1967619122 898983216 44030315 150174742 73464812 255386 3511862 82274.38 85777.15 12510.12 10954.73
1648314785 2515378895 1967619138 898983216 44030315 150174764 73464942 255386 3511862 82271.84 85820.97 12512.65 10908.47
1648314795 2515378991 1967619170 898983216 44030315 150174818 73465066 255386 3511862 82363.84 85866.40 12420.66 10863.55
1648314806 2515379717 1967619304 898983216 44030315 150174872 73465240 255386 3511862 82392.77 85889.25 12391.73 10841.18
1648314816 2515379941 1967619386 898983216 44030315 150174879 73465509 255386 3511862 82408.76 87437.95 12375.74 9292.90
1648314826 2515379941 1967619386 898983216 44030315 150174892 73465622 255386 3511862 82420.48 87438.16 12364.02 9293.27
1648314836 2515380169 1967619556 898983216 44030315 150174923 73465744 255386 3511862 82471.80 87468.02 12312.70 9263.39
1648314847 2515380382 1967619698 898983216 44030315 150174940 73465986 255386 3511862 82472.68 89074.97 12311.32 7656.46
1648314857 2515380487 1967619730 898983216 44030315 150174961 73466085 255386 3511862 82471.76 89076.12 12312.25 7654.24
1648314867 2515380977 1967619954 898983216 44030315 150175144 73466157 255386 3511862 84161.77 89088.44 10623.83 7642.38
1648314877 2515381280 1967620010 898983216 44030315 150175371 73466310 255386 3511862 86847.01 89705.08 7938.09 7025.74
1648314887 2515381995 1967620420 898983216 44030315 150175591 73466466 255386 3511862 88467.30 91321.73 6315.23 5406.14
1648314898 2515382921 1967620904 898983216 44030315 150175677 73466484 255386 3511862 88470.20 91330.01 6315.36 5400.32
1648314908 2515383569 1967621328 898983216 44030315 150175763 73466500 255386 3511862 88471.95 91329.35 6312.71 5402.07
1648314918 2515384060 1967621468 898983216 44030315 150175850 73466515 255386 3511862 88473.85 91327.29 6309.67 5403.04
1648314928 2515384086 1967621494 898983216 44030315 150175938 73466528 255386 3511862 88473.99 91327.64 6310.62 5403.19
1648314938 2515384092 1967621500 898983216 44030315 150176025 73466544 255386 3511862 88474.13 91327.46 6309.95 5403.37
1648314948 2515384103 1967621510 898983216 44030315 150176114 73466559 255386 3511862 88473.71 91327.71 6310.32 5403.11
1648314959 2515384127 1967621534 898983216 44030315 150176199 73466575 255386 3511862 88476.05 91326.30 6308.96 5404.04
1648314969 2515384152 1967621552 898983216 44030315 150176286 73466591 255386 3511862 88475.81 91327.36 6308.75 5403.58
1648314979 2515384165 1967621564 898983216 44030315 150176370 73466607 255386 3511862 88476.16 91327.20 6308.90 5403.13
1648314989 2515384171 1967621570 898983216 44030315 150176442 73466638 255386 3511862 91265.50 94160.07 3519.55 2571.89
1648314999 2515384171 1967621570 898983216 44030315 150176484 73466689 255386 3511862 91265.02 94160.74 3519.09 2570.60
1648315009 2515384171 1967621570 898983216 44030315 150176537 73466727 255386 3511862 91265.08 94160.32 3520.01 2570.62
1648315020 2515384171 1967621570 898983216 44030315 150176590 73466769 255386 3511862 91265.18 94159.55 3519.32 2571.39
1648315030 2515384171 1967621570 898983216 44030315 150176632 73466817 255386 3511862 91265.03 94160.81 3519.08 2569.52
1648315040 2515384171 1967621570 898983216 44030315 150176684 73466855 255386 3511862 91263.49 94160.68 3520.64 2570.67
1648315050 2515384171 1967621570 898983216 44030315 150176738 73466895 255386 3511862 91263.76 94160.75 3520.39 2570.57
