site_name,datetime,release,release_pre,storage,storage_pre,inflow,release_roll7,inflow_roll7,storage_roll7,storage_x_inflow
Davis,2000-01-08,4.819833333333333,6.150833333333333,1605.9,1607.4,3.3198333333333334,5.417630952380953,,1596.4,5336.3001
Davis,2000-01-09,5.192916666666666,4.819833333333333,1598.8,1605.9,-1.9070833333334702,5.396744047619047,,1599.3857142857144,-3062.58512500022
Davis,2000-01-10,5.7475,5.192916666666666,1597.7,1598.8,4.647500000000091,5.42627380952381,,1601.5285714285717,7430.423000000144
Davis,2000-01-11,5.6970833333333335,5.7475,1596.2,1597.7,4.1970833333333335,5.53575,,1602.0857142857144,6705.680041666667
Davis,2000-01-12,5.192916666666666,5.6970833333333335,1606.8,1596.2,15.792916666666574,5.54295238095238,,1601.757142857143,25208.653583333187
Davis,2000-01-13,5.243333333333333,5.192916666666666,1605.2,1606.8,3.643333333333424,5.499738095238095,,1602.4,5854.108000000146
Davis,2000-01-14,5.243333333333333,5.243333333333333,1600.1,1605.2,0.14333333333319676,5.434916666666666,4.26241666666664,1602.571428571429,230.07866666644745
Davis,2000-01-15,5.243333333333333,5.243333333333333,1603.5,1600.1,8.643333333333423,5.3052738095238094,5.022916666666653,1601.5285714285717,13830.19766666681
Davis,2000-01-16,4.557666666666666,5.243333333333333,1608.6,1603.5,9.657666666666575,5.36577380952381,6.675023809523803,1601.1857142857143,15486.068499999854
Davis,2000-01-17,4.56775,4.557666666666666,1620.1,1608.6,16.06775,5.27502380952381,8.306488095238075,1602.5857142857144,25846.58265
Davis,2000-01-18,5.545833333333333,4.56775,1626.2,1620.1,11.64583333333347,5.106488095238095,9.370595238095238,1605.7857142857144,18867.414583333553
Davis,2000-01-19,4.981166666666667,5.545833333333333,1632.2,1626.2,10.981166666666667,5.084880952380953,8.683202380952393,1610.071428571429,17857.573233333333
Davis,2000-01-20,5.545833333333333,4.981166666666667,1644.1,1632.2,17.445833333333198,5.054630952380952,10.654988095238076,1613.7,28475.089166666447
Davis,2000-01-21,5.545833333333333,5.545833333333333,1645.2,1644.1,6.64583333333347,5.097845238095237,11.583916666666687,1619.257142857143,10926.414583333557
Davis,2000-01-22,4.9206666666666665,5.545833333333333,1649.0,1645.2,8.72066666666662,5.141059523809523,11.594964285714285,1625.7,14347.240799999923
Davis,2000-01-23,4.063583333333333,4.9206666666666665,1660.9,1649.0,15.963583333333425,5.094964285714286,12.495809523809552,1632.2,26323.948916666817
Davis,2000-01-24,5.59625,4.063583333333333,1664.3,1660.9,8.996249999999865,5.024380952380953,11.485595238095245,1639.6714285714286,14941.871624999776
Davis,2000-01-25,4.981166666666667,5.59625,1663.2,1664.3,3.8811666666667577,5.171309523809524,10.376357142857144,1645.9857142857145,6459.425683333485
Davis,2000-01-26,4.99125,4.981166666666667,1670.0,1663.2,11.791249999999955,5.090642857142857,10.492083333333328,1651.2714285714287,19611.206999999926
Davis,2000-01-27,5.041666666666666,4.99125,1680.1,1670.0,15.141666666666575,5.092083333333333,10.162916666666666,1656.6714285714286,25286.58333333318
Davis,2000-01-28,5.545833333333333,5.041666666666666,1679.8,1680.1,5.245833333333379,5.020059523809524,9.962916666666654,1661.8142857142857,8813.52458333341
Davis,2000-01-29,4.976125,5.545833333333333,1681.0,1679.8,6.176125000000045,5.020059523809524,9.599410714285714,1666.757142857143,10374.654775000075
Davis,2000-01-30,4.875291666666667,4.976125,1678.6,1681.0,2.4752916666665756,5.027982142857143,7.672511904761878,1671.3285714285714,4160.965291666514
Davis,2000-01-31,5.041666666666666,4.875291666666667,1685.3,1678.6,11.741666666666712,5.143940476190476,8.064714285714286,1673.857142857143,19709.56166666674
Davis,2000-02-01,5.445,5.041666666666666,1685.2,1685.3,5.345000000000091,5.0647142857142855,8.273833333333332,1676.857142857143,9007.928500000153
Davis,2000-02-02,5.445,5.445,1687.4,1685.2,7.645000000000046,5.13097619047619,7.681511904761917,1680.0,12883.354000000078
Davis,2000-02-03,5.445,5.445,1687.3,1687.4,5.344999999999864,5.195797619047619,6.281988095238101,1682.4857142857145,9019.152999999771
Davis,2000-02-04,5.6466666666666665,5.445,1683.3,1687.3,1.6466666666666665,5.253416666666666,5.767821428571429,1683.5142857142855,2778.4206666666664
Davis,2000-02-05,6.20125,5.6466666666666665,1673.8,1683.3,-3.29875,5.267821428571429,4.414267857142851,1684.0142857142855,-5552.785875
Davis,2000-02-06,5.545833333333333,6.20125,1669.2,1673.8,0.9458333333334243,5.442839285714286,4.195773809523829,1682.9857142857145,1583.1358333334856
Davis,2000-02-07,5.6970833333333335,5.545833333333333,1668.9,1669.2,5.397083333333379,5.538630952380952,3.2894047619047813,1681.642857142857,9008.811500000076
Davis,2000-02-08,5.6970833333333335,5.6970833333333335,1679.2,1668.9,15.997083333333288,5.632261904761904,4.811130952380952,1679.3,26697.532374999926
Davis,2000-02-09,6.20125,5.6970833333333335,1678.0,1679.2,5.0012499999999545,5.66827380952381,4.433452380952368,1678.442857142857,8398.098999999924
Davis,2000-02-10,6.150833333333333,6.20125,1681.1,1678.0,9.250833333333242,5.776309523809523,4.991428571428565,1677.1,15522.89833333318
Davis,2000-02-11,6.9575,6.150833333333333,1673.0,1681.1,-1.1424999999999095,5.877142857142857,4.592976190476198,1676.2142857142858,-1920.6567499998478
Davis,2000-02-12,6.9575,6.9575,1668.9,1673.0,2.8575000000000905,6.064404761904762,5.472440476190495,1674.742857142857,4780.597500000152
