site_name,datetime,actual,model
CRYSTAL,2015-08-13,0.908739408041669,0.9141423163676917
CRYSTAL,2015-08-14,0.9080251752916692,0.9160279855461464
CRYSTAL,2015-08-15,0.9117854166666692,0.9185714990022645
CRYSTAL,2015-08-16,0.9108611127916693,0.9196914525956994
CRYSTAL,2015-08-17,0.897437675291669,0.9070918887875931
CRYSTAL,2015-08-18,0.8902743038750023,0.9020102182022002
CRYSTAL,2015-08-19,0.9060715294583357,0.8979955142872459
CRYSTAL,2015-08-20,0.9062815955416691,0.8966193665990293
CRYSTAL,2015-08-21,0.9062395833333357,0.8961713914248969
CRYSTAL,2015-08-22,0.906302604166669,0.8901493100310482
CRYSTAL,2015-08-23,0.9062395833333357,0.8890482270660747
CRYSTAL,2015-08-24,0.9061765625000023,0.8897525762765809
CRYSTAL,2015-08-25,0.9062815955416691,0.8855076396012426
CRYSTAL,2015-08-26,0.9061765625000023,0.8817081533560979
CRYSTAL,2015-08-27,0.9062185747083356,0.8923728616585548
CRYSTAL,2015-08-28,0.9062185747083356,0.8984738805839088
CRYSTAL,2015-08-29,0.9060295122083355,0.8869478292889401
CRYSTAL,2015-08-30,0.9062185747083356,0.8723957679622794
CRYSTAL,2015-08-31,0.9061765625000023,0.8583420467641123
CRYSTAL,2015-09-01,0.906323612791669,0.8472153150178866
CRYSTAL,2015-09-02,0.9062815955416691,0.8401713204961838
CRYSTAL,2015-09-03,0.9060715294583357,0.7984031582967013
CRYSTAL,2015-09-04,0.9061765625000023,0.774308363102801
CRYSTAL,2015-09-05,0.9085503455416689,0.7607879732674009
CRYSTAL,2015-09-06,0.9086763872083357,0.7458899973029925
CRYSTAL,2015-09-07,0.9085503455416689,0.7330924325258854
CRYSTAL,2015-09-08,0.9087184044583355,0.7168408442263079
CRYSTAL,2015-09-09,0.9086553836250024,0.6956003476362287
CRYSTAL,2015-09-10,0.9085713541666691,0.6697242554147249
CRYSTAL,2015-09-11,0.9086763872083357,0.6507589907711856
CRYSTAL,2015-09-12,0.9086343750000023,0.637028184339797
CRYSTAL,2015-09-13,0.9086763872083357,0.621623223757827
CRYSTAL,2015-09-14,0.9086973958333355,0.6051333799227772
CRYSTAL,2015-09-15,0.9085923627916691,0.5819653099859619
CRYSTAL,2015-09-16,0.9087814252916692,0.5547856663259075
CRYSTAL,2015-09-17,0.9082142377916691,0.5282826606178708
CRYSTAL,2015-09-18,0.9099368038750024,0.5096628587979208
CRYSTAL,2015-09-19,0.9063656250000023,0.4859146483849509
CRYSTAL,2015-09-20,0.9061765625000023,0.457108987143829
CRYSTAL,2015-09-21,0.9061765625000023,0.44147372367768567
CRYSTAL,2015-09-22,0.9051892377916692,0.420204214883383
CRYSTAL,2015-09-23,0.9051892377916692,0.4016310921774463
CRYSTAL,2015-09-24,0.905168229166669,0.3840758653351836
CRYSTAL,2015-09-25,0.9051262169583357,0.36503047276843625
CRYSTAL,2015-09-26,0.9050841997083355,0.34382659254640535
CRYSTAL,2015-09-27,0.9050211788750023,0.3162967001544641
CRYSTAL,2015-09-28,0.9069958333333356,0.2779493587103792
CRYSTAL,2015-09-29,0.8965973958333356,0.2602139009288086
CRYSTAL,2015-09-30,0.8829008663750023,0.24974827003033806
CRYSTAL,2015-10-01,0.8855687500000023,0.22997524865140595
CRYSTAL,2015-10-02,0.899097220541669,0.20241923582453947
CRYSTAL,2015-10-03,0.887375345541669,0.178529463618457
CRYSTAL,2015-10-04,0.8790565955416689,0.16238214889250513
CRYSTAL,2015-10-05,0.898172916666669,0.1369642642765202
CRYSTAL,2015-10-06,0.9023953125000024,0.13578843401124385
CRYSTAL,2015-10-07,0.895126908041669,0.1467813578788122
CRYSTAL,2015-10-08,0.9014710086250023,0.1621815226096861
CRYSTAL,2015-10-09,0.9036557291666689,0.176809311940769
CRYSTAL,2015-10-10,0.8989711788750022,0.18875167115412828
CRYSTAL,2015-10-11,0.8931102413750023,0.1827506674361271
CRYSTAL,2015-10-12,0.8848755208333356,0.16631102897941774
CRYSTAL,2015-10-13,0.8784053836250023,0.17092330202166695
CRYSTAL,2015-10-14,0.8701286458333356,0.15130258818005615
CRYSTAL,2015-10-15,0.7895250000000021,0.12341932185134874
CRYSTAL,2015-10-16,0.7556618038750019,0.1072664999999999
CRYSTAL,2015-10-17,0.7552626752916687,0.1072664999999999
CRYSTAL,2015-10-18,0.7550736127916686,0.1072664999999999
CRYSTAL,2015-10-19,0.7548845502916687,0.1072664999999999
CRYSTAL,2015-10-20,0.7260840294583353,0.1072664999999999
CRYSTAL,2015-10-21,0.713164758625002,0.1072664999999999
CRYSTAL,2015-10-22,0.7118623247083352,0.1072664999999999
CRYSTAL,2015-10-23,0.7112111127916686,0.1072664999999999
CRYSTAL,2015-10-24,0.7109590294583352,0.1072664999999999
CRYSTAL,2015-10-25,0.7098456580416685,0.1072664999999999
CRYSTAL,2015-10-26,0.6756253455416684,0.1072664999999999
CRYSTAL,2015-10-27,0.6548494791666685,0.1072664999999999
CRYSTAL,2015-10-28,0.6544293419583351,0.1072664999999999
CRYSTAL,2015-10-29,0.6548284705416684,0.1072664999999999
CRYSTAL,2015-10-30,0.4533718750000013,0.1072664999999999
CRYSTAL,2015-10-31,0.3034663196125009,0.1072664999999999
CRYSTAL,2015-11-01,0.30296215294583423,0.1072664999999999
CRYSTAL,2015-11-02,0.30325625000000095,0.1072664999999999
CRYSTAL,2015-11-03,0.30378142377916756,0.1072664999999999
CRYSTAL,2015-11-04,0.30348732622083424,0.11191497479504586
