,,elev,release_acoe,inflow_acoe,storage,release,inflow,sto_delta
fort_peck,2011-12-26,2236.41,,,15303187.79999997,10735.0,6180.0,6497.399999946356
fort_peck,2011-12-27,2236.33,,,15285861.399999984,10735.0,7850.0,-17326.39999998547
fort_peck,2011-12-28,2236.36,,,15292358.800000027,10630.0,7570.0,6497.400000043213
fort_peck,2011-12-29,2236.38,,,15296690.400000023,10630.0,7490.0,4331.599999995902
fort_peck,2011-12-30,2236.25,,,15268535.0,10730.0,7580.0,-28155.400000022724
fort_peck,2011-12-31,2236.23,,,15264203.400000004,10735.0,7590.0,-4331.599999995902
fort_peck,2012-01-01,2236.17,,,15251208.600000016,10540.0,7570.0,-12994.799999987707
fort_peck,2012-01-02,2236.2,,,15257705.99999996,10745.0,7470.0,6497.399999944493
fort_peck,2012-01-03,2236.13,,,15242545.400000023,10930.0,7100.0,-15160.59999993816
fort_peck,2012-01-04,2236.14,,,15244711.199999973,10830.0,7300.0,2165.7999999504536
fort_peck,2012-01-05,2236.06,,,15227384.799999988,10720.0,7500.0,-17326.39999998547
fort_peck,2012-01-06,2236.05,,,15225219.00000004,11420.0,7380.0,-2165.799999948591
fort_peck,2012-01-07,2236.03,,,15220887.400000043,11830.0,7280.0,-4331.599999995902
fort_peck,2012-01-08,2236.01,,,15216555.800000047,11830.0,7070.0,-4331.599999995902
fort_peck,2012-01-09,2235.97,,,15207963.699999956,11640.0,6990.0,-8592.100000090897
fort_peck,2012-01-10,2235.91,,,15195111.099999968,11850.0,7080.0,-12852.599999988452
fort_peck,2012-01-11,2235.88,,,15188684.800000023,11760.0,7190.0,-6426.299999944866
fort_peck,2012-01-12,2235.82,,,15175832.200000035,11870.0,7380.0,-12852.599999988452
fort_peck,2012-01-13,2235.82,,,15175832.200000035,11670.0,7400.0,0.0
fort_peck,2012-01-14,2235.68,,,15145842.799999965,11670.0,6720.0,-29989.40000006929
fort_peck,2012-01-15,2235.59,,,15126563.900000032,11685.0,6530.0,-19278.899999933317
fort_peck,2012-01-16,2235.59,,,15126563.900000032,11690.0,6810.0,0.0
fort_peck,2012-01-17,2235.45,,,15096574.49999996,11700.0,6500.0,-29989.400000071153
fort_peck,2012-01-18,2235.49,,,15105142.899999954,11900.0,4370.0,8568.399999992922
fort_peck,2012-01-19,2235.42,,,15090148.200000016,11900.0,3900.0,-14994.699999937788
fort_peck,2012-01-20,2235.33,,,15070869.299999984,11800.0,3620.0,-19278.900000032037
fort_peck,2012-01-21,2235.25,,,15053732.5,11690.0,4550.0,-17136.79999998398
fort_peck,2012-01-22,2235.15,,,15032311.500000019,11785.0,5070.0,-21420.999999981374
fort_peck,2012-01-23,2235.05,,,15010890.50000004,11785.0,5870.0,-21420.99999997951
fort_peck,2012-01-24,2234.96,,,14991706.400000008,11785.0,7180.0,-19184.100000031292
fort_peck,2012-01-25,2234.93,,,14985351.199999966,11785.0,8800.0,-6355.200000042096
fort_peck,2012-01-26,2234.82,,,14962048.800000034,11880.0,9210.0,-23302.399999931455
fort_peck,2012-01-27,2234.85,,,14968403.999999981,11980.0,8920.0,6355.199999947101
fort_peck,2012-01-28,2234.78,,,14953575.200000042,11680.0,8710.0,-14828.799999939278
fort_peck,2012-01-29,2234.8,,,14957812.00000004,11675.0,8500.0,4236.79999999702
fort_peck,2012-01-30,2234.73,,,14942983.200000003,11675.0,8220.0,-14828.800000036135
fort_peck,2012-01-31,2234.74,,,14945101.599999953,11875.0,8130.0,2118.399999950081
fort_peck,2012-02-01,2234.72,,,14940864.799999958,11775.0,8520.0,-4236.799999995157
fort_peck,2012-02-02,2234.74,,,14945101.599999953,11875.0,8600.0,4236.799999995157
fort_peck,2012-02-03,2234.7,,,14936627.99999996,11775.0,8300.0,-8473.599999992177
fort_peck,2012-02-04,2234.67,,,14930272.800000016,11875.0,8320.0,-6355.199999945238
fort_peck,2012-02-05,2234.69,,,14934509.60000001,11775.0,8240.0,4236.799999995157
fort_peck,2012-02-06,2234.63,,,14921799.200000023,11975.0,8130.0,-12710.399999987334
fort_peck,2012-02-07,2234.59,,,14913325.600000031,11875.0,8020.0,-8473.599999992177
fort_peck,2012-02-08,2234.57,,,14909088.800000034,11778.0,7900.0,-4236.79999999702
fort_peck,2012-02-09,2234.52,,,14898496.799999997,11880.0,7820.0,-10592.000000037253
fort_peck,2012-02-10,2234.45,,,14883667.99999996,11780.0,7600.0,-14828.800000036135
fort_peck,2012-02-11,2234.42,,,14877312.800000016,11685.0,7570.0,-6355.199999945238
fort_peck,2012-02-12,2234.4,,,14873076.000000019,11785.0,7480.0,-4236.79999999702
fort_peck,2012-02-13,2234.37,,,14866720.799999977,11985.0,7200.0,-6355.200000042096
fort_peck,2012-02-14,2234.37,,,14866720.799999977,10785.0,6500.0,0.0
fort_peck,2012-02-15,2234.31,,,14854010.39999999,10985.0,7480.0,-12710.399999987334
fort_peck,2012-02-16,2234.27,,,14845536.799999997,10790.0,7700.0,-8473.599999992177
fort_peck,2012-02-17,2234.25,,,14841300.0,10990.0,7620.0,-4236.79999999702
fort_peck,2012-02-18,2234.24,,,14839181.599999953,10890.0,7540.0,-2118.4000000469387
fort_peck,2012-02-19,2234.22,,,14834944.799999958,9890.0,7550.0,-4236.799999995157
fort_peck,2012-02-20,2234.22,,,14834944.799999958,9890.0,7430.0,0.0
fort_peck,2012-02-21,2234.2,,,14830707.99999996,9885.0,7440.0,-4236.79999999702
fort_peck,2012-02-22,2234.19,,,14828589.60000001,9885.0,7460.0,-2118.399999950081
fort_peck,2012-02-23,2234.24,,,14839181.599999953,9885.0,7480.0,10591.999999942258
fort_peck,2012-02-24,2234.19,,,14828589.60000001,9095.0,7480.0,-10591.999999942258
fort_peck,2012-02-25,2234.19,,,14828589.60000001,9150.0,7480.0,0.0
fort_peck,2012-02-26,2234.22,,,14834944.799999958,9130.0,7450.0,6355.199999947101
fort_peck,2012-02-27,2234.21,,,14832826.400000008,9060.0,7520.0,-2118.399999950081
fort_peck,2012-02-28,2234.19,,,14828589.60000001,8870.0,7630.0,-4236.79999999702
fort_peck,2012-02-29,2234.19,,,14828589.60000001,8970.0,7750.0,0.0
fort_peck,2012-03-01,2234.22,,,14834944.799999958,8840.0,7920.0,6355.199999947101
fort_peck,2012-03-02,2234.22,,,14834944.799999958,8360.0,8130.0,0.0
fort_peck,2012-03-03,2234.23,,,14837063.200000003,8220.0,8250.0,2118.400000045076
fort_peck,2012-03-04,2234.24,,,14839181.599999953,7185.0,8350.0,2118.399999950081
fort_peck,2012-03-05,2234.28,,,14847655.200000042,7280.0,8460.0,8473.600000089034
fort_peck,2012-03-06,2234.36,,,14864602.400000026,7440.0,8630.0,16947.199999984354
fort_peck,2012-03-07,2234.38,,,14868839.200000023,7620.0,8800.0,4236.79999999702
fort_peck,2012-03-08,2234.38,,,14868839.200000023,7160.0,9120.0,0.0
fort_peck,2012-03-09,2234.45,,,14883667.99999996,7065.0,11170.0,14828.799999937415
fort_peck,2012-03-10,2234.46,,,14885786.400000008,7065.0,9600.0,2118.4000000469387
fort_peck,2012-03-11,2234.5,,,14894260.0,7130.0,9066.0,8473.599999992177
fort_peck,2012-03-12,2234.47,,,14887904.799999958,7310.0,9096.0,-6355.200000042096
fort_peck,2012-03-13,2234.59,,,14913325.600000031,7130.0,8939.0,25420.80000007339
fort_peck,2012-03-14,2234.58,,,14911207.199999984,7010.0,8949.0,-2118.4000000469387
fort_peck,2012-03-15,2234.62,,,14919680.799999977,6900.0,8950.0,8473.599999992177
fort_peck,2012-03-16,2234.64,,,14923917.599999974,6860.0,8862.0,4236.79999999702
fort_peck,2012-03-17,2234.57,,,14909088.800000034,6850.0,8577.0,-14828.799999939278
fort_peck,2012-03-18,2234.63,,,14921799.200000023,6890.0,8560.0,12710.399999989197
fort_peck,2012-03-19,2234.83,,,14964167.199999984,6833.0,8456.0,42367.999999960884
fort_peck,2012-03-20,2234.75,,,14947220.0,6812.0,8812.0,-16947.199999984354
fort_peck,2012-03-21,2234.67,,,14930272.800000016,6981.0,8552.0,-16947.199999984354
fort_peck,2012-03-22,2234.73,,,14942983.200000003,6771.0,8668.0,12710.399999987334
fort_peck,2012-03-23,2234.72,,,14940864.799999958,6812.0,8593.0,-2118.400000045076
fort_peck,2012-03-24,2234.75,,,14947220.0,7049.0,9230.0,6355.200000042096
fort_peck,2012-03-25,2234.74,,,14945101.599999953,6960.0,9481.0,-2118.4000000469387
fort_peck,2012-03-26,2234.8,,,14957812.00000004,6993.0,9398.0,12710.400000086054
fort_peck,2012-03-27,2234.84,,,14966285.600000031,6690.0,9276.0,8473.599999992177
fort_peck,2012-03-28,2234.86,,,14970522.400000026,6499.0,9288.0,4236.799999995157
fort_peck,2012-03-29,2234.9,,,14978996.000000019,6852.0,9306.0,8473.599999992177
fort_peck,2012-03-30,2234.94,,,14987469.60000001,6878.0,9154.0,8473.599999992177
fort_peck,2012-03-31,2234.9,,,14978996.000000019,6771.0,9173.0,-8473.599999992177
fort_peck,2012-04-01,2234.96,,,14991706.400000008,6787.0,9103.0,12710.399999989197
fort_peck,2012-04-02,2234.97,,,14993824.799999958,7087.0,9021.0,2118.399999950081
fort_peck,2012-04-03,2234.97,,,14993824.799999958,6923.0,9183.0,0.0
fort_peck,2012-04-04,2234.96,,,14991706.400000008,6704.0,9301.0,-2118.399999950081
fort_peck,2012-04-05,2234.97,,,14993824.799999958,6970.0,9110.0,2118.399999950081
fort_peck,2012-04-06,2235.05,,,15010890.50000004,6889.0,9255.0,17065.70000008121
fort_peck,2012-04-07,2235.12,,,15025885.199999977,6839.0,9237.0,14994.699999937788
fort_peck,2012-04-08,2235.07,,,15015174.700000035,6849.0,9306.0,-10710.499999942258
fort_peck,2012-04-09,2235.07,,,15015174.700000035,7031.0,9370.0,0.0
fort_peck,2012-04-10,2235.08,,,15017316.799999984,6843.0,9257.0,2142.099999949336
fort_peck,2012-04-11,2235.04,,,15008748.399999993,6649.0,9160.0,-8568.39999999106
fort_peck,2012-04-12,2235.29,,,15062300.899999993,6642.0,9169.0,53552.5
fort_peck,2012-04-13,2235.16,,,15034453.599999968,6912.0,9276.0,-27847.30000002496
fort_peck,2012-04-14,2235.17,,,15036595.700000016,6842.0,10032.0,2142.1000000480562
fort_peck,2012-04-15,2235.2,,,15043021.99999996,6609.0,10115.0,6426.299999944866
fort_peck,2012-04-16,2235.22,,,15047306.199999956,6536.0,9804.0,4284.19999999553
fort_peck,2012-04-17,2235.26,,,15055874.600000046,6633.0,9874.0,8568.40000008978
fort_peck,2012-04-18,2235.28,,,15060158.800000044,6567.0,9857.0,4284.199999997392
fort_peck,2012-04-19,2235.27,,,15058016.699999996,6884.0,9781.0,-2142.1000000480562
fort_peck,2012-04-20,2235.3,,,15064443.00000004,6870.0,9915.0,6426.300000043586
fort_peck,2012-04-21,2235.38,,,15081579.800000023,7076.0,10709.0,17136.79999998398
fort_peck,2012-04-22,2235.36,,,15077295.600000028,7238.0,11200.0,-4284.19999999553
fort_peck,2012-04-23,2235.42,,,15090148.200000016,7347.0,11186.0,12852.599999988452
fort_peck,2012-04-24,2235.5,,,15107285.0,7267.0,10865.0,17136.79999998398
fort_peck,2012-04-25,2235.47,,,15100858.699999956,7373.0,10948.0,-6426.300000043586
fort_peck,2012-04-26,2235.45,,,15096574.49999996,7167.0,11334.0,-4284.19999999553
fort_peck,2012-04-27,2235.66,,,15141558.599999968,7579.0,11953.0,44984.10000000708
fort_peck,2012-04-28,2235.61,,,15130848.100000028,8092.0,13277.0,-10710.499999940395
fort_peck,2012-04-29,2235.7,,,15150126.99999996,7925.0,14599.0,19278.899999933317
fort_peck,2012-04-30,2235.78,,,15167263.800000044,7600.0,15110.0,17136.8000000827
fort_peck,2012-05-01,2235.83,,,15177974.299999984,7694.0,15757.0,10710.499999940395
fort_peck,2012-05-02,2235.85,,,15182258.499999981,7664.0,15484.0,4284.199999997392
fort_peck,2012-05-03,2235.88,,,15188684.800000023,8319.0,15131.0,6426.300000041723
fort_peck,2012-05-04,2235.94,,,15201537.400000012,9098.0,14542.0,12852.599999988452
fort_peck,2012-05-05,2236.03,,,15220887.400000043,8936.0,13922.0,19350.000000031665
fort_peck,2012-05-06,2236.01,,,15216555.800000047,8848.0,13490.0,-4331.599999995902
fort_peck,2012-05-07,2236.06,,,15227384.799999988,8809.0,12962.0,10828.999999940395
fort_peck,2012-05-08,2236.15,,,15246877.00000002,9400.0,12518.0,19492.200000032783
fort_peck,2012-05-09,2236.17,,,15251208.600000016,9225.0,12100.0,4331.599999995902
fort_peck,2012-05-10,2236.2,,,15257705.99999996,9301.0,12094.0,6497.399999944493
fort_peck,2012-05-11,2236.23,,,15264203.400000004,9277.0,11583.0,6497.400000043213
fort_peck,2012-05-12,2236.25,,,15268535.0,9261.0,11262.0,4331.599999995902
fort_peck,2012-05-13,2236.26,,,15270700.800000047,9302.0,11146.0,2165.800000047311
fort_peck,2012-05-14,2236.23,,,15264203.400000004,9134.0,10530.0,-6497.400000043213
fort_peck,2012-05-15,2236.23,,,15264203.400000004,9302.0,10161.0,0.0
fort_peck,2012-05-16,2236.21,,,15259871.800000008,9357.0,9750.0,-4331.599999995902
fort_peck,2012-05-17,2236.24,,,15266369.199999953,9629.0,9720.0,6497.399999944493
fort_peck,2012-05-18,2236.27,,,15272866.599999996,8790.0,9787.0,6497.400000043213
fort_peck,2012-05-19,2236.23,,,15264203.400000004,8756.0,9937.8,-8663.199999991804
fort_peck,2012-05-20,2236.23,,,15264203.400000004,8825.0,11081.0,0.0
fort_peck,2012-05-21,2236.24,,,15266369.199999953,8716.0,11877.5,2165.799999948591
fort_peck,2012-05-22,2236.31,,,15281529.799999988,8617.0,11617.0,15160.600000035018
fort_peck,2012-05-23,2236.28,,,15275032.400000043,8615.0,11770.0,-6497.399999944493
fort_peck,2012-05-24,2236.27,,,15272866.599999996,9037.0,10647.0,-2165.800000047311
fort_peck,2012-05-25,2236.26,,,15270700.800000047,8690.0,10643.0,-2165.799999948591
fort_peck,2012-05-26,2236.29,,,15277198.199999992,8506.0,11840.0,6497.399999944493
fort_peck,2012-05-27,2236.56,,,15335674.799999988,8901.0,12683.0,58476.5999999959
fort_peck,2012-05-28,2236.53,,,15329177.400000043,9047.0,13306.0,-6497.399999944493
fort_peck,2012-05-29,2236.54,,,15331343.199999992,8626.0,12415.0,2165.799999948591
fort_peck,2012-05-30,2236.59,,,15342172.20000003,7150.0,11625.0,10829.000000039116
fort_peck,2012-05-31,2236.64,,,15353001.199999973,6510.0,11147.0,10828.999999942258
fort_peck,2012-06-01,2236.64,,,15353001.199999973,7880.0,10935.0,0.0
fort_peck,2012-06-02,2236.64,,,15353001.199999973,8880.0,10927.0,0.0
fort_peck,2012-06-03,2236.69,,,15363830.200000012,8990.0,10578.0,10829.000000039116
fort_peck,2012-06-04,2236.67,,,15359498.600000016,8920.0,10245.0,-4331.599999995902
fort_peck,2012-06-05,2236.66,,,15357332.79999997,8380.0,10306.0,-2165.800000047311
fort_peck,2012-06-06,2236.73,,,15372493.400000004,8090.0,11371.0,15160.600000035018
fort_peck,2012-06-07,2236.76,,,15378990.800000047,7920.0,12163.0,6497.400000043213
fort_peck,2012-06-08,2236.76,,,15378990.800000047,7810.0,14268.0,0.0
fort_peck,2012-06-09,2236.85,,,15398482.99999998,8620.0,16978.0,19492.1999999322
fort_peck,2012-06-10,2237.05,,,15441917.50000004,9170.0,17774.0,43434.500000059605
fort_peck,2012-06-11,2237.05,,,15441917.50000004,8460.0,18320.0,0.0
fort_peck,2012-06-12,2237.12,,,15457243.999999976,8640.0,17700.0,15326.49999993667
fort_peck,2012-06-13,2237.18,,,15470380.999999965,9390.0,17587.0,13136.999999988824
fort_peck,2012-06-14,2237.24,,,15483517.999999952,9830.0,16249.0,13136.999999986961
fort_peck,2012-06-15,2237.28,,,15492276.000000045,9790.0,14628.0,8758.000000093132
fort_peck,2012-06-16,2237.32,,,15501034.000000035,9680.0,13815.0,8757.999999990687
fort_peck,2012-06-17,2237.34,,,15505413.000000032,9414.0,14502.0,4378.999999996275
fort_peck,2012-06-18,2237.37,,,15511981.499999976,9410.0,14019.0,6568.499999944121
fort_peck,2012-06-19,2237.45,,,15529497.49999996,10301.0,13318.0,17515.9999999851
fort_peck,2012-06-20,2237.47,,,15533876.499999955,10690.0,13113.0,4378.999999994412
fort_peck,2012-06-21,2237.4,,,15518550.00000002,10340.0,13809.0,-15326.499999934807
fort_peck,2012-06-22,2237.46,,,15531687.000000007,10070.0,13593.4,13136.999999986961
fort_peck,2012-06-23,2237.4,,,15518550.00000002,10200.0,12485.6,-13136.999999986961
fort_peck,2012-06-24,2237.43,,,15525118.499999965,10220.0,11883.2,6568.499999944121
fort_peck,2012-06-25,2237.46,,,15531687.000000007,10100.0,12176.9,6568.500000042841
fort_peck,2012-06-26,2237.47,,,15533876.499999955,10370.0,12172.2,2189.499999947846
fort_peck,2012-06-27,2237.48,,,15536066.000000004,10260.0,11764.2,2189.500000048429
fort_peck,2012-06-28,2237.43,,,15525118.499999965,10580.0,11759.2,-10947.500000039116
fort_peck,2012-06-29,2237.42,,,15522929.000000017,11100.0,11555.2,-2189.499999947846
fort_peck,2012-06-30,2237.42,,,15522929.000000017,11050.0,10443.4,0.0
fort_peck,2012-07-01,2237.45,,,15529497.49999996,10470.0,9445.8,6568.499999944121
fort_peck,2012-07-02,2237.38,,,15514171.000000024,10630.0,8980.3,-15326.49999993667
fort_peck,2012-07-03,2237.26,,,15487897.000000048,10503.0,7998.4,-26273.999999975786
fort_peck,2012-07-04,2237.31,,,15498844.499999989,10503.0,7551.1,10947.499999940395
fort_peck,2012-07-05,2237.26,,,15487897.000000048,10890.0,7075.3,-10947.499999940395
fort_peck,2012-07-06,2237.18,,,15470380.999999965,10692.0,6665.6,-17516.00000008382
fort_peck,2012-07-07,2237.12,,,15457243.999999976,10720.0,7044.6,-13136.999999988824
fort_peck,2012-07-08,2237.12,,,15457243.999999976,10715.0,6835.7,0.0
fort_peck,2012-07-09,2237.07,,,15446296.500000035,10486.0,6823.1,-10947.499999940395
fort_peck,2012-07-10,2236.98,,,15426638.400000004,10431.0,6780.3,-19658.100000031292
fort_peck,2012-07-11,2236.94,,,15417975.200000012,10482.0,6664.2,-8663.199999991804
fort_peck,2012-07-12,2236.88,,,15404980.400000023,10632.0,6309.0,-12994.79999998957
fort_peck,2012-07-13,2236.82,,,15391985.600000035,10615.0,6379.1,-12994.799999987707
fort_peck,2012-07-14,2236.75,,,15376825.0,10378.0,6363.5,-15160.600000035018
fort_peck,2012-07-15,2236.72,,,15370327.599999957,10580.0,6202.4,-6497.400000043213
fort_peck,2012-07-16,2236.67,,,15359498.600000016,10802.0,6322.7,-10828.999999940395
fort_peck,2012-07-17,2236.57,,,15337840.600000035,10598.0,6809.0,-21657.999999981374
fort_peck,2012-07-18,2236.6,,,15344337.99999998,10854.0,6924.2,6497.399999944493
fort_peck,2012-07-19,2236.55,,,15333509.00000004,10835.0,6665.6,-10828.999999940395
fort_peck,2012-07-20,2236.53,,,15329177.400000043,10418.0,6591.3,-4331.599999995902
fort_peck,2012-07-21,2236.46,,,15314016.800000008,10605.0,6844.0,-15160.600000035018
fort_peck,2012-07-22,2236.42,,,15305353.600000016,10795.0,6906.9,-8663.199999991804
fort_peck,2012-07-23,2236.34,,,15288027.20000003,10440.0,6835.1,-17326.39999998547
fort_peck,2012-07-24,2236.33,,,15285861.399999984,10711.0,6886.4,-2165.800000047311
fort_peck,2012-07-25,2236.35,,,15290192.99999998,10698.0,6624.3,4331.599999995902
fort_peck,2012-07-26,2236.16,,,15249042.79999997,10696.0,6454.6,-41150.20000001043
fort_peck,2012-07-27,2236.14,,,15244711.199999973,10706.0,6332.6,-4331.599999995902
fort_peck,2012-07-28,2236.09,,,15233882.20000003,10844.0,6132.0,-10828.999999942258
fort_peck,2012-07-29,2236.02,,,15218721.599999996,10999.0,6219.4,-15160.600000035018
fort_peck,2012-07-30,2235.91,,,15195111.099999968,11010.0,6180.4,-23610.50000002794
fort_peck,2012-07-31,2235.85,,,15182258.499999981,10704.0,6138.5,-12852.599999986589
fort_peck,2012-08-01,2235.85,,,15182258.499999981,10909.0,6073.9,0.0
fort_peck,2012-08-02,2235.76,,,15162979.600000046,10925.0,6149.88,-19278.89999993518
fort_peck,2012-08-03,2235.77,,,15165121.699999996,10859.0,6160.9,2142.099999949336
fort_peck,2012-08-04,2235.62,,,15132990.199999977,10986.0,6217.52,-32131.500000018626
fort_peck,2012-08-05,2235.55,,,15117995.50000004,10784.0,6036.04,-14994.699999937788
fort_peck,2012-08-06,2235.49,,,15105142.899999954,10877.0,6104.08,-12852.60000008531
fort_peck,2012-08-07,2235.49,,,15105142.899999954,10970.0,5942.95,0.0
fort_peck,2012-08-08,2235.39,,,15083721.899999972,11158.0,5855.99,-21420.999999981374
fort_peck,2012-08-09,2235.28,,,15060158.800000044,10858.0,5775.27,-23563.099999928847
fort_peck,2012-08-10,2235.27,,,15058016.699999996,10789.0,5673.43,-2142.1000000480562
fort_peck,2012-08-11,2235.22,,,15047306.199999956,11014.0,5714.33,-10710.500000039116
fort_peck,2012-08-12,2235.14,,,15030169.399999972,10939.0,5474.67,-17136.79999998398
fort_peck,2012-08-13,2235.03,,,15006606.300000044,10837.0,5939.4,-23563.099999928847
fort_peck,2012-08-14,2235.03,,,15006606.300000044,10933.0,5813.26,0.0
fort_peck,2012-08-15,2234.97,,,14993824.799999958,10844.0,5791.95,-12781.500000085682
fort_peck,2012-08-16,2234.84,,,14966285.600000031,10853.0,5620.9,-27539.19999992661
fort_peck,2012-08-17,2234.8,,,14957812.00000004,10950.0,5877.1,-8473.599999992177
fort_peck,2012-08-18,2234.73,,,14942983.200000003,10965.0,5866.1,-14828.800000036135
fort_peck,2012-08-19,2234.65,,,14926036.000000019,10973.0,5923.3,-16947.199999984354
fort_peck,2012-08-20,2234.59,,,14913325.600000031,10976.0,5726.8,-12710.399999987334
fort_peck,2012-08-21,2234.53,,,14900615.200000042,11093.0,5642.6,-12710.399999989197
fort_peck,2012-08-22,2234.47,,,14887904.799999958,11000.0,5573.8,-12710.400000084192
fort_peck,2012-08-23,2234.39,,,14870957.599999974,11087.0,5704.6,-16947.199999984354
