time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1648314363        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314373        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314383        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314393        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314404        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314414        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314424        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314434        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314444        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314455        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314465        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314475        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314485        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314499        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314515        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314533        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314551        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314568        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314584        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314599        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314614        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314629        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314644        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314659        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314674        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314689        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314703        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314718        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314733        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314748        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314759        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314770        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314780        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314790        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314801        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314811        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314821        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314831        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314842        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314852        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314862        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314872        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314882        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314893        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314903        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314913        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314923        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314933        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314944        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314954        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314964        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314974        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314984        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314994        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315005        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315015        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315025        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315035        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315045        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315055        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315065        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315076        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315086        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315096        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315106        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315116        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315126        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315136        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315147        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315157        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315167        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
