TIMESTAMP        home1-RQ         home1-RD         home1-WR         work2-RQ         work2-RD         work2-WR         scratch1-RQ      scratch1-RD      scratch1-WR      scratch2-RQ      scratch2-RD      scratch2-WR      scratch3-RQ      scratch3-RD      scratch3-WR      
1648314340        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314350        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314360        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314370        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314380        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314391        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314401        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314411        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314421        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314431        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314441        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314452        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314462        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314472        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314483        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314494        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314506        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314524        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314543        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314560        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314576        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314590        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314604        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314620        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314635        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314650        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314665        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314681        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314696        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314711        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314726        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314741        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314752        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314762        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314772        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314783        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314793        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314803        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314813        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314824        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314834        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314844        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314854        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314865        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314875        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314885        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314895        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314905        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314916        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314926        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314936        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314946        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314956        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314967        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314977        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314987        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648314997        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648315007        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648315017        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648315028        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648315038        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648315048        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1648315058        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
