time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1648314360        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314371        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314381        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314391        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314401        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314411        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314421        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314432        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314442        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314452        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314462        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314473        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314483        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314495        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314507        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314525        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314543        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314561        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314577        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314590        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314605        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314620        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314635        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314650        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314665        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314680        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314695        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314710        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314725        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314740        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314755        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314765        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314776        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314786        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314796        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314806        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314817        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314827        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314837        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314847        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314858        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314868        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314878        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314888        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314899        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314909        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314919        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314929        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314939        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314949        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314960        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314970        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314980        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314990        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315000        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315010        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315021        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315031        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315041        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315051        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315061        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315071        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315082        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315092        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315102        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315112        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315122        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315132        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315143        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
