time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1648314342        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314352        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314362        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314373        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314383        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314393        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314403        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314413        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314423        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314434        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314444        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314454        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314465        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314475        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314485        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314496        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314507        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314523        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314539        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314555        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314570        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314586        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314600        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314615        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314630        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314645        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314660        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314675        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314690        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314705        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314720        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314731        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314741        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314751        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314761        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314772        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314782        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314792        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314802        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314813        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314823        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314833        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314843        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314854        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314864        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314874        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314884        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314894        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314905        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314915        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314925        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314935        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314945        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314955        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314966        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314976        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314986        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648314996        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315006        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315016        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315027        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315037        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315047        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315057        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1648315067        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
