DateTime,isl_id,isl_qd,isl_af
1990-01-01,416.04,271.62,106880.09
1990-01-02,524.36,271.73,107305.27
1990-01-03,381.63,271.81,107447.34
1990-01-04,490.4,271.87,107805.15
1990-01-05,381.96,271.95,107947.88
1990-01-06,454.26,272.01,108234.01
1990-01-07,454.65,272.08,108520.91
1990-01-08,453.22,272.19,108804.98
1990-01-09,391.62,272.24,108949.02
1990-01-10,436.05,272.27,109167.31
1990-01-11,321.0,272.3,109167.31
1990-01-12,393.87,272.34,109311.84
1990-01-13,502.77,272.39,109672.38
1990-01-14,394.2,272.47,109817.57
1990-01-15,578.92,272.56,110329.15
1990-01-16,430.68,272.67,110546.69
1990-01-17,394.78,272.73,110693.04
1990-01-18,357.04,272.77,110764.52
1990-01-19,432.89,272.82,110986.45
1990-01-20,357.08,272.84,111058.01
1990-01-21,395.19,272.87,111205.16
1990-01-22,395.22,272.91,111352.38
1990-01-23,433.48,272.96,111575.49
1990-01-24,321.0,272.98,111575.49
1990-01-25,395.47,273.01,111723.2
1990-01-26,395.58,273.06,111871.12
1990-01-27,395.73,273.08,112019.35
1990-01-28,503.47,273.14,112381.28
1990-01-29,392.34,273.22,112522.78
1990-01-30,463.82,273.3,112806.05
1990-01-31,464.24,273.37,113090.16
1990-02-01,427.78,273.42,113301.95
1990-02-02,392.86,273.47,113444.48
1990-02-03,393.01,273.5,113587.3
1990-02-04,321.0,273.53,113587.3
1990-02-05,430.01,273.56,113803.52
1990-02-06,464.73,273.61,114086.63
1990-02-07,391.36,273.68,114230.15
1990-02-08,424.63,273.72,114447.59
1990-02-09,495.77,273.79,114806.15
1990-02-10,387.88,273.86,114950.7
1990-02-11,352.29,273.88,115024.67
1990-02-12,432.6,273.9,115240.08
1990-02-13,364.46,273.95,115314.38
1990-02-14,435.87,273.99,115530.32
1990-02-15,364.55,274.32,115604.8
1990-02-16,471.93,274.06,115892.27
1990-02-17,511.92,274.17,116259.06
1990-02-18,400.73,274.22,116405.31
1990-02-19,327.0,274.23,116405.31
1990-02-20,327.0,274.25,116405.31
1990-02-21,400.83,274.26,116551.74
1990-02-22,360.08,274.28,116623.3
1990-02-23,395.03,274.3,116770.14
1990-02-24,358.89,274.33,116845.29
1990-02-25,395.17,274.36,116992.41
1990-02-26,357.14,274.38,117064.1
1990-02-27,321.0,274.4,117064.1
1990-02-28,359.05,269.92,117139.58
1990-03-01,427.59,262.6,117358.94
1990-03-02,389.43,262.64,117506.57
1990-03-03,464.21,262.7,117802.52
1990-03-04,416.22,262.75,118023.13
1990-03-05,578.41,262.85,118545.6
1990-03-06,351.63,262.91,118618.25
1990-03-07,390.29,262.93,118767.59
1990-03-08,465.75,262.97,119066.59
1990-03-09,353.7,263.01,119143.36
1990-03-10,315.0,263.03,119143.36
