#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1648314289        0.109550          0.109550          0.003002          0.003002          0.000000          181.448000        0.003002         
1648314300        0.109550          0.109550          0.003056          0.003056          0.000000          181.446000        0.003056         
1648314310        0.109550          0.109550          0.003056          0.003056          0.000000          181.444000        0.003056         
1648314320        0.109550          0.109550          0.003056          0.003056          0.000000          181.444000        0.003056         
1648314330        0.109550          0.109550          0.003059          0.003059          0.000000          181.446000        0.003059         
1648314340        0.109550          0.109550          0.003059          0.003059          0.000000          181.443000        0.003059         
1648314350        0.109550          0.109550          0.003059          0.003059          0.000000          181.445000        0.003059         
1648314360        0.109550          0.109550          0.003059          0.003059          0.000000          181.444000        0.003059         
1648314371        28.038900         28.038900         0.822170          0.822170          0.000000          180.648000        0.822170         
1648314381        28.586000         28.586000         1.043420          1.043420          0.000000          180.442000        1.043420         
1648314391        28.848900         28.848900         1.218830          1.218830          0.000000          180.263000        1.218830         
1648314401        30.823600         30.823600         1.300270          1.300270          0.000000          180.198000        1.300270         
1648314411        31.307500         31.307500         1.721190          1.721190          0.000000          179.705000        1.721190         
1648314421        35.658100         35.658100         5.876080          5.876080          0.000000          175.335000        5.876080         
1648314432        36.720800         36.720800         7.152400          7.152400          0.000000          174.177000        7.152400         
1648314442        37.767800         37.767800         7.856430          7.856430          0.000000          173.370000        7.856430         
1648314452        38.110300         38.110300         8.373310          8.373310          0.000000          172.974000        8.373310         
1648314463        38.110300         37.975700         8.373310          8.239150          0.000000          173.085000        8.373310         
1648314473        38.110300         37.874400         8.373310          8.137690          0.000000          173.184000        8.373310         
1648314483        38.110300         38.031300         8.373310          8.295170          0.000000          173.026000        8.373310         
1648314493        48.648100         48.648100         10.049900         10.049900         0.634000          170.977000        10.683900        
1648314505        49.558300         49.558300         10.665500         10.665500         0.634000          170.339000        11.299500        
1648314517        63.697800         63.697800         12.897900         12.897900         1.491200          167.662000        14.389100        
1648314536        67.059100         67.059100         13.914900         13.914900         1.491200          166.939000        15.406100        
1648314552        68.220600         68.220600         14.417400         14.417400         1.491200          166.439000        15.908600        
1648314570        72.600400         72.600400         15.216400         15.216400         1.491200          165.738000        16.707600        
1648314584        74.651000         74.651000         15.799600         15.799600         1.491200          165.367000        17.290800        
1648314598        82.532100         82.532100         16.647900         16.647900         1.491200          164.688000        18.139100        
1648314613        82.576000         82.576000         16.703200         16.703200         1.491200          164.622000        18.194400        
1648314628        82.639100         82.639100         16.786200         16.786200         1.491200          164.528000        18.277400        
1648314643        82.678400         82.678400         16.837700         16.837700         1.491200          164.490000        18.328900        
1648314658        82.722700         82.722700         16.894800         16.894800         1.491200          164.431000        18.386000        
1648314673        82.732600         82.732600         16.915500         16.915500         1.491200          164.400000        18.406700        
1648314688        82.857800         82.857800         17.090300         17.090300         1.491200          164.240000        18.581500        
1648314703        82.880800         82.880800         17.123400         17.123400         1.491200          164.141000        18.614600        
1648314717        82.960500         82.960500         17.234000         17.234000         1.491200          164.094000        18.725200        
1648314732        82.960700         82.960700         17.247700         17.247700         1.491200          164.073000        18.738900        
1648314745        82.960700         82.751500         17.254000         17.254000         1.491200          164.069000        18.745200        
1648314755        82.960700         82.091900         17.254000         17.239300         1.491200          164.075000        18.745200        
1648314766        82.960700         82.318200         17.259200         17.259200         1.491200          164.063000        18.750400        
1648314776        82.960700         80.045900         17.259200         17.167600         1.491200          164.145000        18.750400        
1648314786        82.960700         79.356100         17.259200         17.130800         1.491200          164.180000        18.750400        
1648314796        82.960700         77.759700         17.259200         17.035300         1.491200          164.267000        18.750400        
1648314807        82.960700         76.639200         17.259200         16.986900         1.491200          164.306000        18.750400        
1648314817        82.960700         75.955400         17.259200         16.948700         1.491200          164.344000        18.750400        
1648314827        82.960700         74.828200         17.259200         16.881800         1.491200          164.402000        18.750400        
1648314837        82.960700         70.089200         17.259200         15.266700         1.282000          166.032000        18.750400        
1648314848        82.960700         69.631800         17.259200         15.238500         1.282000          166.058000        18.750400        
1648314858        82.960700         68.381800         17.259200         15.266000         1.066300          166.242000        18.750400        
1648314868        82.960700         54.276700         17.259200         10.314400         0.635400          171.048000        18.750400        
1648314878        82.960700         52.964700         17.259200         9.644760          0.426100          171.927000        18.750400        
1648314889        82.960700         44.818800         17.259200         7.095670          0.213300          174.301000        18.750400        
1648314899        82.960700         44.818800         17.259200         7.095670          0.213300          174.305000        18.750400        
1648314909        82.960700         40.303300         17.259200         5.488910          0.000000          175.930000        18.750400        
1648314919        82.960700         40.303300         17.259200         5.489170          0.000000          175.934000        18.750400        
1648314929        82.960700         40.303300         17.259200         5.489490          0.000000          175.934000        18.750400        
1648314940        82.960700         40.303300         17.259200         5.489580          0.000000          175.934000        18.750400        
1648314950        82.960700         40.303300         17.259200         5.489610          0.000000          175.935000        18.750400        
1648314960        82.960700         40.303300         17.259200         5.489610          0.000000          175.933000        18.750400        
1648314970        82.960700         40.303300         17.259200         5.489610          0.000000          175.934000        18.750400        
1648314980        82.960700         40.303300         17.259200         5.489610          0.000000          175.934000        18.750400        
