#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1648314361        0.109550          0.109550          0.003002          0.003002          0.000000          181.599000        0.003002         
1648314371        28.036200         28.036200         0.824196          0.824196          0.000000          180.791000        0.824196         
1648314381        28.597500         28.597500         1.070170          1.070170          0.000000          180.557000        1.070170         
1648314391        28.854400         28.854400         1.221260          1.221260          0.000000          180.409000        1.221260         
1648314401        30.818900         30.818900         1.304350          1.304350          0.000000          180.340000        1.304350         
1648314412        31.299200         31.299200         1.724020          1.724020          0.000000          179.855000        1.724020         
1648314422        34.980500         34.980500         5.421510          5.421510          0.000000          176.028000        5.421510         
1648314432        36.667900         36.667900         7.109740          7.109740          0.000000          174.368000        7.109740         
1648314442        37.583600         37.583600         7.679680          7.679680          0.000000          173.875000        7.679680         
1648314452        37.949000         37.949000         8.197570          8.197570          0.000000          173.267000        8.197570         
1648314463        37.949000         37.883400         8.197570          8.140600          0.000000          173.330000        8.197570         
1648314473        37.949000         37.909900         8.197570          8.167280          0.000000          173.301000        8.197570         
1648314483        37.962100         37.962100         8.219820          8.219820          0.000000          173.250000        8.219820         
1648314494        51.284700         51.284700         10.005000         10.005000         0.852400          170.906000        10.857400        
1648314507        52.806700         52.806700         10.980000         10.980000         0.852400          170.085000        11.832400        
1648314520        63.279500         63.279500         12.673700         12.673700         1.486300          168.088000        14.160000        
1648314538        64.382600         64.382600         13.441300         13.441300         1.486300          167.358000        14.927600        
1648314556        66.595900         66.595900         14.219800         14.219800         1.486300          166.823000        15.706100        
1648314575        67.537000         67.537000         14.817100         14.817100         1.486300          166.150000        16.303400        
1648314592        76.688400         76.688400         15.970600         15.970600         1.486300          165.416000        17.456900        
1648314604        82.381500         82.381500         16.524300         16.524300         1.486300          164.955000        18.010600        
1648314619        82.407300         82.407300         16.565600         16.565600         1.486300          164.909000        18.051900        
1648314633        82.478100         82.478100         16.661800         16.661800         1.486300          164.813000        18.148100        
1648314648        82.504200         82.504200         16.698600         16.698600         1.486300          164.784000        18.184900        
1648314663        82.508000         82.508000         16.707000         16.707000         1.486300          164.777000        18.193300        
1648314678        82.555500         82.555500         16.777300         16.777300         1.486300          164.707000        18.263600        
1648314693        82.638300         82.638300         16.888900         16.888900         1.486300          164.581000        18.375200        
1648314707        82.746800         82.746800         17.033500         17.033500         1.486300          164.436000        18.519800        
1648314722        82.757100         82.757100         17.061200         17.061200         1.486300          164.418000        18.547500        
1648314737        82.757100         82.755700         17.067200         17.067200         1.486300          164.405000        18.553500        
1648314751        82.757100         82.755700         17.080900         17.080900         1.486300          164.397000        18.567200        
1648314766        82.757100         82.755700         17.089900         17.089900         1.486300          164.396000        18.576200        
1648314781        82.757100         82.525100         17.089900         17.089400         1.486300          164.387000        18.576200        
1648314792        82.757100         81.168900         17.089900         17.028000         1.486300          164.442000        18.576200        
1648314802        82.757100         80.066500         17.089900         17.011400         1.486300          164.454000        18.576200        
1648314812        82.757100         79.179200         17.089900         16.987000         1.486300          164.474000        18.576200        
1648314822        82.757100         78.505600         17.089900         16.946400         1.486300          164.509000        18.576200        
1648314833        82.757100         76.481900         17.089900         16.856200         1.486300          164.585000        18.576200        
1648314843        82.757100         74.681500         17.089900         16.763500         1.486300          164.670000        18.576200        
1648314853        82.757100         74.228700         17.089900         16.745600         1.486300          164.684000        18.576200        
1648314864        82.757100         69.337100         17.089900         15.186700         1.271500          166.264000        18.576200        
1648314874        82.757100         59.657600         17.089900         11.959100         0.842900          169.533000        18.576200        
1648314884        82.757100         59.431800         17.089900         11.941500         0.842900          169.551000        18.576200        
1648314894        82.757100         58.981400         17.089900         11.913700         0.842900          169.574000        18.576200        
1648314904        82.757100         53.821800         17.089900         10.301100         0.630100          171.203000        18.576200        
1648314915        82.757100         49.348600         17.089900         8.728070          0.422700          172.796000        18.576200        
1648314925        82.757100         49.346600         17.089900         8.726270          0.422700          172.796000        18.576200        
1648314935        82.757100         44.982600         17.089900         7.264120          0.211200          174.278000        18.576200        
1648314945        82.757100         40.616500         17.089900         5.797350          0.000000          175.766000        18.576200        
1648314955        82.757100         40.616500         17.089900         5.797370          0.000000          175.766000        18.576200        
1648314966        82.757100         40.616500         17.089900         5.797450          0.000000          175.767000        18.576200        
1648314976        82.757100         40.616500         17.089900         5.797450          0.000000          175.765000        18.576200        
1648314986        82.757100         0.109673          17.089900         0.003139          0.000000          181.248000        18.576200        
1648314996        82.757100         0.109673          17.089900         0.003143          0.000000          181.251000        18.576200        
1648315006        82.757100         0.109673          17.089900         0.003143          0.000000          181.252000        18.576200        
1648315016        82.757100         0.109673          17.089900         0.003143          0.000000          181.253000        18.576200        
1648315027        82.757100         0.109673          17.089900         0.003143          0.000000          181.253000        18.576200        
1648315037        82.757100         0.109673          17.089900         0.003143          0.000000          181.253000        18.576200        
1648315047        82.757100         0.109673          17.089900         0.003143          0.000000          181.254000        18.576200        
1648315057        82.757100         0.109673          17.089900         0.003143          0.000000          181.253000        18.576200        
1648315067        82.757100         0.109673          17.089900         0.003143          0.000000          181.253000        18.576200        
1648315077        82.757100         0.109673          17.089900         0.003143          0.000000          181.253000        18.576200        
1648315087        82.757100         0.109673          17.089900         0.003143          0.000000          181.254000        18.576200        
1648315098        82.757100         0.109673          17.089900         0.003143          0.000000          181.254000        18.576200        
1648315108        82.757100         0.109673          17.089900         0.003143          0.000000          181.255000        18.576200        
1648315118        82.757100         0.109673          17.089900         0.003143          0.000000          181.255000        18.576200        
1648315128        82.757100         0.109673          17.089900         0.003143          0.000000          181.254000        18.576200        
1648315138        82.757100         0.109673          17.089900         0.003143          0.000000          181.255000        18.576200        
1648315148        82.757100         0.109673          17.089900         0.003143          0.000000          181.252000        18.576200        
