#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1648314328        0.109550          0.109550          0.003002          0.003002          0.000000          181.344000        0.003002         
1648314338        0.109550          0.109550          0.003056          0.003056          0.000000          181.342000        0.003056         
1648314348        0.109550          0.109550          0.003056          0.003056          0.000000          181.341000        0.003056         
1648314358        0.109550          0.109550          0.003056          0.003056          0.000000          181.342000        0.003056         
1648314368        26.360900         26.360900         0.800983          0.800983          0.000000          180.559000        0.800983         
1648314379        28.531200         28.531200         1.010610          1.010610          0.000000          180.365000        1.010610         
1648314389        28.808300         28.808300         1.204990          1.204990          0.000000          180.169000        1.204990         
1648314399        30.773600         30.773600         1.278770          1.278770          0.000000          180.111000        1.278770         
1648314409        31.217900         31.217900         1.638590          1.638590          0.000000          179.699000        1.638590         
1648314419        34.333200         34.333200         4.750340          4.750340          0.000000          176.454000        4.750340         
1648314429        36.645200         36.645200         7.096580          7.096580          0.000000          174.129000        7.096580         
1648314440        37.483700         37.483700         7.660730          7.660730          0.000000          173.606000        7.660730         
1648314450        37.986200         37.986200         8.247780          8.247780          0.000000          172.955000        8.247780         
1648314460        37.986200         37.875400         8.247780          8.152190          0.000000          173.070000        8.247780         
1648314471        37.986200         37.834400         8.247780          8.111310          0.000000          173.109000        8.247780         
1648314481        38.076500         38.076500         8.352910          8.352910          0.000000          172.865000        8.352910         
1648314491        55.227100         55.227100         11.346200         11.346200         0.841800          169.605000        12.188000        
1648314503        57.222600         57.222600         12.198300         12.198300         0.841800          168.445000        13.040100        
1648314516        65.664600         65.664600         13.621600         13.621600         1.258200          166.857000        14.879800        
1648314531        70.368500         70.368500         14.637600         14.637600         1.474600          166.238000        16.112200        
1648314547        72.533900         72.533900         15.259400         15.259400         1.474600          165.671000        16.734000        
1648314562        76.134800         76.134800         15.935500         15.935500         1.474600          165.172000        17.410100        
1648314575        82.444300         82.444300         16.713100         16.713100         1.474600          164.545000        18.187700        
1648314590        82.456900         82.456900         16.729300         16.729300         1.474600          164.519000        18.203900        
1648314605        82.519300         82.519300         16.815100         16.815100         1.474600          164.425000        18.289700        
1648314620        82.578200         82.578200         16.886400         16.886400         1.474600          164.347000        18.361000        
1648314635        82.609500         82.609500         16.932300         16.932300         1.474600          164.290000        18.406900        
1648314650        82.635000         82.635000         16.979000         16.979000         1.474600          164.265000        18.453600        
1648314665        82.697100         82.697100         17.061900         17.061900         1.474600          164.184000        18.536500        
1648314680        82.739900         82.739900         17.121600         17.121600         1.474600          164.095000        18.596200        
1648314694        82.846000         82.846000         17.261100         17.261100         1.474600          163.979000        18.735700        
1648314709        82.850300         82.850300         17.278700         17.278700         1.474600          163.977000        18.753300        
1648314722        82.850300         81.953500         17.278700         17.248900         1.474600          163.990000        18.753300        
1648314733        82.850300         81.509100         17.278700         17.234600         1.474600          164.002000        18.753300        
1648314743        82.850300         80.830800         17.278700         17.193000         1.474600          164.044000        18.753300        
1648314753        82.850300         80.829500         17.278700         17.203800         1.474600          164.031000        18.753300        
1648314763        82.850300         80.164400         17.278700         17.182800         1.474600          164.051000        18.753300        
1648314774        82.850300         79.044800         17.278700         17.133600         1.474600          164.094000        18.753300        
1648314784        82.850300         78.408500         17.278700         17.134300         1.474600          164.091000        18.753300        
1648314794        82.850300         77.494600         17.278700         17.085300         1.474600          164.135000        18.753300        
1648314804        82.850300         76.140600         17.278700         16.993400         1.474600          164.219000        18.753300        
1648314815        82.850300         75.471300         17.278700         16.962300         1.474600          164.249000        18.753300        
1648314825        82.850300         75.013500         17.278700         16.933000         1.474600          164.277000        18.753300        
1648314835        82.850300         70.149700         17.278700         15.407400         1.048000          166.035000        18.753300        
1648314845        82.850300         64.189300         17.278700         13.622700         1.048000          167.618000        18.753300        
1648314856        82.850300         59.546900         17.278700         12.092500         0.839000          169.165000        18.753300        
1648314866        82.850300         54.599300         17.278700         10.468500         0.626200          170.807000        18.753300        
1648314876        82.850300         54.150600         17.278700         10.437700         0.626200          170.834000        18.753300        
1648314886        82.850300         53.711600         17.278700         10.423700         0.419000          171.043000        18.753300        
1648314896        82.850300         40.496000         17.278700         5.699210          0.000000          175.619000        18.753300        
1648314907        82.850300         40.496000         17.278700         5.699210          0.000000          175.623000        18.753300        
1648314917        82.850300         40.496000         17.278700         5.699420          0.000000          175.624000        18.753300        
1648314927        82.850300         40.496000         17.278700         5.699420          0.000000          175.624000        18.753300        
1648314937        82.850300         40.496000         17.278700         5.699920          0.000000          175.622000        18.753300        
1648314947        82.850300         40.496000         17.278700         5.699920          0.000000          175.623000        18.753300        
1648314958        82.850300         40.496000         17.278700         5.700000          0.000000          175.622000        18.753300        
1648314968        82.850300         40.496000         17.278700         5.700000          0.000000          175.623000        18.753300        
1648314978        82.850300         40.496000         17.278700         5.700200          0.000000          175.625000        18.753300        
1648314988        82.850300         0.109673          17.278700         0.003147          0.000000          181.010000        18.753300        
1648314998        82.850300         0.109673          17.278700         0.003147          0.000000          181.011000        18.753300        
1648315008        82.850300         0.109673          17.278700         0.003147          0.000000          181.010000        18.753300        
1648315018        82.850300         0.109673          17.278700         0.003147          0.000000          181.012000        18.753300        
