#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1648314322        0.109550          0.109550          0.002998          0.002998          0.000000          180.991000        0.002998         
1648314333        0.109550          0.109550          0.003052          0.003052          0.000000          180.992000        0.003052         
1648314343        0.109550          0.109550          0.003052          0.003052          0.000000          180.991000        0.003052         
1648314353        0.109550          0.109550          0.003052          0.003052          0.000000          180.990000        0.003052         
1648314363        0.109550          0.109550          0.003052          0.003052          0.000000          180.991000        0.003052         
1648314373        28.305900         28.305900         0.903633          0.903633          0.000000          180.118000        0.903633         
1648314384        28.650300         28.650300         1.108660          1.108660          0.000000          179.918000        1.108660         
1648314394        30.702600         30.702600         1.248910          1.248910          0.000000          179.787000        1.248910         
1648314404        30.874000         30.874000         1.337770          1.337770          0.000000          179.707000        1.337770         
1648314414        31.940700         31.940700         2.304050          2.304050          0.000000          178.597000        2.304050         
1648314424        36.507700         36.507700         6.964860          6.964860          0.000000          173.914000        6.964860         
1648314434        36.725000         36.725000         7.182440          7.182440          0.000000          173.695000        7.182440         
1648314445        37.789600         37.789600         8.061680          8.061680          0.000000          172.670000        8.061680         
1648314455        37.789600         37.753500         8.061680          8.037090          0.000000          172.823000        8.061680         
1648314465        37.883300         37.883300         8.175480          8.175480          0.000000          172.692000        8.175480         
1648314475        37.896700         37.896700         8.189140          8.189140          0.000000          172.679000        8.189140         
1648314486        45.112000         45.112000         9.497100          9.497100          0.420000          171.172000        9.917100         
1648314496        56.106200         56.106200         11.345800         11.345800         1.060100          168.970000        12.405900        
1648314511        63.959600         63.959600         12.933700         12.933700         1.479600          167.166000        14.413300        
1648314529        66.931900         66.931900         13.929600         13.929600         1.479600          166.445000        15.409200        
1648314546        67.894700         67.894700         14.424900         14.424900         1.479600          165.981000        15.904500        
1648314563        71.432500         71.432500         15.179300         15.179300         1.479600          165.412000        16.658900        
1648314579        76.640700         76.640700         16.049700         16.049700         1.479600          164.742000        17.529300        
1648314593        82.423000         82.423000         16.656900         16.656900         1.479600          164.245000        18.136500        
1648314608        82.430100         82.430100         16.668200         16.668200         1.479600          164.217000        18.147800        
1648314622        82.464800         82.464800         16.717700         16.717700         1.479600          164.175000        18.197300        
1648314637        82.505500         82.505500         16.772200         16.772200         1.479600          164.117000        18.251800        
1648314652        82.533700         82.533700         16.810000         16.810000         1.479600          164.080000        18.289600        
1648314667        82.552200         82.552200         16.840800         16.840800         1.479600          164.037000        18.320400        
1648314682        82.552200         82.437500         16.962400         16.962400         1.479600          163.909000        18.442000        
1648314697        82.697000         82.697000         17.039800         17.039800         1.479600          163.868000        18.519400        
1648314711        82.767900         82.767900         17.136900         17.136900         1.479600          163.734000        18.616500        
1648314726        82.767900         82.549700         17.150200         17.150200         1.479600          163.728000        18.629800        
1648314737        82.767900         81.894900         17.150200         17.139800         1.479600          163.739000        18.629800        
1648314747        82.767900         81.895100         17.150200         17.143900         1.479600          163.737000        18.629800        
1648314758        82.767900         81.892900         17.150200         17.148200         1.479600          163.744000        18.629800        
1648314768        82.767900         81.436700         17.150200         17.141200         1.479600          163.741000        18.629800        
1648314778        82.767900         81.025800         17.165300         17.165300         1.479600          163.713000        18.644900        
1648314789        82.767900         80.348300         17.165300         17.123800         1.479600          163.752000        18.644900        
1648314799        82.767900         78.578400         17.165300         17.072300         1.479600          163.795000        18.644900        
1648314809        82.767900         77.682600         17.165300         17.027200         1.479600          163.837000        18.644900        
1648314819        82.767900         77.011700         17.165300         16.992700         1.479600          163.866000        18.644900        
1648314830        82.767900         76.114100         17.165300         16.947400         1.479600          163.907000        18.644900        
1648314840        82.767900         75.667400         17.165300         16.921000         1.479600          163.927000        18.644900        
1648314850        82.767900         69.401200         17.165300         15.276200         1.268800          165.581000        18.644900        
1648314860        82.767900         68.723100         17.165300         15.231400         1.268800          165.622000        18.644900        
1648314871        82.767900         68.057900         17.165300         15.208900         1.055200          165.829000        18.644900        
1648314881        82.767900         63.624500         17.165300         13.682900         1.055200          167.185000        18.644900        
1648314891        82.767900         54.591000         17.165300         10.452500         0.635700          170.454000        18.644900        
1648314901        82.767900         54.367700         17.165300         10.441600         0.635700          170.468000        18.644900        
1648314912        82.767900         53.924900         17.165300         10.424000         0.635700          170.481000        18.644900        
1648314922        82.767900         45.096500         17.165300         7.406340          0.209300          173.539000        18.644900        
1648314932        82.767900         44.878400         17.165300         7.400370          0.000000          173.749000        18.644900        
1648314942        82.767900         40.628300         17.165300         5.841060          0.000000          175.126000        18.644900        
1648314952        82.767900         40.628300         17.165300         5.841160          0.000000          175.124000        18.644900        
1648314963        82.767900         40.628300         17.165300         5.841160          0.000000          175.126000        18.644900        
1648314973        82.767900         40.628300         17.165300         5.841160          0.000000          175.126000        18.644900        
1648314983        82.767900         0.109673          17.165300         0.003147          0.000000          180.653000        18.644900        
1648314993        82.767900         0.109673          17.165300         0.003147          0.000000          180.653000        18.644900        
1648315003        82.767900         0.109673          17.165300         0.003147          0.000000          180.654000        18.644900        
