#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1648314299        0.109550          0.109550          0.003002          0.003002          0.000000          181.820000        0.003002         
1648314309        0.109550          0.109550          0.003052          0.003052          0.000000          181.819000        0.003052         
1648314320        0.109550          0.109550          0.003052          0.003052          0.000000          181.818000        0.003052         
1648314330        0.109550          0.109550          0.003052          0.003052          0.000000          181.819000        0.003052         
1648314340        0.109550          0.109550          0.003052          0.003052          0.000000          181.819000        0.003052         
1648314350        0.109550          0.109550          0.003056          0.003056          0.000000          181.820000        0.003056         
1648314360        0.109550          0.109550          0.003056          0.003056          0.000000          181.821000        0.003056         
1648314370        28.026800         28.026800         0.850708          0.850708          0.000000          180.989000        0.850708         
1648314380        28.570300         28.570300         1.057110          1.057110          0.000000          180.801000        1.057110         
1648314391        28.832800         28.832800         1.239320          1.239320          0.000000          180.610000        1.239320         
1648314401        30.813200         30.813200         1.327840          1.327840          0.000000          180.538000        1.327840         
1648314411        31.299300         31.299300         1.753610          1.753610          0.000000          180.045000        1.753610         
1648314421        35.089800         35.089800         5.486400          5.486400          0.000000          176.181000        5.486400         
1648314431        36.705200         36.705200         7.176350          7.176350          0.000000          174.522000        7.176350         
1648314441        37.797900         37.797900         8.006470          8.006470          0.000000          173.741000        8.006470         
1648314452        38.010700         38.010700         8.308210          8.308210          0.000000          173.356000        8.308210         
1648314462        38.010700         37.923900         8.308210          8.222390          0.000000          173.475000        8.308210         
1648314473        38.010700         37.933900         8.308210          8.231970          0.000000          173.462000        8.308210         
1648314483        38.010700         37.948800         8.308210          8.247130          0.000000          173.444000        8.308210         
1648314494        51.513400         51.513400         10.133600         10.133600         0.859900          170.990000        10.993500        
1648314507        52.863900         52.863900         11.067500         11.067500         0.859900          170.044000        11.927400        
1648314520        63.502000         63.502000         12.921000         12.921000         1.494500          168.090000        14.415500        
1648314538        64.873300         64.873300         13.607900         13.607900         1.494500          167.518000        15.102400        
1648314556        66.462100         66.462100         14.228700         14.228700         1.494500          166.938000        15.723200        
1648314574        69.176600         69.176600         14.875000         14.875000         1.494500          166.365000        16.369500        
1648314591        76.621900         76.621900         15.914600         15.914600         1.494500          165.650000        17.409100        
1648314603        82.454000         82.454000         16.546000         16.546000         1.494500          165.126000        18.040500        
1648314618        82.454000         82.248600         16.566900         16.566900         1.494500          165.084000        18.061400        
1648314633        82.559100         82.559100         16.693700         16.693700         1.494500          164.975000        18.188200        
1648314648        82.595000         82.595000         16.746200         16.746200         1.494500          164.926000        18.240700        
1648314663        82.599700         82.599700         16.755900         16.755900         1.494500          164.917000        18.250400        
1648314678        82.652400         82.652400         16.830000         16.830000         1.494500          164.832000        18.324500        
1648314693        82.680000         82.680000         16.878100         16.878100         1.494500          164.763000        18.372600        
1648314707        82.743200         82.743200         16.979000         16.979000         1.494500          164.693000        18.473500        
1648314722        82.754500         82.754500         17.000400         17.000400         1.494500          164.668000        18.494900        
1648314737        82.765900         82.765900         17.028300         17.028300         1.494500          164.643000        18.522800        
1648314752        82.765900         82.536200         17.028700         17.028700         1.494500          164.641000        18.523200        
1648314762        82.765900         82.536200         17.030500         17.030500         1.494500          164.639000        18.525000        
1648314773        82.765900         82.083200         17.030500         17.028500         1.494500          164.641000        18.525000        
1648314783        82.765900         81.870100         17.041800         17.041800         1.494500          164.628000        18.536300        
1648314794        82.765900         79.594500         17.041800         16.938500         1.494500          164.721000        18.536300        
1648314804        82.765900         78.937200         17.041800         16.930700         1.494500          164.722000        18.536300        
1648314814        82.765900         76.952400         17.041800         16.883100         1.494500          164.762000        18.536300        
1648314824        82.765900         75.862700         17.041800         16.852600         1.494500          164.784000        18.536300        
1648314835        82.765900         75.636300         17.041800         16.843900         1.494500          164.791000        18.536300        
1648314845        82.765900         74.276100         17.041800         16.776900         1.494500          164.846000        18.536300        
1648314855        82.765900         74.046100         17.041800         16.762200         1.494500          164.859000        18.536300        
1648314865        82.765900         72.466200         17.041800         16.674900         1.494500          164.944000        18.536300        
1648314876        82.765900         72.307400         17.041800         16.734000         1.278400          165.089000        18.536300        
1648314886        82.765900         58.653100         17.041800         12.010900         0.638900          169.866000        18.536300        
1648314896        82.765900         53.860700         17.041800         10.338600         0.638800          171.366000        18.536300        
1648314906        82.765900         44.817400         17.041800         7.108670          0.210400          174.637000        18.536300        
1648314917        82.765900         44.591600         17.041800         7.096710          0.000000          174.862000        18.536300        
1648314927        82.765900         40.351900         17.041800         5.549950          0.000000          176.219000        18.536300        
1648314937        82.765900         40.351900         17.041800         5.550030          0.000000          176.221000        18.536300        
1648314947        82.765900         40.351900         17.041800         5.550030          0.000000          176.219000        18.536300        
1648314957        82.765900         40.351900         17.041800         5.550030          0.000000          176.219000        18.536300        
1648314967        82.765900         40.351900         17.041800         5.550210          0.000000          176.219000        18.536300        
1648314978        82.765900         40.351900         17.041800         5.550320          0.000000          176.218000        18.536300        
1648314988        82.765900         0.109673          17.041800         0.003143          0.000000          181.453000        18.536300        
