#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1648314360        0.109550          0.109550          0.003002          0.003002          0.000000          181.344000        0.003002         
1648314370        29.416700         29.416700         0.859749          0.859749          0.000000          180.533000        0.859749         
1648314380        29.958200         29.958200         1.061950          1.061950          0.000000          180.349000        1.061950         
1648314390        30.227000         30.227000         1.248000          1.248000          0.000000          180.158000        1.248000         
1648314400        32.194400         32.194400         1.338930          1.338930          0.000000          180.082000        1.338930         
1648314411        32.689500         32.689500         1.761690          1.761690          0.000000          179.592000        1.761690         
1648314421        35.947600         35.947600         5.036620          5.036620          0.000000          176.222000        5.036620         
1648314431        38.020500         38.020500         7.111130          7.111130          0.000000          174.144000        7.111130         
1648314441        38.975500         38.975500         7.722390          7.722390          0.000000          173.513000        7.722390         
1648314451        39.409700         39.409700         8.301690          8.301690          0.000000          172.922000        8.301690         
1648314462        39.409700         39.258800         8.301690          8.191230          0.000000          173.059000        8.301690         
1648314472        39.409700         39.276200         8.301690          8.209980          0.000000          173.038000        8.301690         
1648314482        39.417000         39.417000         8.347180          8.347180          0.000000          172.901000        8.347180         
1648314492        53.322500         53.322500         10.503900         10.503900         0.846500          170.304000        11.350400        
1648314506        54.767300         54.767300         11.519500         11.519500         0.846500          168.603000        12.366000        
1648314520        65.680900         65.680900         13.267100         13.267100         1.485600          167.404000        14.752700        
1648314539        67.115100         67.115100         13.980700         13.980700         1.485600          166.673000        15.466300        
1648314557        70.207700         70.207700         14.697500         14.697500         1.485600          166.133000        16.183100        
1648314575        73.117800         73.117800         15.487100         15.487100         1.485600          165.487000        16.972700        
1648314591        83.825500         83.825500         16.646000         16.646000         1.485600          164.622000        18.131600        
1648314605        83.832900         83.832900         16.658200         16.658200         1.485600          164.588000        18.143800        
1648314620        83.882200         83.882200         16.727600         16.727600         1.485600          164.533000        18.213200        
1648314635        83.972900         83.972900         16.842900         16.842900         1.485600          164.422000        18.328500        
1648314650        83.994500         83.994500         16.877900         16.877900         1.485600          164.384000        18.363500        
1648314666        84.026400         84.026400         16.919600         16.919600         1.485600          164.336000        18.405200        
1648314681        84.091700         84.091700         17.006900         17.006900         1.485600          164.235000        18.492500        
1648314696        84.137100         84.137100         17.077700         17.077700         1.485600          164.177000        18.563300        
1648314711        84.224600         84.224600         17.188200         17.188200         1.485600          164.064000        18.673800        
1648314727        84.224600         84.218400         17.200400         17.200400         1.485600          164.053000        18.686000        
1648314742        84.224600         84.216700         17.216500         17.216500         1.485600          164.040000        18.702100        
1648314757        84.224600         83.786700         17.231800         17.231800         1.485600          164.022000        18.717400        
1648314768        84.224600         83.107100         17.231800         17.204000         1.485600          164.045000        18.717400        
1648314778        84.224600         82.244900         17.231800         17.201300         1.485600          164.044000        18.717400        
1648314788        84.224600         81.355600         17.231800         17.175300         1.485600          164.065000        18.717400        
1648314798        84.224600         79.986200         17.231800         17.096200         1.485600          164.138000        18.717400        
1648314809        84.224600         78.659200         17.231800         17.043800         1.485600          164.182000        18.717400        
1648314819        84.224600         78.203700         17.231800         17.013800         1.485600          164.205000        18.717400        
1648314829        84.224600         77.525200         17.231800         16.976800         1.485600          164.240000        18.717400        
1648314839        84.224600         76.041500         17.231800         16.993500         1.275600          164.420000        18.717400        
1648314850        84.224600         66.751300         17.231800         13.736500         1.058400          167.517000        18.717400        
1648314860        84.224600         66.298500         17.231800         13.713800         1.058400          167.536000        18.717400        
1648314870        84.224600         61.242700         17.231800         11.990300         0.843700          169.279000        18.717400        
1648314880        84.224600         59.971100         17.231800         11.996800         0.631800          169.478000        18.717400        
1648314891        84.224600         50.869600         17.231800         8.702780          0.421800          172.600000        18.717400        
1648314901        84.224600         50.869600         17.231800         8.702860          0.421800          172.596000        18.717400        
1648314911        84.224600         46.406900         17.231800         7.149690          0.208500          174.172000        18.717400        
1648314921        84.224600         46.406900         17.231800         7.149720          0.208500          174.173000        18.717400        
1648314931        84.224600         46.406900         17.231800         7.149720          0.208500          174.172000        18.717400        
1648314942        84.224600         46.183000         17.231800         7.139070          0.208500          174.181000        18.717400        
1648314952        84.224600         41.762500         17.231800         5.618110          0.000000          175.719000        18.717400        
1648314962        84.224600         41.762500         17.231800         5.618150          0.000000          175.718000        18.717400        
1648314972        84.224600         41.762500         17.231800         5.618150          0.000000          175.718000        18.717400        
1648314982        84.224600         0.109673          17.231800         0.003151          0.000000          180.994000        18.717400        
1648314992        84.224600         0.109673          17.231800         0.003151          0.000000          180.993000        18.717400        
1648315003        84.224600         0.109673          17.231800         0.003151          0.000000          180.994000        18.717400        
1648315013        84.224600         0.109673          17.231800         0.003151          0.000000          180.995000        18.717400        
1648315023        84.224600         0.109673          17.231800         0.003151          0.000000          180.997000        18.717400        
1648315033        84.224600         0.109673          17.231800         0.003151          0.000000          180.996000        18.717400        
1648315043        84.224600         0.109673          17.231800         0.003151          0.000000          180.995000        18.717400        
1648315053        84.224600         0.109673          17.231800         0.003151          0.000000          180.997000        18.717400        
1648315063        84.224600         0.109673          17.231800         0.003151          0.000000          180.998000        18.717400        
1648315074        84.224600         0.109673          17.231800         0.003151          0.000000          180.997000        18.717400        
1648315084        84.224600         0.109673          17.231800         0.003151          0.000000          180.997000        18.717400        
1648315094        84.224600         0.109673          17.231800         0.003151          0.000000          180.996000        18.717400        
1648315104        84.224600         0.109673          17.231800         0.003151          0.000000          180.998000        18.717400        
1648315114        84.224600         0.109673          17.231800         0.003151          0.000000          180.997000        18.717400        
1648315124        84.224600         0.109673          17.231800         0.003151          0.000000          180.998000        18.717400        
1648315134        84.224600         0.109673          17.231800         0.003151          0.000000          180.998000        18.717400        
