#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1648314323        0.109550          0.109550          0.002998          0.002998          0.000000          181.416000        0.002998         
1648314333        0.109550          0.109550          0.003052          0.003052          0.000000          181.415000        0.003052         
1648314343        0.109550          0.109550          0.003052          0.003052          0.000000          181.415000        0.003052         
1648314353        0.109550          0.109550          0.003056          0.003056          0.000000          181.414000        0.003056         
1648314363        0.109550          0.109550          0.003056          0.003056          0.000000          181.415000        0.003056         
1648314373        28.305900         28.305900         0.902111          0.902111          0.000000          180.538000        0.902111         
1648314383        28.647500         28.647500         1.106510          1.106510          0.000000          180.342000        1.106510         
1648314394        30.704600         30.704600         1.242570          1.242570          0.000000          180.210000        1.242570         
1648314404        30.875900         30.875900         1.330840          1.330840          0.000000          180.134000        1.330840         
1648314414        31.735600         31.735600         2.160950          2.160950          0.000000          179.173000        2.160950         
1648314424        36.505200         36.505200         6.954520          6.954520          0.000000          174.345000        6.954520         
1648314434        36.725200         36.725200         7.174430          7.174430          0.000000          174.123000        7.174430         
1648314444        37.915100         37.915100         8.187520          8.187520          0.000000          173.095000        8.187520         
1648314455        37.915100         37.861600         8.187520          8.110150          0.000000          173.181000        8.187520         
1648314465        37.915100         37.812300         8.187520          8.084790          0.000000          173.202000        8.187520         
1648314475        37.927800         37.927800         8.200440          8.200440          0.000000          173.089000        8.200440         
1648314486        38.165900         38.165900         8.439080          8.439080          0.000000          172.839000        8.439080         
1648314496        55.365300         55.365300         10.984100         10.984100         1.054300          169.764000        12.038400        
1648314510        59.945800         59.945800         12.281700         12.281700         1.266400          168.029000        13.548100        
1648314528        64.090400         64.090400         13.291600         13.291600         1.481700          167.374000        14.773300        
1648314546        65.577200         65.577200         13.978300         13.978300         1.481700          166.788000        15.460000        
1648314564        67.340000         67.340000         14.614500         14.614500         1.481700          166.225000        16.096200        
1648314582        72.103500         72.103500         15.497800         15.497800         1.481700          165.454000        16.979500        
1648314597        82.368500         82.368500         16.565500         16.565500         1.481700          164.754000        18.047200        
1648314612        82.379300         82.379300         16.582500         16.582500         1.481700          164.702000        18.064200        
1648314627        82.442800         82.442800         16.669000         16.669000         1.481700          164.628000        18.150700        
1648314642        82.471200         82.471200         16.709600         16.709600         1.481700          164.599000        18.191300        
1648314656        82.480000         82.480000         16.725300         16.725300         1.481700          164.586000        18.207000        
1648314671        82.506700         82.506700         16.766300         16.766300         1.481700          164.538000        18.248000        
1648314686        82.597000         82.597000         16.892200         16.892200         1.481700          164.416000        18.373900        
1648314701        82.611800         82.611800         16.922700         16.922700         1.481700          164.379000        18.404400        
1648314716        82.660400         82.660400         16.997400         16.997400         1.481700          164.307000        18.479100        
1648314731        82.661400         82.661400         17.013700         17.013700         1.481700          164.298000        18.495400        
1648314746        82.661600         82.661600         17.028500         17.028500         1.481700          164.281000        18.510200        
1648314761        82.661800         82.661800         17.036300         17.036300         1.481700          164.285000        18.518000        
1648314774        82.661800         82.207100         17.036300         17.025200         1.481700          164.284000        18.518000        
1648314784        82.661800         81.990400         17.036300         17.033200         1.481700          164.272000        18.518000        
1648314794        82.661800         81.999200         17.052200         17.052200         1.481700          164.252000        18.533900        
1648314805        82.661800         80.013800         17.052200         16.993300         1.481700          164.300000        18.533900        
1648314815        82.661800         79.807200         17.052200         17.009900         1.481700          164.281000        18.533900        
1648314825        82.661800         78.014700         17.052200         16.916300         1.481700          164.365000        18.533900        
1648314836        82.661800         76.885000         17.052200         16.858500         1.481700          164.418000        18.533900        
1648314846        82.661800         75.982000         17.052200         16.806500         1.481700          164.464000        18.533900        
1648314856        82.661800         75.087000         17.052200         16.762500         1.481700          164.504000        18.533900        
1648314866        82.661800         74.412300         17.052200         16.728200         1.481700          164.531000        18.533900        
1648314877        82.661800         68.815400         17.052200         15.104300         1.266400          166.174000        18.533900        
1648314887        82.661800         64.031400         17.052200         13.435600         1.055300          167.861000        18.533900        
1648314897        82.661800         58.662100         17.052200         11.828200         0.843400          169.486000        18.533900        
1648314907        82.661800         53.985600         17.052200         10.265200         0.632300          171.065000        18.533900        
1648314917        82.661800         53.604100         17.052200         10.310900         0.420300          171.230000        18.533900        
1648314928        82.661800         44.685200         17.052200         6.984070          0.211100          174.383000        18.533900        
1648314938        82.661800         40.192000         17.052200         5.395870          0.000000          175.991000        18.533900        
1648314948        82.661800         40.192000         17.052200         5.395980          0.000000          175.992000        18.533900        
1648314958        82.661800         40.192000         17.052200         5.396120          0.000000          175.993000        18.533900        
1648314968        82.661800         40.192000         17.052200         5.396120          0.000000          175.993000        18.533900        
1648314979        82.661800         40.192000         17.052200         5.396120          0.000000          175.994000        18.533900        
1648314989        82.661800         0.109673          17.052200         0.003143          0.000000          181.075000        18.533900        
1648314999        82.661800         0.109673          17.052200         0.003143          0.000000          181.077000        18.533900        
