#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1648314328        0.109550          0.109550          0.003002          0.003002          0.000000          180.977000        0.003002         
1648314338        0.109550          0.109550          0.003052          0.003052          0.000000          180.976000        0.003052         
1648314348        0.109550          0.109550          0.003056          0.003056          0.000000          180.977000        0.003056         
1648314358        0.109550          0.109550          0.003056          0.003056          0.000000          180.978000        0.003056         
1648314368        26.362900         26.362900         0.788399          0.788399          0.000000          180.204000        0.788399         
1648314379        28.533200         28.533200         0.995220          0.995220          0.000000          180.017000        0.995220         
1648314389        28.792200         28.792200         1.187030          1.187030          0.000000          179.821000        1.187030         
1648314399        30.775500         30.775500         1.259900          1.259900          0.000000          179.765000        1.259900         
1648314409        31.194400         31.194400         1.610130          1.610130          0.000000          179.353000        1.610130         
1648314419        34.014300         34.014300         4.059660          4.059660          0.000000          176.618000        4.059660         
1648314429        36.637400         36.637400         7.069390          7.069390          0.000000          173.792000        7.069390         
1648314440        37.597600         37.597600         7.682460          7.682460          0.000000          173.126000        7.682460         
1648314450        38.005300         38.005300         8.267920          8.267920          0.000000          172.589000        8.267920         
1648314460        38.005300         37.826400         8.267920          8.089450          0.000000          172.765000        8.267920         
1648314471        38.005300         37.888100         8.267920          8.151170          0.000000          172.701000        8.267920         
1648314481        38.005300         37.900600         8.267920          8.163810          0.000000          172.691000        8.267920         
1648314491        44.245100         44.245100         9.225350          9.225350          0.237000          171.351000        9.462350         
1648314502        45.587200         45.587200         9.786900          9.786900          0.427400          170.901000        10.214300        
1648314513        59.620100         59.620100         11.925400         11.925400         1.191900          167.799000        13.117300        
1648314530        66.695200         66.695200         13.493400         13.493400         1.484500          166.827000        14.977900        
1648314547        67.617700         67.617700         14.179100         14.179100         1.484500          166.175000        15.663600        
1648314564        70.009500         70.009500         14.722900         14.722900         1.484500          165.735000        16.207400        
1648314580        72.383500         72.383500         15.381500         15.381500         1.484500          165.260000        16.866000        
1648314595        82.494000         82.494000         16.668200         16.668200         1.484500          164.208000        18.152700        
1648314610        82.503900         82.503900         16.682500         16.682500         1.484500          164.174000        18.167000        
1648314625        82.605200         82.605200         16.807300         16.807300         1.484500          164.047000        18.291800        
1648314639        82.709700         82.709700         16.942600         16.942600         1.484500          163.928000        18.427100        
1648314654        82.709700         82.709700         16.943800         16.943800         1.484500          163.923000        18.428300        
1648314669        82.748600         82.748600         16.998100         16.998100         1.484500          163.868000        18.482600        
1648314684        82.855900         82.855900         17.127200         17.127200         1.484500          163.731000        18.611700        
1648314698        82.869500         82.869500         17.155000         17.155000         1.484500          163.707000        18.639500        
1648314713        82.996000         82.996000         17.324800         17.324800         1.484500          163.541000        18.809300        
1648314728        82.996000         82.552300         17.328700         17.328700         1.484500          163.530000        18.813200        
1648314738        82.996000         82.345800         17.339000         17.339000         1.484500          163.518000        18.823500        
1648314749        82.996000         81.888700         17.339000         17.315900         1.484500          163.541000        18.823500        
1648314759        82.996000         81.888700         17.339000         17.320000         1.484500          163.541000        18.823500        
1648314769        82.996000         81.436700         17.339000         17.306100         1.484500          163.552000        18.823500        
1648314779        82.996000         80.977600         17.339000         17.282400         1.484500          163.572000        18.823500        
1648314790        82.996000         80.289600         17.339000         17.249100         1.484500          163.601000        18.823500        
1648314800        82.996000         78.917300         17.339000         17.167300         1.484500          163.679000        18.823500        
1648314810        82.996000         76.682100         17.339000         17.058200         1.484500          163.774000        18.823500        
1648314821        82.996000         71.281300         17.339000         15.420700         1.272900          165.429000        18.823500        
1648314831        82.996000         71.054200         17.339000         15.407200         1.272900          165.441000        18.823500        
1648314841        82.996000         70.143000         17.339000         15.346100         1.272900          165.496000        18.823500        
1648314851        82.996000         65.005000         17.339000         13.762500         1.057000          167.100000        18.823500        
1648314862        82.996000         64.321600         17.339000         13.723500         1.057000          167.135000        18.823500        
1648314872        82.996000         63.867300         17.339000         13.692300         1.057000          167.162000        18.823500        
1648314882        82.996000         63.181900         17.339000         13.644100         1.057000          167.206000        18.823500        
1648314892        82.996000         49.691000         17.339000         8.866710          0.421000          172.040000        18.823500        
1648314902        82.996000         45.178200         17.339000         7.261220          0.208900          173.668000        18.823500        
1648314913        82.996000         44.951400         17.339000         7.243780          0.208900          173.685000        18.823500        
1648314923        82.996000         40.455700         17.339000         5.651930          0.000000          175.296000        18.823500        
1648314933        82.996000         40.455700         17.339000         5.651930          0.000000          175.295000        18.823500        
1648314943        82.996000         40.455700         17.339000         5.652110          0.000000          175.297000        18.823500        
1648314953        82.996000         40.455700         17.339000         5.652240          0.000000          175.294000        18.823500        
1648314964        82.996000         40.455700         17.339000         5.652240          0.000000          175.295000        18.823500        
1648314974        82.996000         40.455700         17.339000         5.652350          0.000000          175.298000        18.823500        
1648314984        82.996000         0.109673          17.339000         0.003147          0.000000          180.633000        18.823500        
1648314994        82.996000         0.109673          17.339000         0.003147          0.000000          180.632000        18.823500        
1648315004        82.996000         0.109673          17.339000         0.003147          0.000000          180.635000        18.823500        
