,const,sto_diff,release_pre,inflow,release_roll7,inflow_roll7,storage_x_inflow
ROR,3.202458361229073e-05,0.09223251382543429,0.22776446765364167,0.661865007275285,-0.07358682789154969,0.17166303620751577,0.00957784348458901
LRT,-0.00013615505460756521,0.19456579756259273,0.5898469439554077,-0.05408397601971959,0.2754929071440593,0.0694271042321084,0.04439911901655069
HRT,-0.0004584080966898163,0.5598202617138255,0.7829400805481832,-0.04395296316565589,0.18237991216372507,0.010761446842254663,0.027931308992916515
